1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
666000,718000,830000,976000,1136000,1324000,1550000,1834000,2123000,2368000,2588000,2972000,3419000,3812000,4277000,4559000,4827000,5134000,5459000,5738000,5972000,6121000,6252000,6386000,6488000,6559000,6591000,6585000,6573000,6512000,6451000
540000,563000,625000,740000,885000,1051000,1234000,1455000,1746000,2023000,2250000,2467000,2853000,3316000,3725000,4200000,4479000,4748000,5056000,5382000,5663000,5899000,6052000,6186000,6324000,6429000,6504000,6540000,6537000,6529000,6472000
485000,516000,543000,606000,721000,866000,1030000,1210000,1433000,1720000,1990000,2216000,2435000,2827000,3290000,3701000,4173000,4452000,4721000,5029000,5356000,5637000,5873000,6027000,6162000,6300000,6407000,6483000,6520000,6518000,6512000
432000,468000,500000,529000,593000,707000,852000,1005000,1191000,1409000,1689000,1956000,2184000,2420000,2800000,3264000,3673000,4144000,4423000,4693000,5000000,5327000,5608000,5845000,5999000,6135000,6274000,6381000,6458000,6496000,6495000
382000,415000,448000,480000,514000,578000,689000,813000,980000,1158000,1368000,1640000,1908000,2167000,2382000,2763000,3224000,3631000,4100000,4379000,4649000,4956000,5282000,5563000,5799000,5954000,6091000,6230000,6338000,6416000,6456000
335000,364000,393000,422000,464000,498000,558000,648000,786000,944000,1112000,1313000,1584000,1884000,2124000,2340000,2718000,3175000,3580000,4046000,4325000,4594000,4901000,5226000,5506000,5743000,5899000,6037000,6177000,6287000,6366000
292000,318000,344000,369000,406000,448000,479000,524000,624000,753000,902000,1062000,1262000,1555000,1840000,2079000,2294000,2669000,3122000,3524000,3986000,4265000,4534000,4840000,5164000,5444000,5681000,5837000,5977000,6119000,6230000
253000,276000,300000,323000,354000,390000,429000,450000,502000,596000,716000,857000,1014000,1229000,1511000,1792000,2029000,2243000,2613000,3061000,3459000,3918000,4195000,4464000,4768000,5091000,5371000,5609000,5767000,5909000,6053000
217000,238000,259000,280000,307000,338000,372000,403000,430000,477000,564000,676000,813000,980000,1187000,1461000,1738000,1972000,2183000,2548000,2989000,3382000,3835000,4110000,4377000,4680000,5002000,5282000,5520000,5681000,5825000
185000,203000,221000,240000,264000,291000,320000,349000,383000,406000,448000,528000,637000,777000,937000,1135000,1405000,1675000,1904000,2112000,2468000,2900000,3286000,3731000,4003000,4269000,4569000,4889000,5168000,5407000,5570000
155000,170000,186000,203000,224000,248000,272000,297000,327000,357000,376000,414000,491000,600000,733000,882000,1078000,1337000,1597000,1819000,2021000,2367000,2786000,3161000,3594000,3862000,4124000,4420000,4736000,5013000,5252000
126000,139000,153000,168000,185000,206000,227000,249000,274000,300000,325000,341000,377000,453000,555000,675000,822000,1007000,1252000,1499000,1710000,1905000,2235000,2635000,2996000,3412000,3673000,3929000,4220000,4530000,4803000
98000,109000,121000,133000,148000,165000,183000,202000,222000,243000,264000,286000,301000,337000,406000,493000,611000,746000,916000,1142000,1371000,1568000,1751000,2060000,2435000,2775000,3168000,3419000,3667000,3949000,4250000
70000,79000,88000,98000,110000,124000,138000,154000,171000,187000,202000,220000,239000,255000,287000,340000,425000,528000,647000,797000,997000,1201000,1377000,1543000,1822000,2161000,2470000,2830000,3065000,3300000,3567000
45000,51000,57000,65000,74000,84000,95000,106000,119000,132000,143000,155000,170000,187000,200000,221000,272000,341000,426000,524000,649000,814000,985000,1134000,1277000,1516000,1805000,2073000,2387000,2599000,2813000
24000,27000,31000,36000,42000,48000,56000,63000,71000,80000,89000,97000,107000,118000,131000,135000,158000,195000,246000,309000,382000,475000,599000,728000,844000,956000,1142000,1369000,1583000,1836000,2013000
8000,12000,14000,16000,19000,22000,26000,30000,35000,40000,45000,51000,56000,63000,70000,74000,81000,95000,119000,151000,190000,236000,295000,375000,459000,536000,612000,738000,894000,1043000,1221000
3000,3000,4000,5000,6000,7000,9000,10000,12000,14000,17000,19000,22000,25000,28000,28000,34000,37000,44000,56000,71000,90000,112000,142000,182000,225000,265000,307000,375000,460000,543000
0,1000,1000,1000,1000,2000,2000,2000,3000,3000,4000,5000,6000,7000,8000,7000,9000,11000,12000,14000,18000,23000,30000,37000,48000,62000,77000,92000,108000,135000,168000
0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,3000,4000,5000,6000,8000,10000,13000,17000,20000,24000,31000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,3000,3000
