1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
843000,1112000,1360000,1544000,1684000,1871000,2214000,2597000,2748000,2853000,3016000,3450000,3796000,4209000,4305000,4381000,4509000,4695000,4911000,5041000,5079000,5085000,5084000,5110000,5105000,5093000,5034000,4944000,4851000,4776000,4712000
622000,758000,1012000,1210000,1395000,1542000,1734000,2088000,2438000,2613000,2733000,2913000,3352000,3705000,4129000,4237000,4317000,4449000,4638000,4857000,4990000,5033000,5043000,5045000,5075000,5073000,5064000,5008000,4920000,4829000,4756000
614000,604000,737000,899000,1110000,1365000,1466000,1637000,2039000,2389000,2566000,2690000,2871000,3305000,3660000,4083000,4196000,4279000,4414000,4604000,4825000,4961000,5006000,5018000,5023000,5055000,5055000,5047000,4992000,4906000,4816000
615000,603000,594000,692000,851000,1094000,1322000,1380000,1587000,1991000,2348000,2541000,2663000,2836000,3267000,3621000,4045000,4160000,4245000,4382000,4574000,4795000,4932000,4980000,4994000,5000000,5033000,5034000,5027000,4973000,4889000
522000,605000,593000,609000,696000,827000,1093000,1280000,1291000,1514000,1935000,2327000,2514000,2615000,2784000,3212000,3567000,3990000,4107000,4195000,4333000,4526000,4748000,4887000,4937000,4953000,4961000,4995000,4997000,4992000,4940000
408000,514000,593000,596000,608000,664000,832000,1086000,1175000,1212000,1457000,1919000,2300000,2460000,2558000,2727000,3154000,3508000,3929000,4048000,4138000,4278000,4472000,4695000,4836000,4887000,4905000,4915000,4951000,4955000,4952000
325000,401000,502000,549000,558000,582000,643000,801000,996000,1105000,1162000,1443000,1892000,2248000,2405000,2503000,2674000,3097000,3449000,3868000,3989000,4081000,4222000,4418000,4642000,4784000,4837000,4857000,4869000,4906000,4913000
245000,317000,389000,434000,489000,538000,545000,586000,734000,940000,1060000,1146000,1419000,1845000,2193000,2350000,2451000,2622000,3041000,3391000,3806000,3929000,4023000,4166000,4363000,4587000,4730000,4786000,4807000,4822000,4861000
187000,237000,305000,328000,379000,471000,499000,485000,537000,690000,900000,1036000,1119000,1377000,1793000,2135000,2292000,2395000,2565000,2979000,3325000,3737000,3861000,3958000,4102000,4299000,4524000,4668000,4726000,4751000,4768000
147000,179000,226000,256000,284000,362000,438000,450000,446000,503000,657000,871000,1004000,1080000,1331000,1735000,2072000,2228000,2331000,2500000,2907000,3249000,3656000,3781000,3879000,4025000,4222000,4448000,4594000,4655000,4683000
124000,138000,168000,191000,222000,267000,337000,400000,414000,416000,474000,630000,834000,959000,1034000,1274000,1668000,1995000,2149000,2251000,2417000,2815000,3150000,3550000,3676000,3776000,3923000,4121000,4346000,4495000,4560000
100000,114000,127000,146000,167000,203000,250000,312000,364000,381000,386000,446000,593000,784000,904000,973000,1207000,1583000,1897000,2046000,2146000,2309000,2694000,3019000,3407000,3534000,3637000,3787000,3985000,4211000,4363000
92000,88000,101000,113000,129000,147000,183000,226000,276000,326000,344000,352000,408000,543000,722000,829000,901000,1119000,1471000,1766000,1909000,2007000,2165000,2531000,2843000,3216000,3344000,3452000,3604000,3804000,4030000
83000,76000,74000,91000,99000,107000,126000,150000,190000,235000,280000,298000,306000,356000,477000,630000,734000,800000,997000,1314000,1581000,1714000,1807000,1957000,2295000,2588000,2940000,3070000,3183000,3338000,3539000
67000,62000,57000,68000,78000,74000,85000,91000,115000,148000,185000,223000,239000,247000,290000,385000,520000,608000,665000,833000,1102000,1331000,1449000,1535000,1672000,1972000,2238000,2560000,2691000,2810000,2967000
47000,43000,40000,53000,56000,50000,53000,50000,61000,78000,103000,130000,158000,170000,178000,206000,282000,384000,451000,496000,625000,833000,1012000,1109000,1183000,1303000,1552000,1780000,2059000,2186000,2307000
25000,23000,22000,32000,36000,28000,29000,23000,27000,33000,44000,59000,75000,92000,101000,103000,125000,173000,237000,280000,311000,396000,533000,653000,724000,783000,878000,1063000,1239000,1456000,1568000
10000,9000,9000,13000,16000,13000,12000,8000,8000,10000,14000,19000,25000,32000,40000,43000,46000,57000,80000,111000,133000,150000,194000,265000,329000,372000,411000,473000,586000,699000,841000
2000,2000,2000,4000,4000,3000,3000,2000,2000,2000,3000,4000,5000,7000,9000,11000,13000,14000,17000,25000,35000,43000,49000,66000,91000,116000,136000,155000,185000,237000,292000
0,0,0,1000,1000,0,1000,0,0,0,0,0,1000,1000,1000,1000,2000,2000,2000,3000,5000,7000,8000,10000,13000,19000,26000,31000,37000,46000,62000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,2000,3000,4000,5000,7000
