1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
433000,529000,609000,696000,798000,938000,1097000,1234000,1353000,1473000,1617000,1833000,2108000,2364000,2531000,2725000,2919000,3146000,3380000,3572000,3741000,3881000,4011000,4133000,4246000,4329000,4386000,4412000,4408000,4396000,4382000
327000,368000,456000,529000,605000,701000,840000,1009000,1160000,1287000,1396000,1544000,1778000,2064000,2330000,2505000,2702000,2900000,3129000,3364000,3559000,3728000,3870000,4000000,4124000,4237000,4321000,4378000,4405000,4401000,4390000
286000,318000,359000,446000,517000,592000,685000,825000,997000,1147000,1270000,1378000,1528000,1765000,2053000,2320000,2496000,2694000,2892000,3121000,3357000,3552000,3722000,3864000,3995000,4119000,4232000,4316000,4374000,4401000,4398000
251000,281000,313000,354000,440000,508000,570000,666000,811000,979000,1120000,1243000,1352000,1505000,1749000,2038000,2305000,2482000,2681000,2879000,3108000,3344000,3540000,3710000,3853000,3984000,4108000,4222000,4306000,4364000,4392000
219000,246000,277000,311000,355000,433000,469000,535000,644000,783000,927000,1068000,1191000,1305000,1476000,1723000,2010000,2277000,2455000,2653000,2852000,3081000,3318000,3514000,3685000,3828000,3960000,4084000,4198000,4283000,4342000
188000,215000,244000,276000,314000,350000,390000,430000,511000,614000,726000,869000,1009000,1136000,1271000,1447000,1691000,1978000,2245000,2423000,2621000,2820000,3050000,3287000,3483000,3655000,3799000,3931000,4056000,4171000,4256000
161000,184000,212000,242000,277000,309000,316000,358000,410000,487000,567000,678000,820000,963000,1106000,1246000,1419000,1663000,1950000,2216000,2393000,2592000,2791000,3021000,3258000,3455000,3627000,3772000,3905000,4031000,4146000
138000,157000,180000,208000,240000,271000,282000,291000,342000,390000,452000,531000,641000,784000,938000,1084000,1222000,1396000,1639000,1924000,2190000,2367000,2566000,2765000,2996000,3233000,3431000,3604000,3749000,3883000,4009000
116000,133000,152000,175000,204000,232000,249000,262000,277000,326000,364000,424000,503000,613000,763000,917000,1063000,1200000,1374000,1616000,1899000,2164000,2342000,2541000,2740000,2971000,3210000,3408000,3581000,3727000,3862000
98000,111000,127000,145000,168000,195000,214000,232000,249000,264000,304000,342000,401000,480000,594000,743000,896000,1040000,1178000,1350000,1590000,1873000,2137000,2315000,2514000,2714000,2946000,3184000,3383000,3557000,3704000
80000,91000,104000,119000,138000,159000,179000,198000,219000,235000,245000,285000,322000,381000,462000,573000,720000,871000,1014000,1151000,1322000,1561000,1841000,2104000,2282000,2482000,2683000,2915000,3154000,3354000,3529000
64000,73000,83000,95000,110000,126000,143000,163000,184000,204000,216000,226000,265000,302000,362000,438000,549000,692000,840000,981000,1117000,1287000,1523000,1800000,2062000,2241000,2442000,2644000,2877000,3116000,3317000
51000,55000,63000,72000,83000,96000,109000,126000,146000,166000,182000,194000,205000,242000,280000,334000,411000,517000,656000,800000,939000,1073000,1241000,1474000,1748000,2008000,2189000,2391000,2593000,2827000,3067000
39000,40000,44000,50000,58000,67000,78000,90000,107000,125000,140000,155000,168000,179000,215000,246000,302000,374000,474000,607000,746000,880000,1012000,1177000,1405000,1675000,1932000,2114000,2317000,2521000,2755000
26000,27000,28000,31000,36000,42000,48000,58000,70000,83000,96000,109000,123000,136000,147000,175000,208000,257000,323000,416000,539000,669000,798000,925000,1086000,1306000,1568000,1821000,2004000,2207000,2411000
14000,14000,15000,16000,17000,21000,24000,30000,37000,46000,54000,63000,73000,85000,96000,103000,129000,157000,199000,256000,336000,443000,559000,677000,797000,948000,1156000,1403000,1645000,1827000,2028000
5000,5000,6000,6000,6000,7000,9000,11000,14000,19000,22000,26000,32000,39000,47000,52000,60000,78000,99000,130000,173000,235000,318000,413000,512000,616000,750000,932000,1152000,1372000,1545000
1000,1000,1000,1000,1000,2000,2000,2000,3000,5000,6000,7000,9000,11000,14000,16000,21000,25000,35000,47000,66000,92000,130000,184000,247000,318000,396000,498000,637000,809000,986000
0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,2000,3000,4000,5000,7000,10000,15000,22000,32000,49000,73000,104000,140000,182000,241000,322000,425000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,2000,2000,4000,6000,10000,17000,25000,36000,50000,71000,100000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,2000,3000,5000,7000,11000
