1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
722000,849000,992000,1099000,1180000,1327000,1586000,1941000,2331000,2677000,3064000,3642000,4395000,5158000,5847000,6473000,7051000,7640000,8181000,8632000,8985000,9290000,9517000,9658000,9783000,9872000,9866000,9909000,9888000,9838000,9731000
562000,617000,723000,835000,923000,1060000,1203000,1447000,1768000,2131000,2466000,2856000,3471000,4267000,5056000,5743000,6363000,6943000,7533000,8077000,8531000,8889000,9200000,9432000,9579000,9711000,9805000,9804000,9852000,9836000,9791000
507000,530000,547000,646000,732000,897000,1034000,1176000,1411000,1725000,2084000,2420000,2822000,3445000,4243000,5025000,5709000,6328000,6908000,7497000,8042000,8497000,8855000,9167000,9401000,9550000,9683000,9779000,9780000,9829000,9814000
460000,488000,480000,493000,568000,723000,890000,1027000,1161000,1390000,1705000,2067000,2413000,2824000,3439000,4215000,4992000,5675000,6293000,6872000,7462000,8006000,8461000,8820000,9133000,9367000,9518000,9652000,9749000,9751000,9801000
412000,447000,484000,456000,461000,567000,730000,901000,1023000,1149000,1389000,1711000,2089000,2452000,2842000,3406000,4172000,4946000,5626000,6243000,6821000,7408000,7951000,8406000,8765000,9079000,9314000,9466000,9601000,9700000,9703000
360000,397000,452000,462000,432000,460000,579000,747000,898000,1010000,1152000,1400000,1740000,2136000,2478000,2808000,3361000,4122000,4890000,5567000,6182000,6757000,7343000,7885000,8339000,8698000,9013000,9250000,9403000,9540000,9640000
312000,341000,380000,413000,415000,427000,468000,591000,741000,881000,1005000,1155000,1417000,1771000,2149000,2440000,2764000,3312000,4066000,4828000,5501000,6112000,6686000,7269000,7809000,8263000,8623000,8938000,9177000,9332000,9471000
265000,292000,307000,329000,346000,403000,425000,472000,581000,719000,865000,994000,1155000,1427000,1767000,2107000,2392000,2712000,3254000,4000000,4755000,5422000,6030000,6600000,7181000,7719000,8173000,8534000,8851000,9091000,9249000
219000,243000,248000,252000,256000,332000,393000,418000,457000,558000,698000,843000,980000,1149000,1410000,1720000,2052000,2333000,2650000,3184000,3919000,4664000,5324000,5925000,6491000,7069000,7605000,8058000,8421000,8739000,8982000
180000,198000,194000,196000,184000,243000,319000,378000,399000,434000,534000,671000,819000,960000,1121000,1360000,1662000,1986000,2263000,2574000,3098000,3818000,4548000,5198000,5791000,6352000,6924000,7457000,7909000,8272000,8593000
148000,160000,152000,152000,142000,172000,229000,301000,353000,372000,409000,506000,641000,788000,922000,1067000,1297000,1589000,1903000,2172000,2475000,2984000,3683000,4394000,5028000,5610000,6161000,6726000,7253000,7702000,8067000
118000,130000,127000,122000,116000,130000,159000,211000,273000,321000,342000,378000,473000,603000,741000,859000,1000000,1219000,1496000,1796000,2054000,2346000,2833000,3503000,4186000,4799000,5364000,5903000,6455000,6974000,7421000
81000,101000,107000,103000,97000,101000,115000,140000,184000,239000,284000,305000,342000,431000,550000,669000,783000,914000,1117000,1375000,1654000,1896000,2172000,2630000,3260000,3906000,4489000,5030000,5550000,6087000,6596000
60000,65000,79000,82000,77000,79000,84000,95000,114000,151000,198000,238000,261000,296000,373000,471000,581000,682000,799000,980000,1210000,1461000,1681000,1932000,2349000,2922000,3513000,4052000,4559000,5051000,5564000
40000,43000,44000,53000,54000,57000,59000,62000,69000,84000,113000,151000,186000,208000,237000,294000,379000,469000,554000,652000,803000,996000,1209000,1397000,1614000,1974000,2468000,2984000,3463000,3920000,4374000
20000,24000,25000,25000,30000,33000,35000,37000,38000,43000,54000,74000,103000,130000,146000,164000,209000,271000,337000,400000,474000,588000,735000,898000,1046000,1219000,1503000,1895000,2312000,2709000,3098000
8000,10000,12000,12000,12000,15000,17000,18000,18000,19000,22000,29000,42000,59000,76000,84000,96000,124000,162000,203000,243000,291000,364000,460000,567000,667000,787000,984000,1258000,1556000,1849000
3000,3000,4000,4000,4000,4000,6000,6000,6000,7000,7000,9000,12000,18000,26000,32000,37000,43000,56000,74000,94000,114000,138000,175000,224000,280000,334000,401000,513000,669000,844000
0,1000,1000,1000,1000,1000,1000,2000,2000,2000,2000,2000,3000,4000,6000,7000,10000,12000,14000,18000,24000,30000,37000,46000,59000,77000,98000,120000,148000,195000,261000
0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,2000,2000,3000,4000,5000,6000,8000,10000,13000,17000,22000,28000,36000,49000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,3000,4000,5000
