1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
3215000,3423000,3706000,4464000,5261000,6019000,6638000,7496000,9420000,11285000,12750000,14014000,14994000,15661000,17383000,19002000,19784000,20230000,20599000,21225000,21719000,22058000,21934000,21692000,21456000,21262000,21024000,20737000,20321000,19916000,19397000
2472000,2772000,2940000,3282000,3974000,4680000,5074000,5938000,6915000,8916000,10486000,12020000,13463000,14616000,15382000,17144000,18767000,19577000,20050000,20442000,21086000,21595000,21946000,21835000,21606000,21380000,21196000,20965000,20684000,20275000,19875000
2089000,2375000,2651000,2840000,3168000,3827000,4274000,4906000,5872000,6915000,8650000,10185000,11772000,13294000,14479000,15264000,17025000,18655000,19476000,19960000,20361000,21011000,21526000,21883000,21779000,21555000,21335000,21156000,20930000,20653000,20247000
1800000,2025000,2295000,2585000,2768000,3077000,3524000,4195000,4840000,5827000,6762000,8442000,10017000,11669000,13186000,14370000,15160000,16923000,18556000,19385000,19875000,20282000,20936000,21455000,21816000,21717000,21499000,21284000,21109000,20888000,20615000
1543000,1730000,1938000,2227000,2508000,2666000,2806000,3470000,4151000,4801000,5664000,6539000,8249000,9932000,11546000,13030000,14214000,15013000,16777000,18412000,19247000,19744000,20156000,20814000,21338000,21704000,21613000,21404000,21197000,21030000,20815000
1316000,1471000,1640000,1870000,2150000,2399000,2408000,2761000,3451000,4138000,4643000,5454000,6362000,8181000,9817000,11381000,12858000,14046000,14853000,16616000,18250000,19089000,19591000,20009000,20671000,21200000,21573000,21491000,21292000,21095000,20936000
1116000,1251000,1390000,1576000,1799000,2049000,2158000,2355000,2749000,3443000,3984000,4463000,5296000,6303000,8076000,9665000,11218000,12692000,13882000,14695000,16453000,18083000,18924000,19431000,19854000,20521000,21055000,21436000,21365000,21176000,20989000
948000,1054000,1175000,1327000,1506000,1705000,1837000,2088000,2316000,2724000,3297000,3816000,4321000,5225000,6209000,7938000,9512000,11056000,12525000,13714000,14530000,16281000,17904000,18747000,19260000,19689000,20361000,20902000,21291000,21232000,21055000
799000,888000,983000,1113000,1258000,1418000,1518000,1755000,2011000,2255000,2592000,3135000,3673000,4235000,5122000,6077000,7784000,9342000,10874000,12334000,13519000,14336000,16076000,17692000,18538000,19058000,19496000,20175000,20725000,21125000,21079000
668000,742000,820000,922000,1044000,1173000,1251000,1431000,1661000,1922000,2131000,2443000,2995000,3571000,4126000,4983000,5929000,7607000,9144000,10657000,12104000,13281000,14099000,15827000,17435000,18286000,18815000,19265000,19953000,20515000,20927000
485000,612000,675000,759000,853000,960000,1022000,1160000,1333000,1562000,1796000,1982000,2307000,2879000,3443000,3971000,4818000,5743000,7382000,8887000,10375000,11800000,12967000,13787000,15500000,17097000,17955000,18498000,18964000,19665000,20241000
403000,434000,542000,610000,686000,766000,818000,922000,1057000,1228000,1429000,1639000,1838000,2180000,2733000,3261000,3787000,4605000,5500000,7084000,8546000,9997000,11397000,12552000,13374000,15068000,16652000,17521000,18083000,18571000,19290000
324000,346000,369000,471000,530000,592000,626000,705000,809000,940000,1083000,1264000,1476000,1692000,2023000,2524000,3046000,3547000,4324000,5176000,6687000,8091000,9498000,10865000,12003000,12828000,14497000,16065000,16949000,17538000,18056000
247000,259000,273000,301000,384000,428000,453000,502000,580000,677000,782000,907000,1082000,1294000,1500000,1780000,2263000,2742000,3205000,3922000,4714000,6119000,7444000,8786000,10101000,11212000,12040000,13672000,15215000,16119000,16746000
162000,176000,182000,200000,221000,278000,294000,324000,374000,440000,511000,598000,713000,880000,1069000,1223000,1496000,1912000,2329000,2736000,3372000,4082000,5346000,6558000,7802000,9039000,10107000,10933000,12505000,14005000,14931000
85000,97000,103000,113000,124000,135000,162000,176000,209000,247000,287000,341000,411000,513000,648000,772000,920000,1136000,1464000,1798000,2134000,2662000,3264000,4332000,5379000,6476000,7590000,8582000,9388000,10858000,12277000
30000,39000,44000,50000,55000,59000,62000,76000,92000,112000,130000,156000,190000,242000,312000,386000,484000,586000,734000,957000,1195000,1443000,1838000,2296000,3105000,3923000,4807000,5733000,6590000,7328000,8616000
8000,9000,12000,15000,17000,19000,19000,21000,30000,36000,44000,54000,64000,83000,110000,135000,184000,234000,289000,370000,493000,633000,785000,1029000,1319000,1830000,2371000,2980000,3643000,4284000,4876000
1000,1000,2000,3000,3000,4000,4000,4000,6000,7000,10000,14000,14000,18000,25000,30000,43000,60000,78000,99000,132000,182000,242000,311000,423000,560000,804000,1077000,1399000,1764000,2137000
0,0,0,0,0,0,0,1000,1000,1000,2000,3000,2000,2000,3000,4000,5000,8000,12000,15000,21000,29000,42000,58000,78000,110000,152000,228000,317000,428000,561000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,2000,4000,5000,8000,11000,17000,24000,38000,55000,77000
