NAME,LONGITUDE,LATITUDE,POPULATION,AREA
AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL,-2.6853,6.8203,140745,1417.6
AFRO:GHANA:AHAFO:ASUNAFO_SOUTH,-2.5441,6.5793,119379,927.6
AFRO:GHANA:AHAFO:ASUTIFI_NORTH,-2.5213,7.0647,72719,939.8
AFRO:GHANA:AHAFO:ASUTIFI_SOUTH,-2.3923,6.8385,52656,600.0
AFRO:GHANA:AHAFO:TANO_NORTH_MUNICIPAL,-2.1847,7.1753,112000,841.2
AFRO:GHANA:AHAFO:TANO_SOUTH_MUNICIPAL,-1.9949,7.1811,69074,491.1
AFRO:GHANA:ASHANTI:ADANSI_AKROFUOM,-1.6644,6.0303,80793,570.7
AFRO:GHANA:ASHANTI:ADANSI_ASOKWA,-1.4350,6.1745,54774,598.1
AFRO:GHANA:ASHANTI:ADANSI_NORTH,-1.5668,6.2898,58401,259.2
AFRO:GHANA:ASHANTI:ADANSI_SOUTH,-1.3662,6.0101,63852,764.4
AFRO:GHANA:ASHANTI:AFIGYA_KWABRE_NORTH,-1.6215,7.0340,98943,187.5
AFRO:GHANA:ASHANTI:AFIGYA_KWABRE_SOUTH,-1.6120,6.8452,162961,224.3
AFRO:GHANA:ASHANTI:AHAFO_ANO_NORTH,-2.2182,6.9077,120642,596.2
AFRO:GHANA:ASHANTI:AHAFO_ANO_SOUTH_EAST,-1.8989,6.9103,66335,689.0
AFRO:GHANA:ASHANTI:AHAFO_ANO_SOUTH_WEST,-2.0811,6.8801,36657,506.9
AFRO:GHANA:ASHANTI:AMANSIE_CENTRAL,-1.8037,6.2139,85305,853.4
AFRO:GHANA:ASHANTI:AMANSIE_SOUTH,-2.0073,6.3102,71751,596.0
AFRO:GHANA:ASHANTI:AMANSIE_WEST,-1.8507,6.4568,88700,640.7
AFRO:GHANA:ASHANTI:ASANTE_AKIM_CENTRAL_MUNICIPAL,-1.2312,6.5827,53824,301.6
AFRO:GHANA:ASHANTI:ASANTE_AKIM_NORTH,-0.9960,6.8386,90531,1130.9
AFRO:GHANA:ASHANTI:ASANTE_AKIM_SOUTH,-1.1215,6.4768,133495,1158.7
AFRO:GHANA:ASHANTI:ASOKORE_MAMPONG_MUNICIPAL,-1.5729,6.7115,276258,23.9
AFRO:GHANA:ASHANTI:ASOKWA_MUNICIPAL,-1.5852,6.6461,395367,26.9
AFRO:GHANA:ASHANTI:ATWIMA_KWANWOMA,-1.7083,6.5925,130414,252.7
AFRO:GHANA:ASHANTI:ATWIMA_MPONUA,-2.1485,6.5821,146944,1891.3
AFRO:GHANA:ASHANTI:ATWIMA_NWABIAGYA_NORTH,-1.7472,6.8715,33978,213.6
AFRO:GHANA:ASHANTI:ATWIMA_NWABIAGYA_SOUTH,-1.7943,6.7137,146949,368.0
AFRO:GHANA:ASHANTI:BEKWAI_MUNICIPAL,-1.5894,6.4411,158107,537.9
AFRO:GHANA:ASHANTI:BOSOME_FREHO,-1.3346,6.3124,58699,571.3
AFRO:GHANA:ASHANTI:BOSOMTWE,-1.4575,6.5623,129119,424.6
AFRO:GHANA:ASHANTI:EJISU_MUNICIPAL,-1.3995,6.6488,164127,413.2
AFRO:GHANA:ASHANTI:EJURA_SEKYEDUMASE,-1.4078,7.3916,86026,1346.4
AFRO:GHANA:ASHANTI:JUABEN_MUNICIPAL,-1.3808,6.7623,18152,172.0
AFRO:GHANA:ASHANTI:KUMASI_METROPOLITAN,-1.6212,6.6887,447438,21.7
AFRO:GHANA:ASHANTI:KWABRE_EAST,-1.5268,6.7902,52807,123.6
AFRO:GHANA:ASHANTI:KWADASO_MUNICIPAL,-1.6554,6.6693,932518,64.4
AFRO:GHANA:ASHANTI:MAMPONG_MUNICIPAL,-1.4222,7.1570,93451,673.3
AFRO:GHANA:ASHANTI:OBUASI_EAST,-1.6064,6.1827,27711,75.3
AFRO:GHANA:ASHANTI:OBUASI_MUNICIPAL,-1.6856,6.1958,111290,146.4
AFRO:GHANA:ASHANTI:OFFINSO_MUNICIPAL,-1.7292,7.0675,75380,588.6
AFRO:GHANA:ASHANTI:OFFINSO_NORTH,-1.8930,7.3077,50259,950.6
AFRO:GHANA:ASHANTI:OFORIKROM_MUNICIPAL,-1.5480,6.6752,395981,45.5
AFRO:GHANA:ASHANTI:OLD_TAFO_MUNICIPAL,-1.6082,6.7386,390069,29.2
AFRO:GHANA:ASHANTI:SEKYERE_AFRAM_PLAINS_NORTH,-0.7385,7.2133,61608,3541.9
AFRO:GHANA:ASHANTI:SEKYERE_CENTRAL,-1.1535,7.2133,74000,1638.8
AFRO:GHANA:ASHANTI:SEKYERE_EAST,-1.3224,6.7878,31684,240.2
AFRO:GHANA:ASHANTI:SEKYERE_KUMAWU,-1.2200,6.9060,41338,579.1
AFRO:GHANA:ASHANTI:SEKYERE_SOUTH,-1.5164,6.9865,188483,418.4
AFRO:GHANA:ASHANTI:SUAME_MUNICIPAL,-1.6592,6.7386,371431,27.8
AFRO:GHANA:BONO:BANDA,-2.3781,8.2630,45562,2307.5
AFRO:GHANA:BONO:BEREKUM_EAST_MUNICIPAL,-2.5690,7.5216,103478,463.9
AFRO:GHANA:BONO:BEREKUM_WEST,-2.6709,7.4621,65268,403.0
AFRO:GHANA:BONO:DORMAA_EAST,-2.6656,7.2700,75489,572.6
AFRO:GHANA:BONO:DORMAA_MUNICIPAL,-2.8638,7.2203,150372,1214.5
AFRO:GHANA:BONO:DORMAA_WEST,-2.9629,6.9863,49319,381.9
AFRO:GHANA:BONO:JAMAN_NORTH,-2.6661,7.9036,101801,1034.7
AFRO:GHANA:BONO:JAMAN_SOUTH_MUNICIPAL,-2.8118,7.6174,94495,758.1
AFRO:GHANA:BONO:SUNYANI_MUNICIPAL,-2.3631,7.2333,110519,508.8
AFRO:GHANA:BONO:SUNYANI_WEST,-2.3548,7.4372,117420,1063.6
AFRO:GHANA:BONO:TAIN,-2.3751,7.7895,78773,1837.7
AFRO:GHANA:BONO:WENCHI_MUNICIPAL,-2.1016,7.7876,94107,1150.0
AFRO:GHANA:BONO_EAST:ATEBUBU_AMANTIN,-1.0570,7.7068,154245,2636.4
AFRO:GHANA:BONO_EAST:KINTAMPO_NORTH_MUNICIPAL,-1.5669,8.3927,112458,4910.3
AFRO:GHANA:BONO_EAST:KINTAMPO_SOUTH,-1.7901,7.9431,86328,1520.5
AFRO:GHANA:BONO_EAST:NKORANZA_NORTH,-1.5957,7.7012,86181,1392.8
AFRO:GHANA:BONO_EAST:NKORANZA_SOUTH,-1.6661,7.4655,122435,926.8
AFRO:GHANA:BONO_EAST:PRU_EAST,-0.8263,8.1361,97576,1659.0
AFRO:GHANA:BONO_EAST:PRU_WEST,-1.3125,8.0044,66269,1576.2
AFRO:GHANA:BONO_EAST:SENE_EAST,-0.1816,7.5942,83926,4412.3
AFRO:GHANA:BONO_EAST:SENE_WEST,-0.5845,7.7368,80805,3277.4
AFRO:GHANA:BONO_EAST:TECHIMAN_MUNICIPAL,-1.9630,7.5341,156130,651.9
AFRO:GHANA:BONO_EAST:TECHIMAN_NORTH,-1.9672,7.6952,70024,391.2
AFRO:GHANA:CENTRAL:ABURA_ASEBU_KWAMANKESE,-1.2040,5.2815,142389,378.7
AFRO:GHANA:CENTRAL:AGONA_EAST,-0.6614,5.6370,109157,328.9
AFRO:GHANA:CENTRAL:AGONA_WEST_MUNICIPAL,-0.7948,5.6210,146197,357.7
AFRO:GHANA:CENTRAL:AJUMAKO_ENYAN_ESSIAM,-0.9881,5.4228,195034,524.0
AFRO:GHANA:CENTRAL:ASIKUMA_ODOBEN_BRAKWA,-1.0123,5.6333,131495,776.7
AFRO:GHANA:CENTRAL:ASSIN_FOSU,-1.3040,5.7321,69850,280.2
AFRO:GHANA:CENTRAL:ASSIN_NORTH,-1.3790,5.8424,124088,729.1
