NAME,LONGITUDE,LATITUDE,POPULATION,AREA
AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL:A0000,-2.7577,6.9727,10742,111.1
AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL:A0001,-2.5661,6.8406,13423,101.0
AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL:A0002,-2.8185,6.6900,19218,101.8
AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL:A0003,-2.6289,6.7495,8107,100.6
AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL:A0004,-2.7290,6.8828,8397,99.1
AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL:A0005,-2.8167,6.8998,4548,99.2
AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL:A0006,-2.7105,6.7889,10467,90.0
AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL:A0007,-2.6601,6.9685,19647,88.1
AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL:A0008,-2.8024,6.7987,6642,104.0
AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL:A0009,-2.5734,6.9328,9110,103.9
AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL:A0010,-2.7342,6.7014,3955,97.3
AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL:A0011,-2.5502,6.6663,3494,113.1
AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL:A0012,-2.5449,6.7600,9590,107.5
AFRO:GHANA:AHAFO:ASUNAFO_NORTH_MUNICIPAL:A0013,-2.6460,6.8613,13398,100.8
AFRO:GHANA:AHAFO:ASUNAFO_SOUTH:A0000,-2.5296,6.5849,24902,104.6
AFRO:GHANA:AHAFO:ASUNAFO_SOUTH:A0001,-2.7458,6.6173,14758,107.6
AFRO:GHANA:AHAFO:ASUNAFO_SOUTH:A0002,-2.5398,6.5111,14064,109.7
AFRO:GHANA:AHAFO:ASUNAFO_SOUTH:A0003,-2.4373,6.5344,11255,112.1
AFRO:GHANA:AHAFO:ASUNAFO_SOUTH:A0004,-2.4676,6.7107,17377,94.1
AFRO:GHANA:AHAFO:ASUNAFO_SOUTH:A0005,-2.4800,6.4314,10037,89.0
AFRO:GHANA:AHAFO:ASUNAFO_SOUTH:A0006,-2.6468,6.6580,5637,109.3
AFRO:GHANA:AHAFO:ASUNAFO_SOUTH:A0007,-2.6319,6.5716,6615,89.3
AFRO:GHANA:AHAFO:ASUNAFO_SOUTH:A0008,-2.4400,6.6212,14730,112.0
AFRO:GHANA:AHAFO:ASUTIFI_NORTH:A0000,-2.4432,7.0777,18047,103.2
AFRO:GHANA:AHAFO:ASUTIFI_NORTH:A0001,-2.5883,7.0309,21064,115.4
AFRO:GHANA:AHAFO:ASUTIFI_NORTH:A0002,-2.6266,7.1139,7792,108.3
AFRO:GHANA:AHAFO:ASUTIFI_NORTH:A0003,-2.5420,7.1814,2571,97.8
AFRO:GHANA:AHAFO:ASUTIFI_NORTH:A0004,-2.7056,7.0556,4710,101.7
AFRO:GHANA:AHAFO:ASUTIFI_NORTH:A0005,-2.4942,6.9893,2680,102.0
AFRO:GHANA:AHAFO:ASUTIFI_NORTH:A0006,-2.5256,7.0922,5357,105.2
AFRO:GHANA:AHAFO:ASUTIFI_NORTH:A0007,-2.3470,7.0663,4081,96.0
AFRO:GHANA:AHAFO:ASUTIFI_NORTH:A0008,-2.3972,6.9831,6414,110.1
AFRO:GHANA:AHAFO:ASUTIFI_SOUTH:A0000,-2.3217,6.7691,4318,92.5
AFRO:GHANA:AHAFO:ASUTIFI_SOUTH:A0001,-2.3882,6.9031,14180,84.5
AFRO:GHANA:AHAFO:ASUTIFI_SOUTH:A0002,-2.4856,6.8857,9651,120.1
AFRO:GHANA:AHAFO:ASUTIFI_SOUTH:A0003,-2.3788,6.7218,9565,112.3
AFRO:GHANA:AHAFO:ASUTIFI_SOUTH:A0004,-2.4406,6.8039,10178,77.4
AFRO:GHANA:AHAFO:ASUTIFI_SOUTH:A0005,-2.2916,6.9835,4761,113.2
AFRO:GHANA:AHAFO:TANO_NORTH_MUNICIPAL:A0000,-2.1211,7.3116,13010,110.3
AFRO:GHANA:AHAFO:TANO_NORTH_MUNICIPAL:A0001,-2.2634,7.0641,8177,107.5
AFRO:GHANA:AHAFO:TANO_NORTH_MUNICIPAL:A0002,-2.1687,7.0725,16174,100.5
AFRO:GHANA:AHAFO:TANO_NORTH_MUNICIPAL:A0003,-2.2889,7.1904,11112,95.9
