1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
846000,1138000,1385000,1645000,1780000,1901000,2168000,2448000,2697000,2873000,3033000,3429000,3744000,4140000,4201000,4274000,4415000,4592000,4750000,4841000,4872000,4850000,4827000,4813000,4788000,4739000,4674000,4575000,4474000,4374000,4276000
622000,760000,1035000,1194000,1453000,1643000,1755000,2025000,2296000,2562000,2752000,2930000,3331000,3654000,4061000,4134000,4206000,4350000,4526000,4686000,4781000,4816000,4798000,4777000,4765000,4743000,4698000,4633000,4538000,4437000,4339000
614000,604000,739000,894000,1072000,1419000,1589000,1710000,1976000,2249000,2516000,2710000,2887000,3285000,3608000,4015000,4088000,4162000,4306000,4484000,4646000,4743000,4780000,4764000,4745000,4735000,4715000,4670000,4608000,4513000,4413000
615000,603000,594000,684000,837000,1052000,1385000,1545000,1659000,1930000,2210000,2491000,2682000,2852000,3246000,3568000,3970000,4044000,4118000,4263000,4442000,4605000,4703000,4741000,4726000,4708000,4699000,4680000,4637000,4575000,4481000
522000,605000,593000,615000,692000,814000,1032000,1324000,1451000,1584000,1874000,2192000,2465000,2633000,2799000,3185000,3485000,3883000,3953000,4027000,4171000,4349000,4512000,4609000,4646000,4633000,4617000,4607000,4591000,4547000,4487000
408000,514000,593000,601000,618000,666000,799000,973000,1217000,1368000,1525000,1859000,2168000,2412000,2576000,2743000,3109000,3405000,3793000,3863000,3939000,4084000,4263000,4424000,4520000,4561000,4551000,4535000,4530000,4511000,4469000
325000,401000,502000,545000,561000,595000,646000,751000,886000,1145000,1314000,1509000,1835000,2118000,2357000,2523000,2686000,3048000,3338000,3722000,3796000,3874000,4021000,4199000,4360000,4459000,4504000,4494000,4482000,4476000,4460000
245000,317000,389000,425000,479000,540000,569000,608000,685000,832000,1099000,1293000,1483000,1788000,2066000,2305000,2470000,2633000,2988000,3275000,3658000,3734000,3815000,3962000,4140000,4303000,4406000,4451000,4446000,4434000,4430000
187000,237000,305000,319000,363000,459000,512000,536000,557000,643000,796000,1074000,1262000,1439000,1738000,2012000,2248000,2412000,2572000,2923000,3210000,3590000,3668000,3751000,3898000,4078000,4243000,4346000,4395000,4392000,4383000
147000,179000,226000,249000,270000,345000,432000,481000,494000,523000,612000,772000,1040000,1218000,1391000,1683000,1952000,2184000,2345000,2504000,2851000,3134000,3510000,3591000,3675000,3825000,4006000,4171000,4278000,4329000,4330000
124000,138000,168000,186000,212000,253000,323000,403000,444000,461000,493000,586000,739000,993000,1165000,1333000,1617000,1879000,2104000,2263000,2421000,2760000,3039000,3409000,3491000,3579000,3730000,3912000,4080000,4189000,4245000
100000,114000,127000,143000,161000,194000,234000,296000,367000,409000,428000,464000,552000,694000,936000,1100000,1261000,1533000,1784000,2002000,2157000,2312000,2641000,2914000,3274000,3360000,3453000,3606000,3790000,3959000,4073000
92000,88000,101000,113000,127000,142000,176000,209000,262000,329000,369000,391000,425000,506000,638000,863000,1017000,1169000,1424000,1661000,1868000,2017000,2169000,2483000,2747000,3098000,3189000,3286000,3442000,3628000,3801000
83000,76000,74000,91000,99000,104000,125000,149000,175000,223000,283000,321000,341000,371000,444000,562000,763000,902000,1040000,1271000,1489000,1679000,1820000,1964000,2258000,2511000,2846000,2942000,3046000,3205000,3392000
67000,62000,57000,70000,79000,73000,88000,97000,115000,137000,177000,227000,258000,276000,303000,364000,463000,631000,749000,868000,1067000,1256000,1424000,1551000,1685000,1953000,2189000,2499000,2600000,2712000,2872000
47000,43000,40000,56000,59000,49000,56000,59000,65000,79000,95000,124000,161000,184000,199000,220000,267000,341000,468000,560000,654000,810000,961000,1097000,1207000,1328000,1558000,1765000,2037000,2141000,2257000
25000,23000,22000,34000,39000,29000,32000,31000,32000,36000,44000,54000,72000,94000,110000,119000,134000,163000,211000,293000,354000,418000,525000,629000,728000,814000,914000,1089000,1254000,1472000,1569000
10000,9000,9000,14000,18000,14000,14000,13000,12000,13000,15000,19000,23000,31000,41000,49000,54000,62000,76000,100000,141000,172000,207000,265000,325000,384000,440000,507000,618000,729000,876000
2000,2000,2000,4000,5000,4000,4000,3000,3000,3000,3000,4000,5000,6000,9000,12000,15000,16000,19000,24000,32000,46000,58000,71000,94000,119000,145000,172000,205000,259000,315000
0,0,0,1000,1000,1000,1000,0,0,0,0,1000,1000,1000,1000,1000,2000,2000,3000,3000,4000,6000,9000,12000,15000,21000,27000,35000,43000,53000,70000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,3000,4000,5000,6000,8000
