NAME,LONGITUDE,LATITUDE,POPULATION,AREA
AFRO:ALGERIA:ADRAR:ADRAR,-1.2363,26.5846,361409,254075.1
AFRO:ALGERIA:ADRAR:BORDJ_BADJI_MOKHTAR,-0.5654,23.2011,36407,137106.8
AFRO:ALGERIA:ADRAR:TIMIMOUN,0.8844,29.7574,150971,65508.6
AFRO:ALGERIA:AIN_DAFLA:AIN_DAFLA,2.1537,36.1482,915683,4698.8
AFRO:ALGERIA:AIN_TEMOUCHENT:AIN_TEMOUCHENT,-1.0447,35.3401,446362,2718.1
AFRO:ALGERIA:ALGER:ALGER,3.1988,36.7042,1929621,264.8
AFRO:ALGERIA:ANNABA:ANNABA,7.6171,36.795,861841,1278.5
AFRO:ALGERIA:BATNA:BATNA,5.9382,35.404,1448504,11869.2
AFRO:ALGERIA:BECHAR:BECHAR,-1.9821,31.3673,277535,51331.9
AFRO:ALGERIA:BECHAR:BENI_ABBES,-2.576,29.7874,57715,95481.7
AFRO:ALGERIA:BEJAIA:BEJAIA,4.9223,36.5532,944947,3316.4
AFRO:ALGERIA:BISKRA:BISKRA,5.9593,34.7418,686546,10293.9
AFRO:ALGERIA:BISKRA:OULED_DJELLAL,4.8497,34.2441,294203,10762.0
AFRO:ALGERIA:BLIDA:BLIDA,3.0025,36.4845,1272982,1598.0
AFRO:ALGERIA:BORDJ_BOU_ARRERIDJ:BORDJ_BOU_ARRERIDJ,4.7898,36.0528,767938,3950.8
AFRO:ALGERIA:BOUIRA:BOUIRA,3.9186,36.2301,791750,4437.2
AFRO:ALGERIA:BOUMERDES:BOUMERDES,3.6921,36.7216,1255891,1813.0
AFRO:ALGERIA:CHLEF:CHLEF,1.3046,36.2301,1225126,4587.4
AFRO:ALGERIA:CONSTANTINE:CONSTANTINE,6.7507,36.3185,1233193,2189.1
AFRO:ALGERIA:DJELFA:DJELFA,3.5984,34.3331,1662968,33975.1
AFRO:ALGERIA:EL_BAYADH:EL_BAYADH,0.9071,32.6116,334727,70027.7
AFRO:ALGERIA:EL_OUED:EL_OUED,7.173,33.1005,771055,45504.8
AFRO:ALGERIA:EL_TARF:EL_TARF,8.1691,36.7047,384724,2813.9
AFRO:ALGERIA:GHARDAIA:GHARDAIA,3.6644,32.4105,348290,22115.1
AFRO:ALGERIA:GHARDAIA:MENIAA,2.8935,30.607,88509,55521.8
AFRO:ALGERIA:GUELMA:GUELMA,7.4594,36.3578,564640,3678.8
AFRO:ALGERIA:ILISII:DJANET,9.6397,24.1798,26032,73441.2
AFRO:ALGERIA:JIJEL:JIJEL,6.0032,36.6859,792445,2860.6
AFRO:ALGERIA:KHENCHELA:KHENCHELA,7.0573,34.9472,471930,9602.6
AFRO:ALGERIA:LAGHOUAT:LAGHOUAT,2.7586,33.5304,744929,28630.4
AFRO:ALGERIA:MASCARA:MASCARA,0.2026,35.3583,905725,5628.4
AFRO:ALGERIA:MEDEA:MEDEA,3.0087,35.9622,873613,8548.0
AFRO:ALGERIA:MILA:MILA,6.21,36.2776,812241,3220.9
AFRO:ALGERIA:MOSTAGANEM:MOSTAGANEM,0.3572,35.9715,931248,2797.4
AFRO:ALGERIA:MSILA:MSILA,4.3356,35.2842,1292521,17210.7
AFRO:ALGERIA:NAAMA:NAAMA,-0.7772,33.2818,349542,30041.8
AFRO:ALGERIA:ORAN:ORAN,-0.5638,35.6389,2158867,2391.8
AFRO:ALGERIA:OUARGLA:OUARGLA,6.2199,30.4414,399587,189157.8
AFRO:ALGERIA:OUARGLA:TOUGGOURT,5.8974,32.9517,479001,20335.1
AFRO:ALGERIA:OUM_EL_BOUAGHI:OUM_EL_BOUAGHI,7.1181,35.8197,785451,6659.4
AFRO:ALGERIA:RELIZANE:RELIZANE,0.8508,35.7684,882683,4978.5
AFRO:ALGERIA:SAIDA:SAIDA,0.2527,34.6353,394887,7978.7
AFRO:ALGERIA:SETIF:SETIF,5.4983,36.117,1705597,6434.1
AFRO:ALGERIA:SIDI_BEL_ABBES:SIDI_BEL_ABBES,-0.5197,34.7767,682903,7962.0
AFRO:ALGERIA:SKIKDA:SKIKDA,6.9169,36.7716,1110537,4734.6
AFRO:ALGERIA:SOUK_AHRAS:SOUK_AHRAS,7.9147,36.1148,522974,3641.4
AFRO:ALGERIA:TAMANGHASSET:ILISII,8.207,27.4181,51632,150121.8
AFRO:ALGERIA:TAMANGHASSET:IN_GUEZZAM,4.5277,20.4198,19029,97024.0
AFRO:ALGERIA:TAMANGHASSET:IN_SALAH,3.4217,27.192,60592,131838.3
AFRO:ALGERIA:TAMANGHASSET:TAMANRASSET,5.3081,23.5572,157783,385997.1
AFRO:ALGERIA:TEBESSA:TEBESSA,7.8401,34.982,724389,12458.4
AFRO:ALGERIA:TIARET:TIARET,1.6077,34.9609,1145867,20074.3
AFRO:ALGERIA:TINDOUF:TINDOUF,-6.0386,27.8723,98422,168347.4
AFRO:ALGERIA:TIPAZA:TIPAZA,2.4039,36.5386,2762931,2485.0
AFRO:ALGERIA:TISSEMSILT:TISSEMSILT,1.8689,35.7252,602413,3180.0
AFRO:ALGERIA:TIZI_OUZOU:TIZI_OUZOU,4.2891,36.6592,1042502,3061.6
