1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
730000,807000,950000,1050000,1126000,1262000,1494000,1838000,2229000,2588000,2975000,3555000,4332000,5128000,5817000,6476000,7145000,7800000,8429000,8966000,9468000,9924000,10306000,10643000,10944000,11185000,11332000,11404000,11496000,11571000,11557000
571000,599000,668000,775000,872000,1013000,1150000,1372000,1683000,2050000,2402000,2797000,3413000,4226000,5037000,5729000,6390000,7061000,7718000,8349000,8892000,9401000,9865000,10251000,10589000,10895000,11138000,11293000,11374000,11461000,11534000
515000,514000,541000,587000,691000,849000,990000,1127000,1341000,1646000,2010000,2365000,2770000,3394000,4205000,5011000,5701000,6362000,7034000,7692000,8324000,8871000,9383000,9848000,10232000,10571000,10877000,11124000,11284000,11360000,11445000
469000,473000,472000,484000,525000,687000,848000,992000,1119000,1327000,1634000,2004000,2370000,2781000,3390000,4184000,4987000,5679000,6341000,7013000,7673000,8308000,8858000,9371000,9835000,10221000,10561000,10870000,11121000,11277000,11352000
422000,460000,465000,449000,456000,534000,708000,877000,1004000,1121000,1343000,1662000,2052000,2430000,2803000,3369000,4171000,4978000,5674000,6339000,7018000,7687000,8330000,8883000,9396000,9865000,10255000,10603000,10924000,11165000,11319000
368000,421000,459000,444000,425000,465000,562000,745000,892000,1005000,1143000,1378000,1721000,2125000,2459000,2773000,3334000,4136000,4943000,5637000,6308000,6995000,7671000,8312000,8857000,9372000,9838000,10235000,10597000,10900000,11134000
318000,352000,403000,418000,400000,426000,484000,591000,752000,886000,1015000,1164000,1420000,1775000,2143000,2426000,2724000,3283000,4081000,4881000,5575000,6248000,6937000,7608000,8238000,8782000,9291000,9762000,10168000,10512000,10807000
269000,289000,321000,347000,358000,394000,433000,497000,589000,738000,880000,1017000,1182000,1446000,1775000,2106000,2376000,2674000,3228000,4017000,4812000,5505000,6177000,6861000,7523000,8151000,8690000,9201000,9677000,10072000,10411000
222000,231000,249000,260000,283000,346000,389000,432000,486000,571000,722000,866000,1014000,1186000,1432000,1734000,2054000,2323000,2618000,3165000,3945000,4732000,5420000,6085000,6761000,7419000,8041000,8581000,9095000,9563000,9955000
181000,180000,188000,192000,201000,270000,335000,379000,415000,464000,551000,700000,849000,1000000,1160000,1387000,1679000,1994000,2259000,2550000,3088000,3854000,4630000,5308000,5963000,6631000,7282000,7902000,8442000,8950000,9417000
149000,142000,140000,143000,146000,189000,256000,318000,356000,388000,439000,525000,673000,821000,963000,1109000,1328000,1611000,1917000,2176000,2461000,2985000,3732000,4489000,5150000,5794000,6451000,7094000,7710000,8244000,8750000
120000,120000,113000,110000,112000,134000,175000,237000,290000,324000,358000,408000,493000,636000,774000,903000,1043000,1252000,1523000,1816000,2066000,2341000,2846000,3564000,4292000,4934000,5559000,6202000,6836000,7441000,7970000
83000,99000,98000,91000,89000,99000,119000,156000,207000,254000,288000,320000,370000,451000,581000,704000,825000,956000,1152000,1405000,1680000,1916000,2178000,2654000,3331000,4022000,4634000,5237000,5863000,6479000,7073000
62000,64000,77000,75000,70000,73000,82000,99000,127000,170000,211000,241000,274000,320000,391000,503000,614000,723000,841000,1016000,1244000,1493000,1709000,1950000,2384000,3003000,3638000,4210000,4781000,5376000,5967000
40000,42000,44000,52000,51000,51000,54000,61000,72000,94000,128000,161000,189000,218000,256000,314000,406000,499000,591000,690000,839000,1033000,1245000,1432000,1642000,2020000,2558000,3120000,3637000,4158000,4707000
20000,24000,25000,26000,31000,31000,32000,34000,38000,46000,61000,84000,109000,131000,154000,181000,224000,292000,361000,431000,507000,621000,770000,936000,1084000,1254000,1557000,1991000,2454000,2891000,3338000
8000,11000,12000,12000,12000,15000,16000,16000,17000,19000,24000,32000,47000,62000,76000,90000,107000,134000,176000,219000,264000,314000,389000,488000,599000,701000,822000,1037000,1348000,1686000,2015000
3000,4000,5000,5000,4000,5000,6000,6000,6000,6000,7000,10000,14000,20000,27000,34000,40000,48000,61000,81000,102000,125000,151000,189000,241000,301000,358000,429000,554000,735000,938000
0,1000,1000,1000,1000,1000,1000,2000,2000,2000,2000,2000,3000,4000,6000,8000,10000,12000,15000,19000,26000,33000,42000,51000,65000,85000,108000,132000,163000,217000,295000
0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,2000,2000,2000,3000,4000,5000,7000,9000,11000,14000,19000,25000,32000,40000,56000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,3000,4000,5000,6000
