1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
379000,475000,506000,562000,646000,697000,816000,1005000,1099000,1121000,1159000,1395000,1820000,2130000,2134000,2203000,2311000,2508000,2678000,2791000,2804000,2790000,2798000,2846000,2902000,2913000,2881000,2826000,2775000,2735000,2706000
294000,333000,422000,454000,502000,564000,628000,742000,913000,992000,1019000,1087000,1340000,1755000,2067000,2089000,2155000,2261000,2461000,2629000,2737000,2755000,2743000,2756000,2811000,2863000,2876000,2845000,2792000,2741000,2701000
257000,283000,320000,409000,438000,475000,547000,608000,710000,867000,945000,990000,1069000,1311000,1723000,2037000,2058000,2124000,2232000,2431000,2595000,2705000,2725000,2716000,2734000,2787000,2840000,2853000,2823000,2770000,2719000
227000,245000,271000,313000,394000,412000,468000,525000,576000,679000,823000,931000,999000,1040000,1288000,1700000,2009000,2029000,2097000,2205000,2400000,2565000,2675000,2697000,2692000,2708000,2762000,2814000,2828000,2798000,2744000
199000,208000,225000,263000,295000,354000,405000,435000,470000,517000,596000,811000,965000,955000,993000,1256000,1653000,1953000,1978000,2043000,2143000,2339000,2500000,2614000,2643000,2633000,2649000,2699000,2753000,2766000,2733000
174000,178000,186000,217000,244000,252000,345000,373000,375000,399000,419000,586000,847000,919000,892000,964000,1213000,1597000,1900000,1921000,1975000,2079000,2270000,2438000,2564000,2583000,2574000,2585000,2638000,2691000,2700000
150000,156000,159000,179000,201000,208000,244000,319000,322000,314000,317000,411000,614000,808000,860000,866000,931000,1173000,1557000,1853000,1865000,1923000,2026000,2222000,2400000,2516000,2538000,2526000,2540000,2591000,2641000
129000,136000,140000,152000,166000,172000,200000,226000,279000,274000,253000,309000,429000,585000,759000,835000,839000,901000,1142000,1518000,1803000,1820000,1878000,1984000,2186000,2358000,2475000,2496000,2486000,2499000,2549000
109000,117000,123000,133000,140000,143000,164000,184000,197000,240000,227000,244000,317000,407000,548000,734000,807000,810000,874000,1109000,1475000,1758000,1774000,1836000,1946000,2143000,2314000,2430000,2452000,2444000,2457000
91000,99000,107000,116000,123000,122000,135000,152000,162000,169000,205000,217000,246000,299000,380000,527000,707000,777000,783000,845000,1072000,1430000,1707000,1727000,1792000,1899000,2094000,2263000,2379000,2402000,2395000
74000,82000,90000,99000,106000,107000,114000,124000,133000,139000,143000,192000,213000,230000,278000,361000,502000,675000,744000,749000,808000,1030000,1377000,1648000,1671000,1734000,1840000,2031000,2198000,2313000,2338000
55000,66000,73000,81000,89000,91000,98000,103000,107000,113000,117000,132000,183000,196000,211000,260000,338000,471000,636000,702000,707000,765000,977000,1310000,1572000,1595000,1658000,1762000,1949000,2112000,2227000
44000,47000,56000,64000,70000,74000,80000,85000,86000,88000,92000,104000,122000,165000,176000,192000,237000,309000,434000,587000,647000,653000,708000,909000,1224000,1470000,1494000,1557000,1659000,1839000,1998000
33000,35000,38000,46000,52000,55000,61000,66000,67000,66000,68000,77000,91000,104000,141000,153000,167000,206000,271000,382000,517000,573000,579000,631000,815000,1100000,1325000,1350000,1411000,1510000,1681000
22000,24000,26000,28000,34000,37000,41000,46000,47000,46000,46000,51000,62000,71000,82000,113000,123000,134000,168000,222000,313000,427000,474000,481000,529000,686000,932000,1126000,1153000,1213000,1306000
12000,13000,15000,16000,18000,20000,23000,26000,27000,27000,27000,30000,36000,42000,50000,59000,81000,88000,97000,122000,161000,230000,316000,353000,361000,399000,524000,716000,871000,899000,956000
4000,6000,6000,7000,8000,8000,10000,12000,12000,12000,12000,14000,17000,20000,24000,29000,35000,48000,53000,59000,74000,99000,143000,197000,222000,228000,257000,342000,472000,580000,607000
1000,1000,2000,2000,3000,2000,3000,4000,4000,3000,3000,4000,6000,7000,8000,10000,13000,16000,22000,24000,27000,34000,46000,68000,94000,107000,112000,128000,174000,245000,307000
0,0,0,0,0,0,1000,1000,1000,1000,0,1000,2000,1000,2000,2000,3000,4000,5000,6000,7000,8000,11000,15000,22000,31000,36000,38000,45000,63000,91000
0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,2000,3000,4000,6000,7000,8000,10000,14000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000
