1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
327000,356000,410000,483000,551000,627000,724000,859000,987000,1140000,1288000,1464000,1687000,1925000,2116000,2228000,2361000,2493000,2638000,2762000,2841000,2887000,2930000,2982000,3033000,3054000,3044000,3026000,3003000,2977000,2954000
259000,279000,307000,358000,427000,494000,570000,665000,799000,930000,1078000,1229000,1403000,1623000,1860000,2052000,2164000,2298000,2430000,2576000,2701000,2783000,2831000,2877000,2931000,2986000,3009000,3003000,2988000,2968000,2944000
218000,249000,268000,296000,345000,414000,480000,555000,651000,787000,916000,1063000,1211000,1382000,1599000,1833000,2023000,2135000,2269000,2402000,2547000,2673000,2756000,2806000,2853000,2908000,2963000,2988000,2984000,2970000,2950000
191000,210000,240000,259000,287000,336000,404000,470000,546000,643000,775000,906000,1050000,1196000,1366000,1578000,1808000,1997000,2109000,2243000,2375000,2521000,2647000,2731000,2781000,2828000,2884000,2939000,2965000,2961000,2947000
168000,180000,199000,228000,247000,275000,324000,392000,458000,542000,627000,767000,892000,1032000,1177000,1338000,1538000,1764000,1951000,2062000,2194000,2326000,2469000,2595000,2678000,2728000,2774000,2831000,2886000,2912000,2907000
152000,156000,168000,187000,215000,234000,262000,311000,380000,457000,524000,619000,752000,874000,1014000,1152000,1303000,1500000,1724000,1908000,2018000,2151000,2281000,2425000,2550000,2634000,2682000,2731000,2787000,2843000,2867000
139000,141000,145000,157000,175000,203000,223000,252000,301000,379000,441000,516000,606000,736000,857000,991000,1125000,1275000,1470000,1691000,1873000,1984000,2116000,2247000,2391000,2517000,2599000,2650000,2700000,2757000,2812000
129000,129000,131000,136000,147000,165000,193000,213000,243000,299000,364000,432000,503000,591000,719000,835000,967000,1099000,1247000,1439000,1657000,1839000,1949000,2081000,2212000,2356000,2480000,2564000,2616000,2667000,2724000
120000,119000,120000,122000,127000,138000,157000,184000,205000,239000,287000,355000,419000,489000,574000,697000,811000,940000,1070000,1215000,1404000,1620000,1799000,1909000,2040000,2171000,2313000,2437000,2522000,2575000,2626000
110000,111000,110000,111000,114000,119000,130000,148000,176000,199000,228000,277000,343000,405000,472000,554000,673000,784000,910000,1037000,1179000,1364000,1575000,1752000,1861000,1990000,2119000,2261000,2385000,2469000,2523000
100000,100000,101000,101000,103000,105000,110000,122000,140000,169000,189000,218000,265000,327000,386000,449000,529000,644000,751000,873000,996000,1134000,1314000,1519000,1691000,1798000,1925000,2052000,2191000,2314000,2398000
88000,89000,90000,91000,91000,93000,96000,102000,113000,132000,158000,177000,205000,248000,307000,362000,422000,497000,607000,709000,825000,943000,1075000,1248000,1445000,1610000,1714000,1838000,1962000,2098000,2217000
74000,75000,76000,77000,79000,80000,83000,86000,92000,104000,120000,144000,162000,187000,227000,280000,331000,387000,457000,559000,654000,762000,873000,997000,1159000,1345000,1500000,1601000,1719000,1839000,1969000
63000,59000,60000,62000,63000,65000,67000,70000,73000,80000,90000,105000,126000,141000,162000,197000,244000,289000,339000,402000,492000,577000,675000,774000,887000,1033000,1201000,1344000,1438000,1548000,1660000
52000,45000,43000,44000,46000,48000,50000,51000,55000,59000,64000,72000,84000,101000,113000,130000,159000,198000,235000,277000,329000,404000,475000,557000,641000,737000,861000,1006000,1129000,1213000,1311000
41000,31000,27000,26000,28000,30000,31000,33000,35000,39000,41000,45000,51000,59000,71000,80000,93000,114000,142000,170000,200000,239000,295000,348000,411000,474000,548000,645000,758000,854000,924000
16000,19000,14000,13000,13000,14000,16000,17000,18000,20000,22000,24000,26000,30000,34000,41000,47000,54000,67000,84000,101000,120000,144000,179000,213000,252000,294000,342000,406000,481000,546000
3000,5000,6000,5000,4000,5000,5000,6000,7000,8000,9000,9000,10000,11000,13000,15000,18000,20000,24000,30000,37000,45000,54000,66000,82000,98000,118000,138000,163000,195000,234000
0,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,2000,3000,3000,3000,3000,4000,5000,6000,7000,9000,11000,13000,16000,20000,25000,30000,37000,44000,52000,64000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,2000,2000,3000,3000,4000,5000,7000,8000,10000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000
