1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
673000,704000,786000,880000,984000,1098000,1297000,1526000,1739000,1930000,2187000,2522000,2963000,3335000,3417000,3387000,3539000,3715000,3813000,3850000,3834000,3800000,3784000,3767000,3740000,3680000,3593000,3507000,3435000,3360000,3290000
550000,553000,583000,662000,751000,852000,976000,1179000,1402000,1604000,1789000,2051000,2392000,2845000,3231000,3327000,3293000,3447000,3625000,3726000,3766000,3755000,3726000,3716000,3702000,3679000,3623000,3540000,3460000,3390000,3320000
487000,531000,535000,564000,643000,731000,834000,958000,1157000,1375000,1575000,1761000,2019000,2361000,2813000,3197000,3290000,3257000,3411000,3589000,3690000,3731000,3722000,3695000,3685000,3673000,3652000,3597000,3516000,3436000,3368000
434000,465000,508000,512000,541000,618000,711000,815000,933000,1124000,1347000,1555000,1726000,1987000,2330000,2778000,3158000,3251000,3220000,3374000,3550000,3652000,3694000,3687000,3660000,3651000,3640000,3619000,3566000,3486000,3408000
387000,398000,427000,467000,471000,497000,583000,681000,771000,874000,1080000,1327000,1499000,1673000,1939000,2273000,2708000,3083000,3174000,3143000,3294000,3469000,3570000,3613000,3605000,3580000,3571000,3560000,3542000,3490000,3413000
341000,347000,356000,382000,420000,421000,459000,552000,634000,706000,827000,1063000,1268000,1439000,1623000,1884000,2206000,2635000,3004000,3095000,3062000,3213000,3388000,3491000,3533000,3528000,3503000,3495000,3488000,3470000,3422000
297000,307000,312000,319000,344000,378000,389000,433000,513000,580000,666000,813000,1015000,1217000,1396000,1577000,1835000,2153000,2575000,2940000,3029000,3000000,3151000,3327000,3429000,3474000,3470000,3446000,3442000,3436000,3422000
255000,270000,278000,282000,289000,311000,352000,368000,404000,472000,547000,652000,776000,973000,1179000,1355000,1535000,1790000,2103000,2519000,2880000,2970000,2944000,3096000,3271000,3374000,3420000,3417000,3397000,3395000,3392000
212000,232000,245000,253000,257000,263000,290000,333000,343000,372000,445000,532000,622000,742000,940000,1141000,1315000,1493000,1743000,2051000,2460000,2816000,2907000,2884000,3035000,3210000,3314000,3361000,3362000,3343000,3344000
174000,192000,211000,224000,232000,235000,245000,273000,311000,318000,350000,429000,505000,592000,713000,904000,1101000,1272000,1446000,1690000,1991000,2393000,2742000,2834000,2814000,2965000,3138000,3242000,3292000,3295000,3280000
137000,156000,173000,191000,203000,211000,217000,229000,254000,287000,296000,333000,403000,477000,563000,678000,864000,1054000,1220000,1388000,1625000,1918000,2308000,2649000,2740000,2724000,2873000,3044000,3149000,3200000,3207000
106000,120000,137000,153000,169000,182000,191000,199000,209000,230000,262000,275000,307000,374000,445000,526000,636000,812000,993000,1151000,1312000,1539000,1820000,2194000,2522000,2612000,2601000,2747000,2916000,3020000,3074000
76000,88000,100000,115000,130000,145000,158000,169000,175000,182000,202000,235000,245000,276000,338000,403000,478000,580000,743000,911000,1058000,1209000,1421000,1685000,2036000,2346000,2434000,2429000,2572000,2736000,2841000
50000,57000,67000,77000,90000,103000,118000,131000,139000,143000,150000,170000,197000,208000,237000,290000,347000,414000,504000,648000,796000,927000,1064000,1255000,1493000,1811000,2092000,2176000,2181000,2317000,2474000
26000,33000,38000,45000,53000,63000,75000,87000,97000,102000,106000,113000,129000,152000,161000,185000,228000,274000,328000,402000,519000,641000,750000,865000,1027000,1228000,1498000,1739000,1817000,1833000,1959000
3000,13000,17000,20000,24000,30000,37000,45000,53000,58000,62000,66000,71000,83000,100000,106000,123000,153000,186000,224000,276000,360000,448000,528000,614000,736000,888000,1093000,1280000,1348000,1376000
5000,1000,5000,6000,8000,10000,13000,17000,20000,23000,26000,28000,31000,34000,41000,50000,54000,64000,80000,98000,120000,150000,197000,248000,296000,350000,425000,521000,651000,774000,826000
1000,1000,0,1000,1000,2000,2000,3000,4000,5000,6000,7000,8000,9000,11000,13000,17000,18000,22000,28000,35000,44000,56000,75000,96000,118000,142000,177000,222000,285000,347000
0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,2000,3000,3000,4000,6000,7000,9000,12000,17000,22000,28000,35000,46000,60000,80000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,3000,4000,5000,6000,9000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
