1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
66000,85000,99000,109000,114000,135000,176000,203000,212000,213000,211000,229000,259000,270000,277000,300000,291000,280000,271000,270000,272000,269000,264000,255000,246000,239000,235000,230000,224000,216000,208000
54000,60000,77000,91000,97000,112000,139000,174000,202000,213000,214000,208000,225000,252000,254000,270000,296000,288000,278000,269000,269000,270000,268000,262000,253000,244000,238000,234000,229000,222000,215000
51000,51000,56000,73000,80000,96000,117000,140000,176000,207000,219000,216000,208000,234000,247000,249000,268000,294000,287000,276000,268000,268000,269000,267000,261000,252000,244000,237000,233000,228000,222000
44000,48000,47000,51000,60000,79000,100000,117000,140000,177000,208000,219000,216000,223000,247000,243000,247000,266000,292000,285000,275000,267000,267000,268000,266000,260000,251000,242000,236000,232000,227000
36000,42000,44000,43000,40000,60000,85000,100000,117000,140000,175000,207000,218000,226000,243000,246000,238000,242000,262000,288000,281000,271000,263000,262000,264000,261000,256000,247000,239000,232000,228000
33000,34000,38000,40000,33000,41000,68000,85000,99000,117000,138000,173000,206000,208000,243000,243000,240000,234000,238000,258000,285000,278000,268000,260000,259000,260000,259000,253000,245000,235000,229000
25000,31000,31000,35000,32000,35000,49000,67000,83000,98000,115000,133000,168000,183000,195000,242000,239000,237000,231000,235000,256000,283000,276000,266000,257000,257000,259000,257000,253000,243000,234000
18000,23000,29000,28000,28000,33000,41000,47000,64000,81000,96000,108000,126000,148000,152000,187000,238000,235000,233000,228000,233000,254000,280000,274000,264000,255000,255000,257000,256000,251000,242000
16000,17000,21000,26000,23000,29000,38000,40000,46000,63000,79000,88000,100000,114000,123000,140000,183000,233000,231000,230000,225000,230000,251000,277000,271000,261000,253000,253000,255000,254000,249000
16000,15000,15000,19000,22000,24000,32000,37000,38000,45000,61000,72000,82000,92000,100000,112000,136000,178000,228000,226000,225000,221000,226000,247000,273000,267000,257000,250000,250000,252000,251000
12000,15000,14000,14000,16000,22000,25000,31000,35000,37000,43000,56000,67000,72000,83000,93000,108000,131000,172000,221000,219000,219000,215000,220000,241000,266000,261000,252000,245000,246000,248000
12000,11000,13000,12000,11000,16000,23000,24000,29000,33000,34000,39000,52000,58000,62000,77000,88000,102000,125000,164000,211000,210000,210000,206000,212000,232000,258000,253000,245000,239000,240000
11000,11000,10000,12000,10000,11000,17000,22000,22000,27000,30000,31000,36000,44000,48000,55000,71000,81000,95000,116000,153000,197000,197000,198000,195000,201000,221000,246000,242000,235000,230000
8000,9000,9000,8000,10000,9000,11000,15000,19000,20000,24000,26000,27000,31000,37000,40000,49000,63000,72000,85000,104000,138000,179000,179000,181000,179000,185000,205000,229000,226000,221000
6000,6000,7000,7000,6000,8000,7000,9000,12000,15000,15000,18000,20000,21000,25000,30000,33000,41000,52000,61000,72000,88000,118000,154000,155000,158000,157000,164000,183000,205000,204000
3000,4000,4000,4000,5000,4000,5000,5000,6000,8000,10000,10000,13000,14000,15000,18000,22000,25000,31000,40000,47000,56000,69000,93000,123000,125000,128000,129000,136000,153000,173000
1000,1000,2000,2000,2000,3000,3000,3000,3000,4000,5000,6000,6000,8000,9000,10000,12000,15000,17000,21000,27000,32000,38000,48000,65000,87000,89000,93000,95000,101000,115000
0,0,1000,1000,1000,1000,1000,1000,1000,1000,2000,2000,3000,3000,4000,5000,5000,6000,8000,9000,11000,15000,18000,21000,27000,38000,51000,53000,56000,58000,63000
0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,2000,2000,3000,3000,4000,5000,6000,7000,9000,12000,17000,23000,24000,26000,27000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,2000,2000,3000,3000,5000,7000,7000,8000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000
