1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
215000,259000,281000,310000,355000,391000,415000,472000,541000,604000,665000,740000,776000,891000,920000,1038000,1213000,1299000,1327000,1355000,1411000,1460000,1492000,1502000,1491000,1472000,1456000,1445000,1429000,1401000,1364000
165000,186000,228000,252000,283000,326000,335000,349000,415000,511000,573000,632000,678000,722000,836000,839000,1007000,1180000,1266000,1296000,1326000,1384000,1433000,1465000,1477000,1467000,1450000,1436000,1426000,1411000,1385000
148000,159000,180000,221000,245000,275000,298000,301000,323000,412000,504000,560000,610000,656000,702000,807000,828000,995000,1167000,1253000,1283000,1314000,1372000,1421000,1454000,1466000,1457000,1440000,1425000,1416000,1402000
135000,143000,154000,175000,216000,237000,256000,274000,282000,323000,407000,487000,525000,559000,624000,675000,795000,816000,982000,1153000,1239000,1270000,1301000,1358000,1408000,1441000,1453000,1444000,1427000,1413000,1404000
123000,130000,138000,149000,170000,203000,223000,240000,260000,280000,316000,384000,422000,416000,493000,563000,652000,770000,791000,954000,1124000,1210000,1241000,1270000,1329000,1377000,1410000,1423000,1413000,1397000,1385000
109000,117000,123000,132000,143000,156000,193000,214000,231000,256000,271000,292000,317000,301000,345000,423000,537000,624000,739000,760000,923000,1093000,1179000,1208000,1239000,1297000,1346000,1380000,1390000,1383000,1369000
95000,102000,110000,118000,126000,131000,145000,182000,203000,225000,244000,248000,238000,219000,245000,292000,402000,514000,598000,711000,734000,898000,1066000,1149000,1181000,1213000,1271000,1321000,1354000,1366000,1360000
86000,88000,96000,104000,112000,116000,119000,131000,169000,196000,212000,222000,204000,167000,178000,207000,276000,383000,491000,574000,687000,712000,873000,1038000,1123000,1155000,1188000,1247000,1296000,1330000,1344000
77000,79000,82000,90000,98000,103000,101000,101000,117000,161000,183000,192000,184000,152000,137000,149000,194000,261000,364000,470000,552000,663000,689000,846000,1009000,1094000,1127000,1161000,1219000,1270000,1305000
67000,70000,73000,76000,84000,90000,87000,81000,86000,110000,149000,164000,158000,145000,127000,114000,139000,182000,245000,345000,448000,528000,637000,662000,817000,976000,1060000,1094000,1129000,1188000,1239000
59000,60000,64000,67000,70000,77000,73000,67000,66000,80000,100000,131000,132000,126000,122000,105000,105000,128000,169000,229000,325000,423000,501000,605000,631000,781000,935000,1018000,1052000,1088000,1147000
47000,52000,54000,57000,60000,63000,61000,55000,52000,60000,70000,86000,102000,106000,105000,99000,94000,94000,116000,154000,211000,301000,394000,467000,566000,592000,735000,883000,963000,998000,1035000
40000,40000,44000,46000,49000,52000,48000,43000,41000,46000,51000,58000,63000,79000,84000,81000,86000,82000,82000,102000,137000,190000,272000,356000,425000,516000,542000,677000,815000,892000,928000
32000,31000,31000,35000,37000,40000,38000,33000,31000,34000,36000,39000,38000,45000,58000,60000,67000,71000,68000,69000,86000,117000,163000,234000,309000,369000,451000,476000,598000,723000,796000
22000,22000,22000,22000,26000,27000,28000,25000,22000,23000,25000,26000,23000,25000,30000,36000,45000,51000,55000,53000,54000,68000,94000,131000,190000,252000,303000,372000,395000,500000,608000
12000,13000,13000,13000,14000,16000,18000,18000,16000,14000,15000,16000,13000,13000,15000,16000,25000,32000,36000,39000,37000,39000,50000,68000,96000,141000,187000,226000,280000,300000,383000
5000,5000,6000,6000,6000,7000,9000,10000,10000,9000,8000,8000,6000,6000,6000,7000,10000,15000,19000,22000,24000,23000,24000,31000,44000,62000,91000,121000,147000,182000,198000
1000,1000,2000,2000,2000,2000,3000,4000,5000,4000,4000,3000,2000,2000,2000,2000,3000,5000,7000,9000,11000,12000,11000,12000,16000,22000,31000,46000,61000,75000,94000
0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,0,0,0,0,1000,1000,2000,2000,3000,4000,4000,4000,4000,5000,8000,11000,16000,22000,27000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,2000,2000,4000,5000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
