1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
383000,463000,511000,566000,638000,760000,841000,941000,1155000,1420000,1701000,2003000,2393000,2786000,3138000,3553000,3893000,4239000,4563000,4818000,5006000,5165000,5251000,5314000,5370000,5359000,5329000,5285000,5197000,5084000,4982000
303000,330000,401000,446000,497000,565000,673000,756000,855000,1052000,1305000,1576000,1860000,2245000,2637000,2993000,3391000,3727000,4068000,4390000,4646000,4837000,4999000,5092000,5162000,5225000,5221000,5200000,5165000,5085000,4981000
268000,291000,317000,385000,429000,478000,541000,649000,734000,830000,1022000,1270000,1528000,1806000,2184000,2571000,2920000,3314000,3647000,3987000,4308000,4564000,4757000,4922000,5019000,5092000,5158000,5159000,5142000,5111000,5036000
239000,260000,282000,307000,372000,412000,446000,518000,635000,718000,815000,1019000,1245000,1499000,1772000,2141000,2522000,2867000,3257000,3587000,3925000,4245000,4502000,4695000,4862000,4960000,5036000,5105000,5109000,5094000,5067000
214000,230000,250000,270000,289000,348000,359000,417000,506000,617000,710000,834000,1000000,1223000,1467000,1726000,2085000,2458000,2798000,3183000,3510000,3845000,4163000,4419000,4614000,4782000,4882000,4960000,5032000,5039000,5029000
193000,205000,219000,237000,250000,264000,290000,330000,408000,490000,614000,731000,817000,983000,1194000,1422000,1672000,2022000,2388000,2722000,3100000,3423000,3755000,4071000,4326000,4521000,4690000,4793000,4874000,4949000,4960000
171000,184000,194000,208000,220000,229000,219000,267000,322000,395000,487000,626000,713000,801000,956000,1154000,1374000,1617000,1959000,2316000,2644000,3016000,3335000,3663000,3976000,4230000,4425000,4596000,4701000,4785000,4863000
149000,161000,173000,183000,193000,202000,195000,201000,259000,310000,389000,491000,606000,693000,775000,920000,1110000,1324000,1560000,1893000,2242000,2564000,2929000,3244000,3568000,3877000,4129000,4325000,4496000,4605000,4691000
131000,140000,151000,162000,169000,177000,175000,179000,193000,248000,303000,386000,471000,583000,665000,740000,880000,1064000,1270000,1500000,1823000,2163000,2477000,2834000,3143000,3462000,3768000,4018000,4213000,4385000,4495000
113000,121000,130000,140000,149000,155000,155000,161000,170000,183000,238000,296000,366000,449000,554000,630000,703000,838000,1014000,1213000,1435000,1747000,2076000,2382000,2730000,3032000,3344000,3644000,3890000,4084000,4256000
99000,104000,111000,119000,128000,136000,137000,142000,151000,159000,174000,229000,277000,344000,421000,518000,592000,662000,790000,958000,1148000,1361000,1660000,1976000,2271000,2607000,2900000,3203000,3494000,3735000,3926000
76000,88000,93000,99000,106000,114000,118000,123000,130000,138000,147000,163000,209000,255000,317000,384000,477000,546000,613000,733000,891000,1070000,1271000,1553000,1853000,2133000,2452000,2732000,3022000,3302000,3535000
64000,65000,76000,79000,85000,90000,96000,103000,108000,114000,122000,132000,144000,186000,226000,278000,343000,427000,491000,552000,662000,807000,971000,1156000,1416000,1693000,1954000,2251000,2513000,2785000,3049000
50000,51000,52000,61000,64000,68000,72000,78000,85000,90000,96000,103000,110000,120000,156000,186000,235000,291000,364000,419000,473000,569000,695000,840000,1003000,1232000,1478000,1710000,1974000,2210000,2455000
33000,35000,36000,37000,43000,46000,49000,53000,59000,64000,68000,73000,77000,83000,91000,115000,143000,182000,226000,284000,328000,373000,450000,552000,670000,804000,992000,1194000,1387000,1607000,1806000
18000,19000,21000,22000,22000,26000,28000,31000,34000,38000,41000,44000,47000,50000,54000,58000,77000,96000,123000,154000,194000,225000,258000,313000,386000,471000,568000,705000,852000,995000,1159000
6000,8000,9000,10000,10000,10000,12000,14000,16000,17000,19000,21000,22000,24000,26000,27000,31000,41000,52000,67000,84000,107000,125000,145000,177000,220000,270000,329000,410000,500000,588000
2000,2000,2000,3000,3000,3000,3000,4000,5000,6000,6000,7000,8000,8000,9000,9000,10000,12000,16000,21000,27000,34000,43000,51000,60000,74000,92000,115000,141000,178000,219000
0,0,0,0,1000,1000,0,1000,1000,1000,1000,2000,2000,2000,2000,2000,2000,3000,3000,4000,5000,7000,9000,11000,13000,16000,20000,25000,32000,39000,50000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,2000,3000,4000,5000,6000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
