1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
491000,582000,698000,862000,1058000,1325000,1633000,1960000,2328000,2719000,3207000,3621000,3838000,4177000,4543000,4685000,4971000,5421000,5943000,6365000,6648000,6858000,7088000,7377000,7663000,7873000,7998000,8105000,8213000,8321000,8391000
379000,406000,497000,615000,780000,982000,1260000,1586000,1905000,2283000,2650000,3069000,3259000,3582000,4095000,4476000,4622000,4911000,5361000,5882000,6301000,6588000,6798000,7030000,7325000,7605000,7821000,7951000,8067000,8182000,8284000
331000,361000,391000,482000,601000,768000,978000,1268000,1591000,1928000,2291000,2607000,2798000,2901000,3559000,4073000,4454000,4603000,4893000,5342000,5861000,6281000,6567000,6778000,7012000,7303000,7585000,7802000,7937000,8057000,8168000
289000,323000,357000,393000,486000,615000,788000,1016000,1307000,1676000,1961000,2226000,2455000,2446000,2878000,3553000,4077000,4462000,4616000,4910000,5361000,5884000,6306000,6597000,6813000,7048000,7344000,7631000,7856000,7996000,8115000
249000,287000,328000,376000,417000,536000,663000,880000,1096000,1435000,1752000,1840000,2174000,2268000,2416000,2893000,3661000,4203000,4606000,4783000,5094000,5569000,6107000,6549000,6864000,7092000,7350000,7666000,7980000,8225000,8372000
213000,250000,294000,351000,404000,476000,566000,729000,933000,1156000,1461000,1609000,1832000,2178000,2231000,2376000,2878000,3647000,4190000,4598000,4774000,5095000,5566000,6105000,6557000,6859000,7096000,7360000,7693000,8018000,8250000
176000,212000,253000,310000,370000,448000,471000,564000,724000,922000,1124000,1332000,1542000,1921000,2130000,2175000,2271000,2763000,3517000,4048000,4440000,4614000,4920000,5378000,5913000,6340000,6636000,6869000,7137000,7470000,7774000
145000,172000,211000,260000,319000,395000,424000,434000,531000,689000,869000,1019000,1227000,1538000,1866000,2069000,2077000,2170000,2650000,3387000,3903000,4288000,4454000,4751000,5205000,5719000,6140000,6433000,6667000,6936000,7255000
120000,140000,169000,212000,262000,330000,369000,381000,396000,496000,639000,785000,935000,1156000,1480000,1799000,1976000,1986000,2077000,2545000,3262000,3768000,4143000,4306000,4601000,5040000,5548000,5964000,6258000,6495000,6756000
98000,115000,135000,166000,209000,264000,306000,331000,348000,367000,455000,573000,725000,876000,1099000,1412000,1709000,1883000,1894000,1984000,2436000,3133000,3626000,3993000,4156000,4443000,4875000,5375000,5789000,6084000,6317000
79000,92000,108000,130000,160000,205000,242000,273000,300000,320000,333000,402000,536000,683000,819000,1030000,1323000,1609000,1777000,1790000,1878000,2313000,2982000,3459000,3817000,3976000,4259000,4683000,5175000,5584000,5875000
61000,71000,84000,101000,122000,153000,185000,214000,245000,274000,286000,287000,379000,515000,624000,751000,947000,1221000,1489000,1650000,1665000,1751000,2162000,2797000,3253000,3595000,3754000,4030000,4443000,4922000,5320000
44000,53000,62000,75000,90000,111000,134000,160000,187000,219000,239000,239000,268000,368000,454000,553000,668000,846000,1095000,1342000,1491000,1509000,1591000,1971000,2560000,2986000,3309000,3467000,3735000,4132000,4589000
30000,36000,43000,52000,63000,77000,92000,110000,133000,160000,181000,188000,202000,255000,306000,380000,467000,567000,721000,939000,1155000,1288000,1309000,1385000,1724000,2247000,2632000,2928000,3083000,3336000,3704000
18000,21000,26000,32000,39000,48000,58000,69000,85000,106000,122000,132000,144000,170000,197000,239000,300000,370000,451000,577000,754000,934000,1046000,1067000,1136000,1419000,1861000,2192000,2452000,2596000,2824000
9000,11000,13000,16000,20000,26000,33000,40000,48000,62000,74000,79000,91000,104000,118000,139000,170000,215000,266000,326000,418000,550000,686000,772000,793000,848000,1067000,1409000,1672000,1881000,2006000
3000,4000,5000,7000,8000,11000,14000,19000,23000,30000,38000,40000,51000,59000,62000,71000,85000,104000,132000,165000,203000,261000,346000,434000,493000,509000,548000,695000,925000,1108000,1255000
1000,1000,2000,2000,3000,4000,4000,5000,7000,9000,12000,15000,23000,32000,26000,29000,34000,40000,50000,63000,79000,98000,127000,169000,214000,245000,255000,277000,356000,480000,582000
0,0,0,1000,1000,1000,1000,1000,1000,2000,3000,3000,6000,14000,9000,8000,9000,11000,13000,16000,21000,26000,32000,42000,57000,74000,85000,89000,99000,129000,176000
0,0,0,0,0,0,0,0,0,0,0,0,1000,3000,2000,2000,2000,2000,2000,3000,3000,4000,5000,7000,9000,12000,15000,18000,19000,22000,29000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,2000,3000
