1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
682000,753000,851000,956000,1115000,1326000,1550000,1810000,2078000,2319000,2546000,2929000,3387000,3753000,4227000,4498000,4796000,5099000,5412000,5663000,5867000,6048000,6195000,6316000,6421000,6491000,6515000,6508000,6493000,6469000,6417000
539000,565000,646000,752000,864000,1028000,1233000,1454000,1722000,1979000,2203000,2427000,2812000,3285000,3665000,4147000,4421000,4725000,5032000,5349000,5604000,5813000,5998000,6148000,6273000,6381000,6452000,6478000,6472000,6458000,6437000
484000,513000,543000,625000,732000,845000,1007000,1209000,1432000,1695000,1947000,2170000,2396000,2787000,3258000,3641000,4120000,4396000,4700000,5007000,5325000,5581000,5790000,5976000,6127000,6253000,6361000,6433000,6459000,6453000,6441000
432000,467000,497000,529000,611000,718000,830000,982000,1189000,1408000,1665000,1914000,2139000,2382000,2760000,3231000,3611000,4090000,4366000,4670000,4977000,5294000,5550000,5759000,5945000,6097000,6223000,6331000,6402000,6428000,6424000
382000,414000,446000,477000,514000,596000,700000,792000,956000,1156000,1367000,1618000,1869000,2124000,2345000,2719000,3174000,3551000,4026000,4299000,4600000,4904000,5219000,5472000,5679000,5864000,6012000,6136000,6242000,6312000,6339000
335000,363000,392000,421000,461000,499000,575000,658000,764000,920000,1112000,1315000,1565000,1847000,2084000,2306000,2669000,3122000,3498000,3969000,4241000,4540000,4844000,5156000,5410000,5618000,5801000,5949000,6071000,6176000,6249000
292000,317000,343000,368000,405000,446000,479000,540000,633000,732000,881000,1064000,1265000,1539000,1807000,2046000,2270000,2633000,3084000,3458000,3928000,4200000,4500000,4803000,5117000,5373000,5581000,5765000,5913000,6035000,6144000
253000,275000,299000,322000,353000,390000,426000,449000,517000,604000,697000,839000,1019000,1236000,1499000,1767000,2008000,2233000,2594000,3042000,3415000,3883000,4155000,4455000,4760000,5076000,5331000,5540000,5724000,5873000,5999000
217000,237000,258000,280000,307000,338000,372000,400000,428000,491000,573000,661000,799000,987000,1196000,1457000,1725000,1965000,2189000,2547000,2991000,3361000,3826000,4098000,4399000,4705000,5019000,5275000,5485000,5671000,5823000
185000,202000,221000,240000,265000,292000,320000,348000,379000,404000,462000,539000,624000,766000,947000,1152000,1411000,1676000,1913000,2134000,2487000,2925000,3291000,3751000,4024000,4325000,4629000,4944000,5201000,5412000,5601000
155000,170000,187000,203000,225000,249000,273000,297000,326000,354000,376000,430000,503000,590000,726000,900000,1103000,1355000,1613000,1844000,2062000,2407000,2836000,3196000,3649000,3921000,4221000,4525000,4839000,5098000,5313000
126000,139000,154000,169000,187000,207000,229000,249000,273000,299000,323000,343000,394000,466000,548000,677000,846000,1040000,1282000,1529000,1753000,1965000,2300000,2715000,3067000,3510000,3781000,4079000,4383000,4697000,4958000
98000,109000,122000,134000,150000,167000,184000,202000,222000,242000,264000,286000,304000,353000,420000,496000,619000,777000,958000,1185000,1418000,1631000,1834000,2153000,2550000,2892000,3322000,3591000,3887000,4190000,4505000
70000,79000,89000,100000,112000,126000,140000,154000,171000,186000,203000,221000,240000,258000,302000,361000,432000,542000,683000,847000,1051000,1264000,1460000,1649000,1946000,2319000,2645000,3055000,3319000,3612000,3912000
45000,52000,59000,67000,76000,86000,97000,107000,119000,131000,143000,155000,170000,187000,203000,238000,289000,348000,439000,558000,696000,871000,1054000,1226000,1396000,1664000,2001000,2302000,2681000,2937000,3221000
24000,28000,33000,38000,44000,51000,57000,64000,72000,79000,87000,95000,104000,116000,128000,138000,166000,203000,247000,315000,405000,511000,645000,790000,929000,1075000,1301000,1586000,1848000,2181000,2419000
8000,12000,15000,17000,20000,24000,27000,31000,35000,39000,43000,48000,52000,58000,64000,71000,79000,96000,118000,146000,189000,246000,316000,405000,505000,607000,718000,887000,1103000,1310000,1575000
3000,3000,5000,6000,7000,8000,9000,11000,12000,14000,16000,18000,20000,22000,24000,26000,30000,34000,42000,52000,66000,88000,116000,153000,200000,257000,318000,387000,493000,629000,767000
0,1000,1000,1000,2000,2000,2000,2000,3000,3000,4000,4000,5000,6000,6000,6000,7000,9000,10000,13000,16000,21000,29000,39000,53000,72000,95000,122000,154000,204000,269000
0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,3000,4000,6000,8000,12000,16000,23000,30000,40000,56000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,2000,2000,3000,5000,7000
