1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
2167000,2332000,2669000,3113000,3674000,4204000,4790000,5689000,6774000,8089000,9424000,10788000,12662000,15047000,17668000,20302000,22486000,24280000,25786000,27567000,29307000,30744000,31753000,32495000,33015000,33414000,33737000,33979000,33961000,33729000,33439000
1723000,1894000,2052000,2365000,2787000,3307000,3819000,4383000,5240000,6330000,7482000,8859000,10241000,12153000,14562000,17177000,19791000,21962000,23755000,25269000,27053000,28800000,30250000,31279000,32045000,32592000,33021000,33372000,33642000,33651000,33445000
1461000,1657000,1825000,1982000,2289000,2694000,3208000,3711000,4265000,5142000,6159000,7317000,8679000,10068000,11976000,14367000,16963000,19564000,21729000,23522000,25039000,26825000,28575000,30031000,31067000,31843000,32402000,32842000,33205000,33486000,33506000
1252000,1418000,1611000,1788000,1947000,2232000,2665000,3175000,3666000,4322000,5011000,6044000,7182000,8570000,9941000,11823000,14194000,16772000,19358000,21515000,23303000,24818000,26601000,28348000,29803000,30842000,31622000,32186000,32633000,33003000,33290000
1068000,1205000,1366000,1585000,1772000,1888000,2238000,2682000,3173000,3880000,4068000,4881000,5870000,7079000,8452000,9735000,11553000,13889000,16433000,18988000,21119000,22888000,24388000,26153000,27884000,29326000,30357000,31133000,31699000,32148000,32520000
902000,1022000,1152000,1345000,1574000,1709000,1896000,2266000,2691000,3409000,3552000,3943000,4706000,5777000,6992000,8262000,9519000,11312000,13620000,16136000,18664000,20777000,22535000,24028000,25784000,27505000,28943000,29975000,30759000,31334000,31789000
764000,859000,973000,1128000,1328000,1512000,1699000,1906000,2262000,2862000,3112000,3436000,3793000,4622000,5702000,6830000,8106000,9352000,11130000,13415000,15908000,18415000,20517000,22271000,23765000,25516000,27237000,28676000,29719000,30515000,31100000
641000,723000,813000,943000,1102000,1269000,1484000,1682000,1882000,2356000,2625000,3001000,3300000,3710000,4545000,5556000,6688000,7948000,9182000,10940000,13198000,15665000,18149000,20237000,21984000,23473000,25221000,26938000,28381000,29431000,30238000
533000,602000,680000,779000,909000,1045000,1229000,1447000,1638000,1918000,2167000,2517000,2872000,3206000,3624000,4407000,5413000,6525000,7765000,8982000,10713000,12937000,15369000,17821000,19888000,21620000,23103000,24842000,26553000,27996000,29054000
440000,496000,562000,642000,741000,855000,999000,1182000,1390000,1631000,1765000,2065000,2396000,2768000,3106000,3491000,4267000,5248000,6334000,7547000,8741000,10437000,12617000,15003000,17412000,19447000,21160000,22632000,24356000,26057000,27498000
362000,405000,457000,522000,602000,688000,804000,945000,1118000,1353000,1494000,1662000,1946000,2283000,2649000,2959000,3344000,4094000,5042000,6095000,7270000,8431000,10079000,12197000,14519000,16867000,18858000,20540000,21992000,23693000,25375000
296000,325000,364000,414000,477000,546000,632000,742000,874000,1060000,1222000,1381000,1539000,1820000,2146000,2483000,2789000,3158000,3872000,4775000,5781000,6905000,8019000,9600000,11633000,13866000,16128000,18055000,19692000,21114000,22782000
222000,255000,281000,316000,363000,416000,482000,561000,662000,798000,931000,1096000,1242000,1400000,1664000,1960000,2283000,2569000,2914000,3580000,4423000,5364000,6417000,7465000,8955000,10871000,12980000,15125000,16962000,18536000,19916000
167000,178000,206000,228000,260000,297000,345000,402000,471000,570000,664000,790000,936000,1073000,1218000,1448000,1720000,2007000,2264000,2574000,3170000,3926000,4773000,5721000,6674000,8028000,9770000,11696000,13665000,15368000,16845000
125000,120000,129000,150000,168000,192000,222000,260000,306000,370000,433000,516000,620000,745000,861000,980000,1179000,1404000,1643000,1858000,2120000,2621000,3255000,3972000,4775000,5594000,6758000,8257000,9926000,11646000,13156000
88000,75000,73000,79000,93000,105000,122000,143000,170000,209000,243000,293000,353000,432000,527000,611000,706000,852000,1019000,1197000,1359000,1558000,1935000,2414000,2963000,3579000,4218000,5130000,6307000,7633000,9017000
61000,40000,35000,35000,39000,46000,53000,63000,75000,94000,110000,132000,162000,200000,250000,307000,361000,421000,510000,613000,724000,826000,954000,1193000,1499000,1856000,2257000,2684000,3298000,4095000,5009000
19000,19000,13000,12000,12000,13000,17000,20000,24000,31000,35000,43000,53000,67000,85000,107000,135000,159000,187000,229000,277000,329000,378000,441000,558000,708000,887000,1089000,1314000,1641000,2068000
4000,4000,4000,3000,3000,3000,3000,4000,5000,8000,7000,9000,11000,15000,18000,23000,31000,39000,46000,55000,68000,83000,99000,115000,136000,176000,226000,288000,359000,443000,566000
0,0,0,1000,0,0,1000,1000,1000,2000,1000,1000,1000,2000,2000,3000,4000,5000,6000,8000,9000,11000,14000,17000,20000,25000,32000,42000,55000,71000,90000
0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,2000,2000,2000,3000,4000,6000,8000
