1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
138000,162000,185000,213000,253000,301000,328000,353000,404000,458000,506000,588000,729000,844000,860000,910000,990000,1086000,1164000,1225000,1269000,1311000,1354000,1401000,1442000,1462000,1474000,1485000,1499000,1507000,1507000
106000,122000,148000,172000,202000,241000,275000,307000,343000,393000,442000,494000,581000,715000,832000,851000,902000,983000,1078000,1157000,1219000,1263000,1305000,1349000,1395000,1436000,1456000,1469000,1480000,1495000,1502000
93000,103000,119000,145000,169000,199000,234000,264000,304000,340000,389000,440000,494000,577000,711000,829000,848000,899000,980000,1075000,1154000,1216000,1260000,1302000,1346000,1392000,1433000,1453000,1467000,1478000,1493000
82000,90000,100000,117000,142000,167000,194000,229000,261000,302000,339000,392000,449000,485000,570000,706000,824000,843000,894000,976000,1071000,1150000,1211000,1255000,1297000,1341000,1387000,1427000,1448000,1462000,1473000
73000,79000,88000,98000,114000,139000,158000,189000,226000,259000,301000,349000,417000,431000,472000,562000,696000,813000,832000,883000,964000,1058000,1136000,1198000,1240000,1281000,1324000,1371000,1412000,1432000,1445000
64000,69000,76000,85000,95000,110000,124000,150000,185000,223000,256000,312000,377000,397000,415000,464000,554000,688000,804000,825000,875000,955000,1049000,1129000,1188000,1230000,1269000,1314000,1362000,1402000,1422000
56000,61000,66000,73000,82000,91000,99000,113000,146000,182000,218000,263000,332000,359000,382000,408000,458000,549000,682000,799000,819000,870000,950000,1045000,1123000,1182000,1223000,1265000,1311000,1359000,1399000
48000,52000,57000,63000,70000,79000,82000,90000,109000,142000,176000,220000,274000,317000,345000,373000,401000,452000,542000,674000,790000,812000,863000,944000,1038000,1115000,1173000,1216000,1259000,1305000,1353000
41000,45000,49000,54000,60000,67000,74000,75000,86000,105000,136000,175000,224000,261000,304000,335000,364000,393000,443000,533000,664000,779000,800000,853000,932000,1026000,1102000,1162000,1205000,1249000,1295000
35000,39000,42000,46000,51000,57000,63000,70000,71000,82000,100000,133000,175000,212000,248000,292000,324000,354000,382000,432000,520000,649000,762000,785000,837000,916000,1009000,1086000,1146000,1190000,1234000
30000,32000,36000,39000,43000,48000,55000,59000,65000,66000,76000,96000,130000,163000,199000,235000,279000,310000,339000,367000,417000,503000,628000,740000,763000,815000,893000,986000,1063000,1123000,1168000
23000,27000,29000,32000,36000,40000,44000,51000,54000,60000,60000,71000,92000,119000,150000,185000,220000,262000,293000,321000,348000,396000,479000,601000,709000,733000,785000,863000,954000,1031000,1092000
18000,20000,23000,26000,29000,32000,37000,40000,45000,48000,52000,55000,66000,81000,106000,135000,168000,201000,240000,270000,297000,323000,369000,448000,564000,668000,693000,745000,822000,912000,989000
13000,15000,16000,19000,22000,24000,26000,33000,33000,38000,39000,45000,48000,56000,69000,91000,118000,147000,177000,212000,239000,264000,289000,332000,406000,514000,611000,638000,690000,765000,853000
8000,10000,11000,12000,15000,16000,17000,19000,25000,26000,29000,31000,36000,37000,44000,55000,73000,95000,120000,145000,175000,199000,221000,244000,283000,349000,446000,535000,563000,613000,685000
4000,5000,6000,7000,8000,10000,10000,11000,13000,17000,17000,20000,22000,24000,25000,30000,39000,52000,69000,87000,107000,130000,149000,168000,188000,221000,277000,358000,434000,462000,509000
2000,2000,3000,3000,4000,4000,5000,5000,6000,7000,9000,10000,12000,12000,14000,14000,18000,23000,31000,42000,54000,67000,82000,96000,110000,126000,151000,193000,255000,313000,339000
1000,1000,1000,1000,1000,2000,2000,2000,2000,3000,3000,4000,4000,5000,5000,6000,6000,8000,10000,15000,20000,26000,33000,41000,49000,58000,69000,84000,110000,149000,187000
0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,3000,5000,7000,9000,12000,15000,19000,23000,27000,35000,47000,66000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,3000,4000,5000,6000,7000,10000,14000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000
