1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
12000,13000,15000,20000,27000,39000,59000,70000,97000,102000,109000,120000,117000,115000,114000,115000,119000,120000,121000,119000,117000,116000,117000,117000,116000,114000,112000,110000,109000,109000,108000
9000,11000,12000,15000,21000,31000,49000,59000,83000,89000,99000,105000,117000,115000,114000,113000,114000,117000,119000,120000,119000,117000,116000,116000,117000,116000,114000,112000,110000,109000,109000
8000,9000,11000,12000,17000,25000,41000,51000,73000,78000,88000,97000,104000,117000,115000,113000,112000,113000,116000,119000,119000,118000,117000,116000,116000,117000,116000,114000,112000,110000,109000
7000,8000,9000,12000,14000,21000,33000,43000,63000,69000,79000,86000,96000,104000,116000,115000,113000,112000,114000,117000,119000,121000,120000,118000,117000,117000,118000,117000,115000,113000,112000
6000,7000,8000,10000,13000,17000,27000,35000,52000,59000,74000,78000,86000,96000,103000,117000,119000,117000,117000,119000,123000,126000,128000,126000,125000,124000,124000,125000,125000,123000,121000
5000,6000,7000,8000,11000,16000,22000,28000,42000,49000,65000,72000,77000,85000,95000,101000,116000,118000,117000,117000,119000,124000,128000,129000,127000,126000,125000,126000,127000,126000,124000
4000,5000,5000,7000,9000,13000,21000,23000,34000,39000,53000,64000,71000,76000,84000,92000,98000,112000,114000,113000,114000,116000,122000,125000,125000,124000,122000,121000,123000,124000,123000
3000,4000,5000,6000,8000,11000,17000,22000,28000,32000,42000,52000,63000,70000,75000,82000,89000,94000,108000,110000,110000,111000,114000,119000,122000,122000,120000,119000,119000,120000,121000
3000,3000,4000,5000,6000,9000,14000,18000,26000,26000,33000,41000,51000,61000,69000,73000,79000,86000,91000,106000,108000,108000,109000,111000,116000,119000,119000,118000,117000,116000,117000
2000,2000,3000,4000,5000,7000,12000,14000,21000,24000,26000,32000,40000,49000,60000,67000,71000,77000,84000,89000,103000,105000,105000,106000,109000,114000,116000,117000,116000,115000,114000
2000,2000,2000,3000,4000,6000,9000,12000,17000,19000,24000,25000,31000,38000,48000,58000,65000,68000,74000,81000,86000,100000,102000,102000,103000,106000,111000,114000,114000,114000,112000
1000,2000,2000,2000,3000,5000,7000,9000,14000,15000,18000,22000,24000,29000,36000,45000,55000,61000,65000,71000,77000,82000,96000,98000,99000,100000,103000,107000,111000,111000,111000
1000,1000,1000,2000,2000,4000,6000,7000,10000,12000,14000,17000,20000,22000,27000,34000,42000,51000,57000,61000,66000,73000,78000,91000,93000,94000,95000,98000,103000,106000,107000
1000,1000,1000,1000,2000,3000,4000,5000,8000,9000,10000,12000,15000,18000,20000,24000,30000,38000,46000,52000,55000,60000,66000,71000,83000,86000,87000,88000,92000,97000,100000
0,0,1000,1000,1000,2000,3000,3000,5000,6000,7000,8000,10000,12000,15000,16000,20000,25000,32000,39000,44000,47000,52000,57000,62000,73000,76000,77000,79000,83000,88000
0,0,0,0,1000,1000,1000,2000,3000,3000,4000,5000,6000,7000,9000,11000,12000,15000,19000,24000,30000,34000,37000,41000,46000,50000,59000,62000,64000,66000,70000
0,0,0,0,0,0,1000,1000,1000,2000,2000,2000,3000,3000,4000,5000,7000,8000,9000,12000,16000,19000,22000,24000,28000,32000,35000,43000,45000,47000,50000
0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,2000,2000,3000,3000,4000,5000,6000,8000,10000,12000,13000,15000,18000,20000,25000,27000,29000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,3000,4000,4000,5000,6000,7000,9000,11000,12000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,2000,3000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
