1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1469000,1927000,2155000,2414000,2484000,2848000,3293000,3762000,3778000,3557000,3045000,3052000,3891000,4725000,5014000,4505000,3959000,3771000,3961000,4253000,4328000,4105000,3773000,3558000,3532000,3585000,3577000,3445000,3250000,3086000,2996000
1141000,1331000,1754000,1853000,2201000,2343000,2894000,3190000,3709000,3805000,3539000,3020000,3033000,3871000,4706000,4994000,4480000,3937000,3751000,3941000,4235000,4311000,4089000,3756000,3541000,3518000,3571000,3561000,3432000,3239000,3075000
1052000,1112000,1293000,1547000,1789000,2134000,2460000,2868000,3167000,3765000,3832000,3526000,3012000,3025000,3864000,4697000,4980000,4467000,3925000,3739000,3931000,4225000,4300000,4078000,3745000,3532000,3509000,3561000,3553000,3425000,3232000
964000,1020000,1067000,1143000,1479000,1727000,2045000,2457000,2853000,3248000,3797000,3807000,3512000,2996000,3012000,3847000,4675000,4959000,4447000,3906000,3722000,3913000,4207000,4282000,4059000,3729000,3516000,3492000,3546000,3538000,3411000
812000,914000,935000,918000,1069000,1392000,1661000,2066000,2459000,2795000,3281000,3750000,3778000,3479000,2970000,2980000,3791000,4618000,4900000,4389000,3850000,3665000,3855000,4147000,4220000,4003000,3671000,3457000,3437000,3492000,3485000
643000,762000,818000,827000,843000,1001000,1325000,1689000,2078000,2399000,2741000,3228000,3713000,3738000,3447000,2944000,2940000,3751000,4576000,4856000,4350000,3813000,3627000,3815000,4105000,4187000,3967000,3633000,3425000,3407000,3463000
572000,602000,683000,736000,764000,787000,990000,1345000,1697000,1975000,2346000,2696000,3193000,3676000,3708000,3424000,2925000,2923000,3733000,4556000,4840000,4337000,3801000,3614000,3800000,4097000,4177000,3955000,3628000,3422000,3405000
478000,535000,542000,611000,682000,715000,773000,997000,1345000,1603000,1897000,2309000,2665000,3160000,3647000,3684000,3405000,2909000,2909000,3717000,4541000,4826000,4325000,3790000,3603000,3794000,4090000,4168000,3952000,3626000,3421000
455000,446000,484000,487000,563000,640000,699000,771000,992000,1306000,1530000,1864000,2280000,2635000,3131000,3618000,3658000,3383000,2893000,2893000,3700000,4523000,4809000,4309000,3776000,3593000,3784000,4079000,4160000,3945000,3621000
356000,423000,403000,413000,447000,526000,627000,690000,764000,947000,1269000,1500000,1836000,2250000,2604000,3099000,3585000,3627000,3357000,2871000,2874000,3679000,4499000,4784000,4289000,3761000,3579000,3770000,4066000,4149000,3935000
352000,327000,380000,357000,372000,416000,510000,610000,676000,739000,905000,1237000,1470000,1803000,2213000,2565000,3057000,3541000,3586000,3321000,2843000,2849000,3650000,4466000,4752000,4262000,3739000,3560000,3752000,4048000,4132000
224000,316000,287000,317000,317000,341000,403000,484000,585000,679000,709000,874000,1201000,1432000,1758000,2163000,2512000,2999000,3479000,3528000,3272000,2804000,2814000,3608000,4419000,4707000,4224000,3708000,3533000,3726000,4023000
187000,194000,269000,259000,270000,282000,324000,370000,452000,583000,657000,671000,832000,1149000,1372000,1690000,2087000,2431000,2911000,3385000,3441000,3197000,2745000,2760000,3546000,4350000,4638000,4167000,3662000,3493000,3687000
132000,151000,154000,200000,208000,224000,257000,282000,329000,432000,548000,598000,616000,772000,1065000,1277000,1587000,1970000,2306000,2774000,3240000,3306000,3082000,2654000,2677000,3450000,4242000,4531000,4078000,3590000,3429000
95000,96000,108000,141000,143000,153000,184000,207000,231000,289000,380000,466000,516000,537000,676000,937000,1141000,1431000,1791000,2114000,2564000,3014000,3093000,2900000,2509000,2545000,3294000,4064000,4354000,3930000,3468000
43000,58000,58000,95000,89000,86000,102000,132000,149000,201000,225000,288000,360000,407000,424000,540000,767000,948000,1207000,1531000,1831000,2249000,2670000,2766000,2615000,2280000,2334000,3041000,3774000,4061000,3682000
28000,21000,28000,37000,48000,43000,41000,61000,78000,103000,141000,141000,186000,240000,271000,285000,382000,553000,699000,911000,1180000,1439000,1801000,2170000,2279000,2183000,1926000,2000000,2636000,3300000,3577000
10000,10000,7000,10000,13000,17000,16000,19000,27000,35000,48000,65000,68000,95000,122000,140000,158000,220000,327000,427000,575000,766000,960000,1234000,1520000,1629000,1591000,1429000,1519000,2038000,2588000
5000,2000,2000,2000,2000,3000,4000,5000,5000,8000,11000,15000,21000,24000,33000,42000,55000,64000,94000,145000,198000,278000,384000,498000,664000,843000,930000,934000,862000,948000,1307000
1000,1000,0,0,0,0,0,1000,1000,1000,2000,2000,3000,5000,5000,7000,11000,14000,18000,28000,44000,63000,92000,133000,180000,252000,331000,378000,394000,377000,435000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,2000,3000,5000,8000,12000,19000,29000,41000,61000,84000,102000,113000,116000
