1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
3756000,4235000,4663000,5081000,5565000,6224000,7160000,8207000,9032000,8950000,9281000,10012000,11115000,12946000,12664000,11832000,12246000,12816000,13430000,13524000,13011000,12697000,12652000,12714000,12685000,12463000,12088000,11733000,11505000,11323000,11079000
2308000,3103000,3674000,4185000,4649000,5147000,5859000,6894000,8013000,8890000,8853000,9211000,9934000,11066000,12888000,12642000,11787000,12210000,12783000,13397000,13494000,12986000,12674000,12630000,12692000,12665000,12448000,12070000,11715000,11489000,11306000
2135000,2255000,3047000,3621000,4127000,4586000,5094000,5828000,6865000,7981000,8863000,8831000,9177000,9913000,11041000,12879000,12616000,11767000,12192000,12764000,13380000,13479000,12971000,12660000,12617000,12680000,12656000,12438000,12059000,11705000,11479000
2152000,2087000,2211000,3013000,3573000,4058000,4519000,5085000,5830000,6832000,7954000,8833000,8745000,9141000,9877000,11035000,12831000,12572000,11727000,12150000,12724000,13340000,13439000,12932000,12622000,12580000,12646000,12621000,12402000,12025000,11671000
1935000,2084000,2024000,2192000,2961000,3473000,3957000,4547000,5133000,5814000,6805000,7922000,8657000,8698000,9074000,9891000,10914000,12707000,12447000,11598000,12020000,12591000,13203000,13301000,12793000,12483000,12446000,12506000,12479000,12264000,11885000
1700000,1861000,2010000,2006000,2149000,2854000,3358000,3985000,4600000,5131000,5785000,6776000,7725000,8608000,8616000,9126000,9821000,10851000,12642000,12380000,11537000,11961000,12530000,13142000,13240000,12736000,12437000,12393000,12451000,12429000,12211000
1469000,1636000,1797000,1987000,1967000,2067000,2756000,3372000,4018000,4593000,5098000,5757000,6613000,7678000,8524000,8650000,9100000,9806000,10839000,12626000,12370000,11536000,11961000,12533000,13146000,13249000,12757000,12455000,12411000,12474000,12451000
1266000,1411000,1578000,1768000,1942000,1893000,1989000,2750000,3377000,3996000,4551000,5063000,5630000,6565000,7600000,8521000,8615000,9074000,9782000,10813000,12598000,12350000,11523000,11951000,12524000,13141000,13252000,12760000,12460000,12420000,12484000
1089000,1212000,1357000,1542000,1719000,1869000,1820000,1969000,2730000,3338000,3940000,4498000,4950000,5574000,6487000,7564000,8464000,8565000,9027000,9735000,10765000,12547000,12304000,11486000,11917000,12493000,13116000,13228000,12740000,12445000,12407000
906000,1038000,1160000,1315000,1488000,1647000,1794000,1781000,1936000,2674000,3264000,3858000,4374000,4868000,5484000,6417000,7476000,8374000,8481000,8944000,9652000,10681000,12455000,12221000,11417000,11852000,12434000,13057000,13173000,12694000,12404000
743000,855000,984000,1110000,1254000,1409000,1556000,1714000,1705000,1858000,2567000,3135000,3687000,4229000,4730000,5357000,6266000,7315000,8206000,8322000,8790000,9499000,10525000,12289000,12070000,11290000,11733000,12319000,12946000,13072000,12605000
600000,688000,796000,923000,1038000,1165000,1302000,1447000,1595000,1592000,1740000,2402000,2917000,3471000,4014000,4512000,5119000,6011000,7040000,7919000,8052000,8529000,9240000,10264000,12011000,11817000,11079000,11532000,12126000,12762000,12902000
465000,534000,617000,718000,830000,928000,1037000,1164000,1297000,1435000,1440000,1578000,2167000,2656000,3188000,3702000,4181000,4772000,5635000,6634000,7496000,7654000,8144000,8859000,9878000,11599000,11444000,10762000,11231000,11839000,12486000
318000,389000,451000,524000,607000,696000,776000,874000,984000,1103000,1233000,1243000,1362000,1875000,2317000,2784000,3271000,3729000,4294000,5113000,6065000,6901000,7091000,7596000,8313000,9323000,11004000,10899000,10297000,10788000,11412000
189000,238000,296000,346000,398000,457000,523000,591000,670000,761000,870000,982000,990000,1089000,1504000,1854000,2284000,2722000,3143000,3664000,4415000,5297000,6085000,6311000,6829000,7538000,8524000,10136000,10093000,9603000,10117000
84000,119000,153000,191000,221000,250000,285000,334000,382000,438000,515000,601000,680000,685000,757000,1030000,1337000,1683000,2045000,2406000,2856000,3504000,4274000,4983000,5242000,5758000,6438000,7371000,8861000,8897000,8556000
22000,42000,61000,79000,97000,109000,121000,142000,169000,195000,235000,285000,335000,376000,375000,406000,603000,809000,1048000,1309000,1580000,1925000,2423000,3027000,3609000,3874000,4349000,4955000,5777000,7065000,7177000
8000,8000,16000,23000,29000,34000,37000,43000,50000,59000,74000,93000,113000,130000,143000,134000,170000,263000,370000,497000,645000,808000,1021000,1333000,1726000,2121000,2344000,2718000,3182000,3817000,4789000
2000,2000,2000,5000,6000,7000,8000,9000,10000,11000,14000,18000,23000,27000,29000,29000,34000,47000,76000,113000,159000,217000,285000,379000,520000,707000,905000,1042000,1263000,1541000,1925000
0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,2000,2000,3000,3000,3000,4000,5000,7000,12000,20000,29000,43000,59000,84000,123000,178000,240000,292000,377000,485000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,2000,3000,4000,7000,10000,16000,25000,36000,47000,65000
