1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
143000,145000,164000,198000,226000,252000,290000,316000,368000,350000,398000,427000,460000,459000,447000,476000,524000,558000,572000,573000,573000,581000,589000,593000,587000,575000,565000,556000,548000,538000,525000
118000,122000,123000,144000,175000,202000,228000,262000,286000,294000,333000,388000,413000,444000,446000,439000,469000,517000,554000,567000,568000,568000,575000,584000,588000,581000,571000,560000,551000,544000,533000
100000,112000,116000,118000,138000,167000,194000,219000,252000,236000,286000,328000,381000,404000,437000,441000,435000,465000,515000,550000,564000,564000,564000,572000,581000,585000,578000,567000,557000,548000,540000
86000,97000,108000,112000,114000,134000,163000,189000,211000,215000,225000,287000,319000,360000,390000,430000,436000,430000,462000,511000,546000,559000,560000,560000,567000,576000,581000,574000,563000,553000,544000
72000,83000,93000,105000,109000,111000,130000,157000,178000,183000,193000,234000,269000,277000,327000,374000,420000,426000,423000,453000,501000,536000,548000,549000,548000,556000,565000,569000,563000,551000,542000
60000,68000,79000,90000,101000,106000,108000,125000,146000,154000,161000,204000,212000,223000,238000,310000,364000,409000,420000,415000,443000,491000,524000,538000,537000,537000,545000,554000,559000,551000,541000
49000,57000,65000,76000,86000,97000,101000,103000,116000,126000,137000,170000,186000,175000,190000,224000,302000,355000,404000,414000,408000,436000,482000,517000,529000,529000,530000,537000,547000,551000,544000
41000,46000,53000,62000,72000,82000,93000,96000,96000,99000,113000,142000,156000,159000,152000,180000,219000,295000,351000,399000,408000,402000,429000,476000,510000,522000,523000,523000,532000,541000,545000
33000,38000,43000,50000,58000,68000,77000,87000,89000,80000,89000,115000,131000,137000,142000,144000,175000,213000,291000,346000,392000,401000,395000,423000,469000,503000,516000,517000,518000,526000,536000
27000,30000,35000,40000,47000,54000,63000,72000,81000,73000,72000,89000,107000,118000,125000,136000,140000,170000,209000,285000,339000,385000,394000,389000,417000,462000,496000,510000,511000,512000,520000
23000,25000,27000,32000,37000,43000,50000,58000,66000,65000,66000,71000,83000,96000,108000,118000,131000,135000,166000,203000,277000,331000,376000,386000,381000,409000,454000,488000,502000,503000,505000
19000,20000,22000,24000,28000,33000,38000,44000,52000,52000,58000,63000,65000,74000,88000,101000,112000,125000,129000,159000,196000,268000,320000,365000,375000,371000,399000,444000,478000,492000,494000
16000,16000,17000,18000,21000,24000,28000,33000,38000,39000,45000,54000,57000,57000,67000,81000,94000,105000,117000,122000,151000,186000,256000,306000,350000,361000,358000,386000,431000,465000,479000
12000,12000,12000,13000,15000,16000,19000,22000,26000,28000,33000,40000,46000,48000,50000,59000,73000,85000,96000,107000,112000,139000,173000,238000,287000,329000,341000,340000,367000,412000,446000
8000,8000,8000,9000,9000,10000,12000,14000,16000,17000,21000,26000,32000,37000,39000,41000,50000,61000,73000,82000,93000,98000,123000,154000,214000,260000,300000,313000,313000,341000,384000
4000,4000,4000,5000,5000,5000,6000,7000,8000,9000,11000,15000,18000,22000,27000,29000,31000,38000,48000,57000,65000,75000,80000,101000,129000,181000,222000,259000,273000,276000,303000
1000,2000,2000,2000,2000,2000,3000,3000,3000,4000,5000,7000,8000,11000,13000,17000,19000,20000,25000,32000,39000,46000,53000,58000,75000,97000,138000,173000,204000,217000,223000
0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,2000,3000,3000,5000,6000,8000,9000,10000,13000,17000,22000,26000,31000,34000,46000,61000,88000,113000,136000,148000
0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,3000,3000,4000,5000,7000,9000,11000,13000,15000,21000,29000,43000,57000,71000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,3000,4000,4000,6000,9000,14000,19000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,2000
