1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
3182000,3230000,3644000,4456000,5242000,5994000,6662000,7527000,9357000,11456000,13103000,14467000,15391000,15795000,17738000,19654000,20626000,21279000,21858000,22673000,23368000,23824000,24039000,24114000,24128000,24162000,24112000,23945000,23707000,23471000,23222000
2470000,2741000,2770000,3216000,3954000,4656000,5040000,5955000,6806000,8697000,10646000,12354000,13892000,14999000,15508000,17492000,19440000,20441000,21128000,21728000,22561000,23261000,23725000,23959000,24040000,24072000,24116000,24067000,23902000,23677000,23465000
2089000,2366000,2616000,2667000,3097000,3801000,4240000,4870000,5839000,6715000,8440000,10352000,12102000,13715000,14857000,15390000,17386000,19341000,20358000,21053000,21662000,22495000,23198000,23673000,23909000,24001000,24039000,24085000,24037000,23881000,23672000
1800000,2020000,2283000,2545000,2595000,3004000,3493000,4163000,4837000,5813000,6564000,8254000,10188000,11994000,13602000,14815000,15413000,17425000,19401000,20437000,21152000,21774000,22624000,23346000,23835000,24094000,24200000,24251000,24307000,24277000,24142000
1542000,1725000,1930000,2210000,2464000,2496000,2734000,3442000,4191000,4869000,5657000,6358000,8067000,10098000,11865000,13613000,15265000,15949000,18046000,20093000,21207000,21988000,22686000,23613000,24402000,24971000,25289000,25455000,25550000,25669000,25704000
1316000,1466000,1631000,1856000,2128000,2352000,2248000,2693000,3500000,4261000,4712000,5458000,6188000,8000000,9980000,11657000,13553000,15219000,15944000,18047000,20100000,21208000,21999000,22725000,23659000,24481000,25067000,25397000,25569000,25700000,25873000
1116000,1246000,1381000,1563000,1780000,2024000,2109000,2202000,2749000,3564000,4102000,4539000,5303000,6131000,7899000,9753000,11239000,13096000,14740000,15436000,17496000,19490000,20557000,21331000,22022000,22946000,23751000,24311000,24622000,24797000,24957000
948000,1050000,1167000,1314000,1489000,1684000,1809000,2042000,2215000,2776000,3413000,3937000,4397000,5230000,6040000,7718000,9408000,10863000,12694000,14304000,14977000,16989000,18942000,19994000,20743000,21427000,22338000,23124000,23672000,23986000,24181000
799000,884000,975000,1101000,1241000,1397000,1494000,1728000,1991000,2186000,2642000,3252000,3792000,4308000,5126000,5888000,7459000,9117000,10552000,12352000,13936000,14590000,16571000,18505000,19541000,20289000,20970000,21873000,22654000,23208000,23540000
667000,737000,812000,910000,1029000,1153000,1228000,1408000,1648000,1916000,2069000,2495000,3108000,3685000,4196000,4977000,5684000,7222000,8852000,10262000,12034000,13591000,14239000,16201000,18114000,19151000,19901000,20583000,21485000,22274000,22844000
484000,607000,667000,747000,839000,943000,1001000,1138000,1321000,1559000,1793000,1929000,2357000,2987000,3553000,4039000,4781000,5470000,6972000,8565000,9947000,11686000,13219000,13871000,15811000,17709000,18747000,19503000,20192000,21104000,21908000
402000,431000,535000,599000,672000,750000,799000,903000,1048000,1226000,1428000,1640000,1790000,2228000,2836000,3374000,3838000,4553000,5223000,6676000,8221000,9570000,11272000,12783000,13441000,15360000,17239000,18281000,19048000,19754000,20682000
323000,343000,364000,462000,518000,577000,611000,690000,805000,943000,1082000,1268000,1479000,1649000,2068000,2638000,3149000,3592000,4274000,4916000,6306000,7792000,9103000,10763000,12243000,12915000,14804000,16657000,17706000,18493000,19225000
247000,256000,269000,295000,374000,415000,440000,492000,579000,683000,782000,910000,1087000,1299000,1465000,1846000,2370000,2840000,3252000,3886000,4490000,5792000,7198000,8456000,10053000,11491000,12177000,14021000,15835000,16896000,17711000
162000,174000,178000,195000,215000,268000,284000,317000,379000,449000,511000,600000,717000,885000,1075000,1223000,1558000,2011000,2425000,2795000,3363000,3917000,5101000,6393000,7571000,9075000,10444000,11142000,12914000,14669000,15740000
85000,95000,101000,109000,120000,131000,156000,175000,219000,260000,287000,341000,413000,516000,654000,802000,928000,1193000,1554000,1892000,2205000,2688000,3172000,4190000,5315000,6372000,7730000,8981000,9678000,11332000,12981000
30000,38000,42000,48000,53000,57000,60000,74000,96000,123000,130000,153000,190000,244000,316000,408000,509000,598000,780000,1031000,1279000,1520000,1890000,2273000,3064000,3958000,4827000,5956000,7018000,7678000,9125000
7000,9000,12000,14000,17000,17000,18000,20000,26000,34000,44000,49000,62000,84000,112000,148000,197000,249000,300000,402000,545000,695000,849000,1084000,1340000,1859000,2461000,3072000,3882000,4666000,5214000
1000,1000,2000,2000,3000,3000,3000,4000,4000,6000,8000,11000,13000,18000,25000,34000,48000,65000,84000,106000,147000,207000,274000,347000,459000,587000,845000,1154000,1484000,1935000,2386000
0,0,0,0,0,0,0,1000,0,0,1000,1000,2000,2000,3000,4000,6000,9000,13000,17000,23000,33000,49000,67000,89000,123000,164000,247000,349000,466000,632000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,3000,4000,6000,9000,13000,19000,26000,41000,61000,86000
