1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
53000,58000,64000,73000,85000,101000,120000,143000,163000,178000,189000,212000,247000,291000,321000,333000,341000,359000,384000,407000,421000,429000,436000,443000,452000,461000,466000,468000,467000,467000,468000
43000,46000,52000,59000,69000,80000,96000,116000,139000,159000,174000,186000,210000,246000,288000,319000,331000,340000,358000,383000,406000,421000,429000,436000,443000,453000,462000,467000,469000,468000,468000
41000,41000,45000,51000,58000,68000,80000,95000,115000,138000,158000,173000,186000,210000,245000,288000,318000,331000,339000,358000,383000,406000,421000,429000,436000,444000,453000,462000,468000,469000,469000
39000,40000,40000,44000,50000,57000,67000,79000,95000,114000,137000,159000,176000,190000,210000,246000,289000,320000,333000,342000,361000,386000,410000,425000,433000,441000,449000,459000,468000,473000,475000
38000,38000,39000,39000,44000,50000,57000,67000,79000,95000,115000,140000,168000,190000,192000,213000,256000,301000,333000,347000,358000,378000,405000,430000,447000,457000,465000,474000,485000,495000,502000
36000,36000,37000,37000,39000,44000,50000,57000,67000,79000,95000,118000,151000,184000,192000,191000,214000,257000,302000,335000,350000,361000,382000,410000,435000,452000,462000,471000,480000,492000,502000
34000,34000,35000,35000,37000,39000,43000,50000,57000,66000,79000,97000,126000,163000,185000,190000,185000,207000,250000,295000,327000,342000,353000,373000,400000,426000,442000,452000,460000,469000,480000
32000,32000,33000,33000,35000,36000,38000,43000,49000,56000,66000,80000,103000,134000,164000,182000,184000,179000,201000,244000,287000,319000,334000,345000,365000,392000,416000,433000,442000,450000,459000
30000,30000,31000,31000,32000,34000,35000,37000,42000,48000,55000,66000,82000,107000,133000,160000,177000,178000,173000,196000,238000,281000,312000,327000,338000,358000,384000,409000,425000,434000,442000
27000,28000,28000,29000,30000,31000,32000,34000,36000,40000,47000,54000,67000,84000,105000,129000,155000,171000,173000,168000,190000,232000,274000,306000,320000,331000,351000,377000,402000,418000,427000
25000,25000,26000,27000,27000,28000,29000,31000,33000,34000,39000,45000,54000,67000,81000,101000,124000,149000,165000,167000,163000,184000,225000,266000,297000,312000,323000,343000,369000,394000,410000
22000,23000,23000,24000,25000,25000,26000,28000,29000,30000,32000,37000,44000,52000,63000,77000,95000,117000,141000,157000,159000,155000,177000,216000,257000,287000,302000,313000,334000,360000,384000
19000,19000,20000,21000,21000,22000,23000,24000,25000,26000,28000,30000,34000,41000,48000,58000,71000,88000,109000,131000,146000,149000,146000,167000,205000,244000,274000,289000,301000,321000,348000
15000,15000,16000,17000,17000,18000,19000,20000,21000,22000,23000,24000,26000,31000,36000,42000,51000,63000,78000,97000,118000,132000,135000,134000,154000,190000,227000,256000,272000,284000,304000
10000,11000,12000,12000,13000,14000,14000,15000,16000,17000,17000,18000,20000,22000,25000,30000,35000,43000,53000,66000,83000,101000,114000,118000,118000,136000,169000,204000,232000,247000,260000
6000,7000,7000,8000,8000,9000,9000,10000,11000,11000,12000,13000,14000,15000,16000,19000,22000,27000,33000,40000,51000,65000,80000,92000,96000,97000,113000,142000,173000,199000,214000
3000,3000,3000,4000,4000,5000,5000,5000,6000,6000,7000,7000,8000,9000,9000,10000,12000,14000,17000,22000,27000,35000,45000,56000,66000,70000,72000,85000,109000,134000,155000
1000,1000,1000,1000,2000,2000,2000,2000,2000,3000,3000,3000,4000,4000,4000,5000,5000,6000,8000,9000,12000,15000,19000,26000,33000,39000,42000,44000,54000,70000,88000
0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,3000,4000,5000,6000,8000,11000,14000,17000,19000,21000,27000,35000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,3000,4000,5000,6000,7000,9000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000
