1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
474000,530000,581000,639000,708000,786000,868000,977000,1140000,1350000,1488000,1578000,1764000,1937000,2106000,2242000,2324000,2374000,2421000,2468000,2492000,2504000,2491000,2465000,2440000,2412000,2375000,2330000,2273000,2210000,2154000
357000,396000,445000,492000,546000,610000,684000,769000,888000,1069000,1250000,1392000,1497000,1688000,1866000,2039000,2171000,2252000,2305000,2355000,2403000,2430000,2445000,2435000,2411000,2390000,2365000,2332000,2289000,2235000,2177000
315000,344000,382000,430000,475000,527000,590000,665000,758000,890000,1045000,1219000,1363000,1470000,1663000,1841000,2010000,2140000,2221000,2276000,2326000,2375000,2402000,2418000,2409000,2387000,2367000,2344000,2310000,2268000,2217000
285000,306000,334000,371000,418000,457000,505000,572000,657000,762000,859000,1007000,1188000,1335000,1449000,1641000,1814000,1981000,2111000,2193000,2246000,2297000,2346000,2374000,2390000,2382000,2361000,2343000,2319000,2287000,2247000
259000,275000,295000,323000,358000,390000,419000,478000,561000,655000,706000,783000,953000,1143000,1304000,1417000,1595000,1763000,1928000,2056000,2135000,2190000,2239000,2287000,2316000,2332000,2325000,2306000,2285000,2263000,2235000
231000,248000,264000,283000,309000,328000,348000,390000,466000,556000,594000,617000,725000,904000,1109000,1273000,1372000,1542000,1709000,1872000,1996000,2077000,2130000,2179000,2228000,2256000,2274000,2270000,2247000,2229000,2213000
204000,221000,237000,252000,271000,283000,292000,323000,378000,461000,505000,519000,568000,684000,875000,1082000,1236000,1330000,1499000,1665000,1824000,1949000,2028000,2082000,2132000,2181000,2211000,2231000,2225000,2205000,2192000
177000,194000,209000,225000,239000,249000,255000,272000,312000,373000,422000,448000,480000,537000,661000,852000,1051000,1201000,1294000,1462000,1624000,1783000,1906000,1985000,2039000,2089000,2139000,2172000,2191000,2186000,2170000
149000,167000,182000,197000,212000,221000,226000,237000,261000,306000,343000,378000,416000,454000,516000,641000,825000,1018000,1165000,1258000,1422000,1582000,1739000,1860000,1940000,1994000,2045000,2097000,2128000,2149000,2148000
127000,138000,156000,170000,185000,195000,201000,210000,227000,255000,282000,310000,353000,394000,435000,498000,617000,796000,984000,1128000,1218000,1379000,1536000,1690000,1810000,1889000,1944000,1996000,2047000,2080000,2103000
106000,116000,127000,144000,157000,169000,178000,186000,199000,219000,235000,256000,288000,331000,374000,415000,475000,589000,761000,943000,1082000,1171000,1327000,1480000,1630000,1748000,1826000,1881000,1932000,1984000,2018000
90000,95000,105000,115000,130000,141000,151000,162000,173000,189000,199000,210000,234000,266000,310000,351000,389000,446000,555000,719000,892000,1024000,1110000,1259000,1407000,1551000,1665000,1742000,1796000,1848000,1900000
78000,78000,82000,90000,100000,112000,123000,133000,145000,159000,167000,175000,188000,211000,243000,283000,321000,357000,410000,511000,663000,825000,949000,1029000,1170000,1309000,1446000,1556000,1630000,1683000,1735000
70000,63000,63000,67000,74000,81000,92000,102000,114000,126000,134000,140000,148000,161000,183000,212000,247000,281000,313000,361000,451000,587000,731000,842000,916000,1044000,1170000,1296000,1397000,1467000,1520000
52000,50000,45000,45000,49000,54000,60000,70000,79000,90000,98000,103000,109000,118000,129000,148000,171000,200000,228000,256000,295000,371000,484000,604000,699000,762000,872000,981000,1090000,1179000,1244000
27000,31000,30000,27000,28000,31000,34000,39000,47000,55000,61000,65000,70000,76000,83000,92000,106000,123000,145000,166000,186000,216000,272000,357000,447000,519000,569000,654000,740000,827000,899000
10000,12000,14000,14000,13000,14000,15000,18000,21000,26000,29000,33000,36000,40000,44000,49000,55000,63000,74000,87000,100000,113000,132000,167000,220000,277000,323000,356000,414000,471000,530000
2000,3000,4000,5000,5000,4000,5000,6000,7000,9000,10000,11000,13000,15000,17000,19000,21000,24000,28000,33000,39000,45000,51000,60000,77000,103000,130000,152000,170000,200000,230000
0,0,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,3000,3000,4000,5000,5000,6000,7000,8000,10000,12000,14000,16000,18000,24000,32000,41000,48000,55000,65000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,2000,2000,2000,3000,3000,4000,6000,7000,9000,10000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000
