1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
56000,61000,71000,82000,93000,110000,133000,166000,204000,242000,264000,288000,331000,373000,376000,392000,400000,404000,410000,414000,413000,408000,402000,396000,389000,382000,374000,364000,353000,344000,335000
43000,45000,49000,59000,70000,81000,99000,123000,156000,193000,229000,253000,278000,322000,365000,369000,385000,393000,398000,405000,409000,409000,404000,399000,393000,386000,379000,371000,361000,351000,343000
35000,42000,43000,47000,57000,68000,81000,99000,122000,154000,189000,224000,248000,274000,317000,361000,365000,381000,390000,395000,402000,406000,406000,402000,397000,391000,385000,378000,370000,360000,350000
31000,35000,41000,42000,47000,57000,70000,84000,104000,122000,150000,185000,221000,245000,270000,313000,357000,361000,378000,387000,392000,399000,404000,404000,400000,395000,389000,382000,376000,368000,358000
28000,32000,35000,41000,43000,48000,61000,77000,96000,109000,117000,144000,179000,215000,238000,264000,306000,349000,354000,371000,380000,385000,392000,397000,397000,393000,388000,383000,376000,370000,362000
24000,29000,33000,36000,42000,44000,50000,66000,85000,100000,103000,111000,139000,173000,208000,232000,257000,300000,343000,347000,364000,374000,379000,387000,392000,392000,389000,384000,379000,372000,366000
18000,25000,29000,33000,36000,42000,43000,50000,67000,85000,95000,98000,106000,134000,167000,202000,227000,252000,295000,338000,343000,360000,370000,376000,384000,389000,389000,386000,381000,377000,371000
16000,19000,25000,29000,32000,35000,38000,39000,47000,64000,81000,90000,94000,102000,129000,163000,198000,222000,248000,290000,333000,338000,356000,366000,372000,380000,385000,386000,383000,379000,374000
13000,16000,18000,24000,28000,31000,31000,34000,37000,45000,61000,77000,87000,90000,98000,125000,159000,193000,218000,243000,285000,327000,333000,351000,361000,368000,375000,381000,382000,379000,375000
11000,13000,15000,17000,23000,26000,27000,27000,31000,35000,42000,58000,74000,83000,87000,95000,121000,154000,188000,212000,238000,279000,321000,327000,344000,355000,362000,370000,376000,377000,374000
9000,11000,12000,14000,16000,21000,22000,23000,25000,29000,32000,40000,55000,70000,79000,83000,91000,117000,149000,182000,206000,230000,271000,312000,318000,336000,346000,354000,362000,368000,370000
7000,8000,10000,11000,13000,15000,18000,19000,21000,23000,27000,30000,37000,51000,66000,75000,78000,86000,111000,142000,174000,197000,221000,260000,300000,307000,324000,335000,343000,351000,358000
6000,6000,7000,8000,10000,11000,13000,16000,18000,19000,20000,24000,27000,34000,47000,60000,69000,73000,80000,104000,133000,163000,185000,208000,246000,284000,291000,309000,320000,328000,337000
4000,4000,5000,6000,7000,8000,11000,12000,15000,16000,16000,17000,21000,24000,30000,41000,54000,61000,65000,72000,93000,120000,147000,168000,189000,225000,261000,268000,286000,297000,306000
2000,3000,3000,4000,4000,6000,9000,11000,11000,12000,12000,13000,14000,17000,19000,24000,34000,44000,51000,54000,61000,79000,102000,126000,144000,164000,196000,229000,237000,254000,265000
1000,1000,2000,2000,2000,3000,6000,9000,9000,8000,8000,8000,9000,10000,12000,14000,18000,25000,33000,38000,41000,46000,61000,79000,98000,113000,130000,157000,185000,193000,209000
0,0,1000,1000,1000,1000,3000,5000,5000,5000,5000,5000,5000,5000,6000,7000,8000,11000,16000,21000,24000,26000,30000,40000,52000,66000,77000,90000,110000,132000,140000
0,0,0,0,0,0,0,1000,2000,2000,2000,2000,2000,2000,2000,3000,3000,4000,5000,8000,10000,12000,13000,15000,20000,27000,35000,42000,50000,63000,77000
0,0,0,0,0,0,0,0,0,0,1000,1000,0,1000,1000,1000,1000,1000,1000,2000,2000,3000,4000,4000,5000,7000,10000,13000,16000,20000,26000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,3000,4000,5000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
