1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
90000,92000,94000,98000,88000,108000,155000,167000,178000,199000,215000,235000,260000,285000,291000,303000,316000,326000,333000,338000,341000,342000,341000,340000,336000,332000,327000,320000,314000,308000,302000
66000,66000,66000,77000,83000,84000,124000,133000,145000,165000,179000,199000,222000,251000,277000,285000,297000,310000,321000,328000,334000,336000,337000,337000,335000,333000,329000,324000,317000,312000,306000
53000,55000,53000,61000,74000,80000,95000,113000,122000,144000,157000,172000,194000,219000,248000,275000,282000,295000,308000,319000,326000,332000,335000,336000,335000,334000,331000,327000,322000,316000,310000
50000,48000,48000,46000,57000,71000,77000,84000,102000,121000,137000,151000,168000,191000,216000,246000,272000,280000,292000,305000,317000,324000,329000,332000,333000,333000,331000,328000,324000,320000,314000
47000,48000,47000,37000,40000,56000,69000,69000,76000,101000,114000,131000,147000,165000,188000,213000,240000,267000,275000,287000,301000,311000,318000,324000,326000,327000,327000,325000,322000,319000,315000
46000,47000,48000,36000,30000,40000,62000,62000,63000,75000,94000,108000,126000,143000,162000,185000,208000,235000,261000,270000,284000,296000,306000,313000,318000,321000,322000,320000,319000,319000,315000
42000,44000,44000,39000,29000,31000,50000,55000,56000,61000,70000,89000,104000,123000,140000,159000,181000,204000,231000,258000,268000,280000,292000,303000,309000,314000,317000,317000,317000,317000,316000
37000,38000,40000,37000,33000,29000,40000,43000,48000,54000,57000,66000,85000,100000,119000,137000,155000,177000,200000,227000,255000,264000,276000,288000,298000,305000,311000,313000,314000,314000,314000
30000,33000,34000,34000,32000,30000,34000,34000,37000,46000,50000,53000,62000,82000,97000,116000,133000,151000,173000,196000,224000,250000,259000,272000,283000,294000,301000,306000,309000,310000,310000
21000,26000,28000,29000,30000,28000,28000,28000,29000,35000,42000,46000,50000,59000,79000,94000,112000,129000,147000,168000,191000,218000,244000,253000,265000,277000,288000,294000,300000,303000,305000
18000,18000,22000,25000,26000,25000,23000,24000,25000,27000,32000,39000,43000,47000,56000,75000,89000,107000,124000,141000,162000,184000,210000,236000,245000,257000,269000,279000,286000,292000,296000
14000,16000,16000,19000,21000,21000,18000,21000,23000,23000,24000,29000,35000,40000,43000,52000,70000,84000,101000,117000,134000,154000,175000,200000,225000,234000,246000,258000,268000,276000,282000
11000,12000,14000,13000,16000,18000,16000,18000,20000,20000,20000,21000,25000,32000,36000,39000,48000,64000,77000,93000,108000,124000,143000,163000,186000,210000,219000,231000,242000,253000,261000
9000,9000,10000,11000,10000,13000,13000,15000,16000,17000,16000,16000,17000,21000,27000,31000,34000,42000,56000,68000,82000,96000,110000,127000,145000,167000,189000,197000,209000,221000,232000
6000,6000,7000,7000,8000,9000,11000,12000,13000,13000,12000,12000,12000,14000,17000,22000,25000,28000,34000,46000,56000,68000,79000,92000,106000,122000,141000,160000,169000,180000,192000
3000,4000,4000,4000,4000,5000,8000,9000,10000,9000,8000,8000,8000,8000,9000,12000,16000,18000,20000,25000,34000,41000,50000,59000,69000,81000,93000,109000,124000,132000,143000
1000,2000,2000,2000,2000,2000,4000,6000,6000,5000,5000,4000,4000,5000,5000,6000,7000,9000,11000,12000,15000,21000,26000,32000,38000,44000,52000,61000,72000,84000,90000
0,1000,1000,1000,1000,1000,2000,2000,3000,3000,2000,2000,2000,2000,2000,2000,3000,3000,4000,5000,6000,7000,10000,12000,16000,19000,22000,27000,32000,38000,45000
0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,1000,2000,2000,2000,3000,4000,5000,7000,8000,10000,12000,15000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,2000,3000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
