1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
32000,39000,42000,46000,51000,47000,48000,65000,87000,102000,118000,150000,190000,223000,244000,260000,279000,297000,314000,326000,334000,339000,344000,347000,347000,346000,345000,341000,337000,333000,329000
24000,28000,35000,38000,40000,38000,39000,49000,62000,83000,98000,118000,147000,187000,220000,240000,257000,277000,295000,311000,323000,332000,338000,342000,345000,346000,345000,343000,340000,336000,333000
22000,24000,27000,34000,35000,32000,33000,42000,49000,61000,84000,106000,118000,147000,187000,219000,240000,257000,277000,294000,310000,323000,331000,337000,341000,345000,346000,345000,343000,340000,336000
21000,22000,23000,27000,32000,28000,28000,38000,43000,50000,64000,102000,112000,123000,151000,188000,220000,241000,259000,278000,295000,312000,325000,333000,339000,344000,348000,349000,348000,346000,344000
19000,20000,21000,23000,26000,25000,24000,35000,41000,45000,55000,82000,116000,125000,134000,155000,197000,230000,252000,269000,289000,307000,325000,338000,347000,354000,360000,364000,365000,365000,364000
17000,18000,19000,21000,22000,20000,22000,31000,38000,44000,52000,70000,99000,132000,138000,135000,157000,199000,232000,253000,269000,290000,309000,326000,339000,350000,357000,361000,365000,368000,369000
16000,16000,17000,19000,20000,17000,17000,27000,34000,40000,48000,64000,83000,112000,142000,138000,132000,154000,195000,226000,245000,261000,282000,300000,317000,331000,342000,347000,351000,356000,359000
14000,15000,16000,17000,18000,15000,14000,21000,28000,35000,44000,56000,73000,91000,118000,141000,134000,129000,150000,189000,219000,238000,255000,274000,292000,309000,323000,333000,339000,343000,348000
12000,13000,14000,15000,16000,14000,13000,17000,22000,29000,36000,52000,61000,77000,94000,116000,137000,131000,125000,145000,184000,213000,232000,248000,268000,286000,303000,316000,326000,332000,337000
11000,11000,12000,14000,14000,12000,11000,14000,17000,22000,29000,40000,54000,63000,78000,92000,112000,132000,127000,121000,140000,178000,207000,226000,241000,261000,280000,296000,309000,319000,326000
10000,10000,11000,12000,12000,10000,10000,12000,14000,17000,22000,33000,40000,54000,63000,75000,88000,108000,127000,122000,116000,135000,172000,200000,218000,234000,254000,271000,288000,301000,312000
9000,9000,9000,10000,10000,9000,9000,10000,12000,13000,16000,23000,33000,39000,52000,59000,71000,83000,102000,120000,115000,110000,128000,164000,191000,209000,224000,243000,261000,278000,291000
7000,8000,8000,8000,8000,7000,7000,9000,10000,11000,13000,18000,22000,31000,37000,48000,54000,65000,76000,93000,110000,106000,102000,119000,152000,178000,196000,211000,230000,248000,264000
6000,6000,6000,7000,7000,6000,5000,7000,7000,8000,10000,14000,16000,20000,27000,32000,41000,47000,57000,67000,82000,98000,94000,91000,107000,137000,161000,178000,193000,211000,228000
4000,4000,4000,5000,5000,4000,4000,5000,5000,6000,7000,10000,12000,13000,16000,22000,26000,34000,38000,46000,54000,67000,81000,78000,76000,90000,117000,138000,154000,168000,185000
2000,2000,3000,3000,3000,2000,2000,3000,3000,4000,4000,6000,7000,8000,10000,11000,15000,18000,24000,28000,33000,40000,50000,60000,58000,57000,69000,91000,109000,122000,135000
1000,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,3000,4000,4000,5000,6000,7000,9000,11000,14000,17000,20000,24000,31000,38000,37000,37000,46000,61000,75000,85000
0,0,0,0,1000,0,0,1000,1000,1000,1000,1000,1000,2000,2000,2000,2000,3000,4000,5000,7000,8000,9000,12000,15000,18000,19000,19000,24000,33000,41000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,2000,2000,2000,3000,4000,5000,6000,7000,7000,9000,13000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
