1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
148000,167000,195000,228000,260000,296000,351000,405000,389000,370000,503000,562000,683000,735000,752000,790000,837000,868000,899000,917000,922000,922000,927000,932000,930000,929000,923000,904000,887000,868000,852000
127000,130000,147000,172000,202000,234000,269000,323000,320000,306000,404000,468000,576000,669000,716000,738000,778000,824000,859000,886000,904000,908000,913000,918000,922000,924000,923000,914000,897000,878000,861000
110000,122000,126000,142000,167000,197000,229000,263000,272000,270000,354000,389000,489000,572000,662000,711000,734000,773000,820000,853000,880000,897000,905000,909000,913000,921000,922000,919000,910000,892000,874000
96000,107000,119000,123000,139000,163000,193000,226000,224000,231000,313000,341000,408000,482000,561000,656000,705000,727000,768000,813000,846000,873000,893000,899000,903000,910000,917000,916000,914000,904000,886000
83000,92000,104000,117000,120000,136000,161000,192000,192000,187000,266000,301000,359000,402000,459000,548000,643000,692000,718000,753000,798000,829000,862000,878000,884000,894000,899000,900000,901000,896000,888000
73000,80000,89000,102000,114000,118000,134000,160000,165000,159000,214000,254000,316000,356000,375000,446000,537000,631000,686000,704000,738000,781000,822000,850000,866000,881000,889000,885000,889000,886000,884000
61000,69000,76000,86000,98000,110000,115000,133000,137000,136000,182000,205000,266000,313000,333000,363000,438000,528000,626000,675000,692000,725000,776000,813000,841000,865000,878000,879000,878000,878000,878000
51000,57000,66000,73000,83000,95000,107000,113000,112000,113000,155000,173000,213000,262000,294000,322000,356000,429000,521000,614000,662000,679000,717000,766000,803000,836000,858000,867000,870000,867000,869000
42000,48000,54000,63000,70000,79000,91000,103000,94000,92000,128000,146000,179000,208000,247000,284000,313000,346000,420000,508000,600000,647000,667000,704000,752000,792000,824000,844000,855000,856000,855000
34000,39000,45000,51000,59000,66000,75000,86000,85000,76000,103000,120000,150000,173000,195000,236000,273000,302000,336000,407000,492000,581000,630000,649000,686000,736000,776000,806000,827000,837000,839000
28000,32000,36000,41000,47000,55000,61000,70000,70000,68000,84000,96000,120000,142000,160000,184000,224000,260000,288000,320000,389000,471000,559000,606000,625000,663000,712000,750000,780000,801000,812000
23000,25000,28000,32000,37000,42000,50000,56000,55000,55000,74000,76000,94000,112000,130000,148000,171000,208000,243000,270000,300000,365000,444000,528000,573000,594000,631000,677000,715000,745000,766000
17000,19000,22000,24000,28000,32000,37000,44000,42000,42000,58000,65000,73000,85000,99000,116000,133000,154000,189000,220000,245000,273000,334000,408000,486000,530000,550000,585000,630000,666000,696000
13000,14000,15000,17000,20000,22000,26000,30000,31000,30000,41000,48000,58000,62000,71000,83000,98000,113000,132000,162000,190000,212000,238000,292000,358000,429000,469000,488000,521000,563000,598000
8000,9000,10000,11000,12000,14000,16000,19000,19000,20000,27000,31000,39000,45000,47000,54000,65000,77000,90000,105000,129000,152000,171000,193000,238000,293000,353000,387000,405000,435000,473000
4000,5000,5000,6000,7000,8000,9000,10000,10000,10000,15000,17000,22000,26000,30000,31000,37000,44000,53000,62000,72000,90000,107000,121000,138000,172000,214000,259000,286000,302000,328000
2000,2000,2000,2000,3000,3000,4000,4000,4000,4000,6000,7000,9000,11000,14000,16000,17000,20000,24000,30000,35000,41000,52000,62000,71000,82000,104000,130000,159000,178000,191000
1000,0,1000,1000,1000,1000,1000,1000,1000,1000,2000,2000,3000,4000,4000,5000,6000,7000,8000,10000,12000,15000,18000,22000,27000,31000,37000,47000,61000,75000,86000
0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,2000,2000,2000,3000,3000,4000,5000,6000,8000,9000,11000,15000,19000,25000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,2000,2000,3000,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
