1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
182000,213000,278000,358000,414000,485000,663000,637000,608000,547000,541000,638000,717000,711000,679000,620000,590000,593000,608000,613000,595000,568000,540000,525000,525000,525000,516000,501000,479000,463000,455000
141000,155000,208000,275000,361000,406000,530000,615000,632000,604000,549000,583000,640000,689000,709000,675000,621000,591000,593000,608000,613000,598000,569000,542000,528000,528000,527000,519000,502000,481000,465000
120000,136000,165000,215000,284000,366000,440000,522000,614000,630000,606000,603000,587000,627000,688000,707000,676000,622000,591000,593000,609000,615000,599000,570000,544000,530000,529000,529000,520000,503000,482000
108000,117000,136000,160000,190000,293000,380000,422000,520000,611000,628000,641000,611000,563000,625000,686000,708000,677000,622000,592000,594000,611000,617000,601000,573000,546000,533000,532000,531000,523000,506000
98000,104000,123000,138000,146000,198000,320000,352000,422000,517000,604000,651000,650000,530000,561000,623000,690000,712000,680000,627000,597000,603000,618000,624000,610000,582000,555000,543000,539000,539000,531000
88000,93000,110000,126000,128000,154000,230000,296000,353000,420000,509000,629000,659000,538000,527000,556000,625000,691000,711000,680000,628000,603000,606000,622000,631000,617000,586000,563000,546000,544000,545000
71000,83000,95000,110000,113000,136000,181000,237000,296000,351000,411000,538000,636000,560000,534000,522000,555000,623000,687000,706000,677000,629000,601000,605000,623000,632000,616000,589000,562000,546000,545000
60000,66000,82000,93000,97000,118000,155000,190000,237000,294000,340000,418000,542000,563000,555000,528000,519000,552000,618000,682000,702000,675000,626000,599000,605000,623000,631000,617000,588000,561000,546000
52000,56000,65000,79000,83000,100000,130000,153000,188000,234000,281000,308000,417000,490000,555000,547000,523000,514000,546000,612000,676000,699000,671000,623000,598000,603000,621000,630000,615000,586000,560000
44000,48000,53000,61000,70000,84000,106000,126000,151000,185000,221000,217000,302000,380000,481000,544000,539000,516000,508000,540000,606000,671000,692000,666000,619000,595000,600000,618000,627000,612000,584000
40000,40000,45000,49000,52000,70000,87000,104000,123000,146000,175000,159000,206000,274000,369000,466000,532000,528000,506000,498000,531000,597000,662000,684000,659000,614000,589000,596000,614000,623000,609000
37000,36000,36000,40000,41000,50000,70000,84000,100000,118000,137000,134000,148000,185000,263000,353000,450000,516000,513000,493000,486000,520000,585000,650000,673000,649000,605000,582000,589000,607000,617000
31000,32000,32000,33000,34000,38000,49000,63000,78000,93000,108000,109000,123000,130000,173000,245000,335000,429000,493000,492000,474000,470000,504000,569000,633000,658000,636000,594000,572000,579000,598000
25000,25000,27000,28000,27000,29000,34000,43000,56000,69000,82000,90000,96000,105000,117000,156000,226000,311000,400000,462000,463000,450000,448000,482000,546000,610000,636000,617000,577000,557000,566000
19000,18000,18000,20000,21000,21000,23000,28000,35000,46000,57000,68000,75000,81000,90000,99000,137000,200000,278000,360000,420000,424000,415000,416000,451000,514000,577000,603000,587000,552000,535000
10000,12000,11000,12000,13000,14000,14000,16000,20000,25000,34000,42000,51000,57000,62000,69000,80000,113000,167000,234000,307000,362000,369000,365000,370000,405000,466000,526000,554000,543000,513000
4000,5000,6000,5000,6000,7000,8000,8000,9000,12000,15000,21000,27000,33000,37000,40000,48000,57000,83000,124000,178000,237000,284000,294000,295000,304000,337000,393000,449000,478000,472000
1000,1000,2000,2000,2000,2000,3000,3000,3000,4000,5000,7000,10000,13000,16000,18000,22000,28000,33000,50000,77000,114000,155000,189000,200000,206000,216000,245000,292000,339000,366000
0,0,0,0,0,0,1000,1000,1000,1000,1000,2000,2000,3000,4000,5000,7000,9000,12000,14000,23000,36000,55000,77000,97000,105000,111000,121000,142000,173000,206000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,2000,3000,4000,7000,11000,17000,25000,32000,36000,40000,46000,56000,71000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,2000,3000,5000,6000,7000,9000,10000,13000
