1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
109000,111000,130000,149000,167000,195000,237000,269000,293000,280000,263000,253000,260000,281000,279000,261000,260000,262000,263000,260000,253000,247000,239000,234000,230000,224000,217000,210000,203000,196000,190000
80000,98000,106000,127000,145000,162000,190000,233000,259000,281000,259000,235000,241000,252000,274000,273000,256000,255000,258000,260000,257000,251000,244000,237000,232000,227000,222000,215000,208000,201000,195000
63000,77000,96000,107000,132000,148000,166000,196000,224000,258000,272000,243000,228000,237000,249000,271000,271000,254000,253000,256000,258000,255000,249000,243000,236000,231000,226000,221000,214000,207000,200000
50000,65000,73000,89000,102000,130000,147000,166000,186000,219000,246000,251000,235000,222000,232000,245000,268000,268000,251000,250000,254000,256000,253000,247000,241000,234000,229000,225000,220000,213000,206000
40000,54000,61000,63000,79000,98000,125000,142000,159000,171000,194000,210000,235000,223000,212000,224000,238000,261000,261000,245000,245000,248000,251000,248000,243000,236000,230000,225000,221000,216000,209000
34000,41000,51000,55000,60000,81000,94000,119000,135000,141000,143000,154000,188000,218000,209000,203000,215000,229000,253000,254000,239000,239000,243000,246000,244000,238000,232000,225000,221000,217000,212000
31000,33000,41000,50000,59000,66000,79000,90000,113000,121000,119000,110000,132000,170000,202000,198000,194000,207000,222000,246000,248000,234000,235000,239000,242000,240000,235000,229000,223000,219000,215000
29000,28000,32000,41000,56000,66000,65000,77000,85000,103000,105000,95000,92000,117000,156000,191000,188000,186000,200000,215000,240000,242000,229000,230000,235000,238000,237000,232000,226000,221000,217000
27000,25000,29000,36000,48000,62000,65000,64000,71000,78000,92000,87000,79000,80000,106000,145000,180000,179000,177000,192000,208000,232000,236000,223000,225000,230000,234000,232000,228000,223000,218000
25000,22000,25000,34000,43000,51000,60000,63000,59000,65000,70000,77000,72000,68000,72000,97000,135000,169000,169000,168000,183000,199000,224000,227000,216000,218000,224000,228000,227000,223000,219000
22000,21000,22000,28000,39000,45000,49000,57000,58000,53000,58000,59000,63000,61000,60000,64000,89000,125000,157000,158000,158000,173000,189000,213000,217000,207000,210000,216000,220000,220000,217000
19000,19000,19000,21000,29000,38000,42000,46000,51000,52000,47000,49000,48000,53000,54000,53000,57000,80000,113000,143000,145000,146000,161000,176000,200000,204000,195000,199000,205000,210000,211000
15000,16000,17000,18000,21000,27000,34000,38000,40000,45000,45000,39000,38000,40000,46000,46000,45000,49000,70000,100000,128000,130000,131000,145000,160000,182000,187000,180000,184000,191000,197000
13000,11000,13000,16000,17000,19000,23000,29000,31000,34000,37000,36000,29000,30000,32000,37000,37000,37000,41000,59000,85000,109000,111000,113000,126000,140000,160000,166000,161000,165000,173000
11000,10000,9000,10000,12000,13000,14000,18000,23000,24000,25000,26000,24000,21000,22000,24000,28000,29000,29000,32000,47000,68000,87000,90000,92000,104000,116000,134000,140000,136000,142000
7000,7000,6000,6000,7000,8000,9000,10000,13000,15000,16000,16000,16000,16000,14000,16000,17000,20000,21000,21000,23000,34000,50000,65000,67000,70000,79000,89000,104000,109000,108000
4000,4000,3000,3000,3000,4000,4000,5000,6000,7000,9000,9000,9000,10000,10000,9000,10000,11000,13000,13000,13000,15000,22000,32000,42000,44000,46000,53000,60000,71000,76000
1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,3000,4000,4000,4000,5000,5000,4000,5000,5000,6000,6000,7000,7000,11000,17000,22000,23000,24000,28000,33000,39000
0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,2000,1000,2000,2000,2000,2000,2000,3000,4000,6000,8000,8000,9000,11000,13000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,2000,2000,3000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
