1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1457000,1877000,2218000,2540000,2760000,3004000,3248000,3513000,3381000,3235000,3165000,3106000,3313000,3367000,3258000,3111000,2976000,2894000,2839000,2773000,2670000,2543000,2414000,2308000,2225000,2142000,2052000,1950000,1847000,1754000,1678000
1085000,1315000,1712000,2029000,2363000,2587000,2850000,3124000,3369000,3256000,3236000,3112000,3074000,3287000,3346000,3239000,3078000,2940000,2857000,2802000,2737000,2635000,2508000,2380000,2276000,2194000,2113000,2023000,1922000,1820000,1728000
1054000,1058000,1283000,1606000,1947000,2270000,2518000,2802000,3048000,3282000,3272000,3266000,3094000,3059000,3273000,3335000,3217000,3054000,2916000,2833000,2779000,2714000,2612000,2486000,2359000,2256000,2174000,2093000,2004000,1904000,1803000
1016000,1024000,1027000,1191000,1528000,1834000,2180000,2457000,2702000,2933000,3154000,3268000,3204000,3039000,3006000,3250000,3309000,3189000,3026000,2888000,2806000,2752000,2687000,2586000,2461000,2335000,2233000,2152000,2072000,1983000,1884000
944000,977000,979000,983000,1148000,1449000,1754000,2113000,2332000,2559000,2776000,3025000,3133000,3081000,2922000,2950000,3182000,3235000,3114000,2950000,2813000,2732000,2678000,2615000,2517000,2393000,2269000,2168000,2089000,2011000,1925000
729000,900000,926000,949000,956000,1105000,1396000,1700000,1999000,2203000,2407000,2632000,2871000,2992000,2947000,2860000,2880000,3103000,3154000,3032000,2870000,2736000,2654000,2602000,2543000,2446000,2325000,2202000,2105000,2027000,1953000
508000,692000,850000,892000,919000,924000,1070000,1358000,1628000,1920000,2099000,2278000,2525000,2772000,2899000,2898000,2812000,2826000,3046000,3096000,2976000,2817000,2682000,2603000,2554000,2496000,2402000,2282000,2161000,2064000,1990000
395000,478000,649000,804000,852000,882000,892000,1041000,1320000,1591000,1881000,2009000,2218000,2471000,2722000,2863000,2862000,2772000,2785000,3004000,3056000,2939000,2780000,2646000,2569000,2522000,2466000,2372000,2254000,2134000,2040000
392000,368000,445000,596000,753000,805000,843000,862000,1014000,1292000,1592000,1839000,1970000,2184000,2439000,2692000,2830000,2827000,2738000,2751000,2971000,3024000,2908000,2751000,2620000,2544000,2498000,2443000,2351000,2233000,2116000
383000,361000,340000,397000,548000,702000,760000,807000,832000,982000,1267000,1576000,1805000,1941000,2157000,2405000,2654000,2791000,2789000,2702000,2717000,2938000,2992000,2878000,2724000,2595000,2521000,2476000,2423000,2332000,2216000
315000,347000,328000,298000,358000,507000,658000,720000,773000,802000,929000,1229000,1532000,1763000,1901000,2113000,2357000,2604000,2741000,2741000,2659000,2677000,2898000,2954000,2844000,2693000,2567000,2496000,2453000,2401000,2312000
244000,277000,306000,290000,267000,328000,469000,611000,680000,734000,760000,872000,1185000,1483000,1713000,1839000,2048000,2290000,2534000,2673000,2678000,2602000,2623000,2845000,2904000,2799000,2654000,2532000,2463000,2423000,2373000
158000,205000,233000,270000,255000,235000,291000,420000,555000,620000,656000,708000,866000,1162000,1450000,1630000,1751000,1957000,2195000,2437000,2578000,2590000,2523000,2550000,2772000,2835000,2738000,2600000,2484000,2420000,2384000
132000,123000,161000,193000,224000,212000,196000,246000,360000,480000,530000,570000,665000,813000,1087000,1338000,1506000,1627000,1828000,2061000,2300000,2444000,2466000,2411000,2446000,2669000,2737000,2650000,2522000,2415000,2358000
71000,92000,87000,116000,142000,167000,161000,151000,194000,288000,387000,431000,471000,559000,693000,937000,1169000,1329000,1448000,1642000,1868000,2101000,2247000,2280000,2243000,2289000,2511000,2585000,2514000,2401000,2307000
37000,42000,55000,53000,73000,91000,109000,107000,103000,135000,204000,277000,314000,352000,429000,542000,749000,948000,1094000,1208000,1388000,1598000,1818000,1964000,2011000,1997000,2054000,2272000,2353000,2303000,2211000
11000,17000,20000,26000,26000,37000,47000,58000,59000,58000,77000,119000,165000,193000,225000,284000,372000,525000,677000,798000,899000,1054000,1235000,1428000,1564000,1625000,1636000,1704000,1908000,1994000,1971000
3000,4000,5000,7000,9000,10000,14000,18000,23000,23000,24000,33000,52000,74000,91000,113000,151000,204000,295000,391000,476000,552000,664000,798000,945000,1058000,1121000,1153000,1225000,1398000,1482000
1000,1000,1000,1000,2000,2000,2000,3000,5000,6000,6000,6000,9000,15000,23000,29000,41000,57000,80000,120000,166000,210000,252000,314000,391000,478000,551000,601000,638000,698000,820000
0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,3000,4000,6000,9000,14000,20000,31000,45000,59000,75000,97000,126000,161000,193000,219000,242000,276000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,2000,3000,5000,7000,10000,13000,18000,24000,33000,42000,50000,58000
