1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
652000,867000,978000,1081000,1244000,1489000,1729000,1928000,2164000,2572000,3051000,3302000,3652000,3934000,4323000,4717000,4981000,5199000,5413000,5619000,5802000,5949000,6073000,6157000,6200000,6221000,6217000,6205000,6186000,6134000,6059000
461000,579000,780000,888000,992000,1151000,1385000,1608000,1798000,2038000,2453000,2940000,3210000,3565000,3846000,4227000,4621000,4891000,5114000,5334000,5546000,5734000,5886000,6016000,6105000,6153000,6179000,6179000,6171000,6154000,6105000
422000,440000,554000,750000,859000,961000,1120000,1350000,1571000,1760000,2001000,2415000,2902000,3173000,3526000,3804000,4185000,4580000,4852000,5077000,5299000,5513000,5703000,5857000,5989000,6081000,6131000,6159000,6160000,6153000,6138000
393000,408000,427000,539000,731000,838000,940000,1097000,1325000,1543000,1733000,1971000,2387000,2871000,3140000,3489000,3766000,4146000,4541000,4813000,5039000,5262000,5477000,5668000,5823000,5957000,6050000,6101000,6129000,6132000,6126000
342000,377000,393000,412000,520000,706000,810000,913000,1068000,1292000,1510000,1691000,1938000,2349000,2827000,3087000,3420000,3695000,4073000,4465000,4735000,4960000,5182000,5396000,5586000,5742000,5875000,5969000,6020000,6049000,6052000
297000,326000,360000,376000,395000,499000,678000,783000,885000,1037000,1259000,1464000,1656000,1900000,2305000,2778000,3033000,3363000,3638000,4014000,4405000,4675000,4900000,5123000,5338000,5530000,5687000,5822000,5917000,5969000,5999000
241000,281000,309000,343000,359000,377000,477000,654000,757000,857000,1008000,1219000,1432000,1622000,1862000,2263000,2737000,2992000,3322000,3597000,3973000,4363000,4634000,4862000,5087000,5304000,5499000,5659000,5796000,5892000,5946000
227000,227000,265000,294000,326000,342000,359000,458000,630000,730000,830000,975000,1190000,1400000,1586000,1824000,2225000,2693000,2948000,3277000,3552000,3927000,4316000,4588000,4817000,5045000,5264000,5461000,5623000,5762000,5861000
239000,211000,212000,249000,277000,309000,325000,342000,439000,604000,704000,800000,947000,1158000,1363000,1546000,1784000,2180000,2642000,2895000,3222000,3495000,3867000,4254000,4527000,4758000,4987000,5208000,5407000,5571000,5713000
191000,220000,195000,198000,234000,261000,292000,308000,326000,418000,579000,676000,773000,917000,1122000,1320000,1503000,1737000,2125000,2578000,2828000,3150000,3421000,3789000,4173000,4445000,4676000,4906000,5129000,5330000,5497000
150000,173000,201000,179000,183000,217000,243000,273000,289000,307000,397000,550000,646000,741000,879000,1075000,1271000,1448000,1676000,2053000,2493000,2738000,3054000,3320000,3682000,4059000,4329000,4560000,4791000,5015000,5218000
121000,132000,154000,180000,162000,166000,198000,223000,252000,268000,286000,371000,518000,610000,700000,829000,1019000,1205000,1376000,1595000,1955000,2377000,2614000,2920000,3178000,3530000,3898000,4164000,4394000,4625000,4851000
91000,102000,113000,133000,157000,142000,147000,176000,200000,226000,242000,260000,341000,478000,562000,644000,767000,944000,1118000,1278000,1483000,1821000,2218000,2442000,2733000,2980000,3317000,3669000,3930000,4159000,4390000
63000,71000,81000,91000,109000,130000,119000,123000,149000,170000,195000,210000,228000,301000,420000,494000,569000,680000,838000,994000,1138000,1324000,1630000,1988000,2195000,2463000,2692000,3007000,3340000,3593000,3818000
38000,44000,50000,59000,67000,82000,99000,91000,95000,116000,134000,156000,171000,187000,247000,343000,406000,469000,562000,694000,825000,947000,1106000,1366000,1672000,1852000,2087000,2291000,2576000,2879000,3116000
19000,22000,26000,31000,37000,43000,54000,65000,60000,64000,80000,95000,112000,124000,135000,179000,250000,298000,344000,414000,513000,612000,706000,828000,1029000,1266000,1409000,1599000,1772000,2013000,2270000
6000,8000,10000,12000,15000,19000,23000,29000,35000,33000,36000,46000,56000,67000,74000,81000,109000,152000,181000,210000,253000,316000,379000,439000,520000,652000,807000,907000,1045000,1173000,1352000
2000,2000,2000,3000,4000,5000,7000,9000,11000,14000,13000,15000,20000,25000,29000,32000,36000,50000,69000,82000,96000,117000,147000,177000,208000,249000,315000,395000,452000,532000,607000
0,0,0,0,1000,1000,1000,2000,2000,3000,4000,4000,4000,6000,7000,8000,9000,11000,15000,20000,25000,29000,36000,45000,56000,66000,80000,104000,133000,156000,189000
0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,2000,2000,3000,3000,4000,5000,6000,8000,10000,12000,15000,20000,27000,33000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,3000
