1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
790000,856000,918000,996000,1095000,1225000,1394000,1567000,1717000,1879000,2137000,2591000,3096000,3556000,3935000,4343000,4804000,5242000,5554000,5776000,5959000,6102000,6225000,6303000,6336000,6311000,6257000,6189000,6107000,6000000,5872000
584000,611000,669000,725000,798000,900000,1037000,1217000,1395000,1555000,1726000,1996000,2451000,2952000,3424000,3810000,4204000,4660000,5095000,5408000,5632000,5820000,5968000,6095000,6180000,6219000,6199000,6151000,6087000,6009000,5907000
490000,564000,590000,646000,700000,772000,873000,1010000,1186000,1362000,1524000,1699000,1968000,2415000,2916000,3386000,3763000,4153000,4606000,5038000,5350000,5574000,5762000,5911000,6040000,6125000,6165000,6146000,6098000,6035000,5958000
445000,472000,542000,568000,621000,673000,743000,840000,964000,1141000,1328000,1498000,1669000,1925000,2378000,2876000,3340000,3713000,4100000,4549000,4978000,5289000,5513000,5700000,5849000,5979000,6064000,6104000,6085000,6038000,5976000
410000,418000,440000,508000,529000,578000,623000,686000,751000,882000,1079000,1289000,1448000,1587000,1863000,2310000,2790000,3243000,3607000,3985000,4426000,4851000,5157000,5377000,5563000,5710000,5836000,5920000,5957000,5937000,5892000
375000,380000,384000,405000,465000,483000,523000,563000,587000,661000,814000,1040000,1236000,1357000,1521000,1796000,2221000,2687000,3128000,3483000,3852000,4288000,4707000,5010000,5230000,5414000,5557000,5682000,5762000,5798000,5781000
346000,349000,350000,354000,371000,426000,438000,474000,482000,514000,606000,783000,997000,1159000,1300000,1466000,1730000,2143000,2599000,3031000,3378000,3745000,4176000,4591000,4894000,5113000,5295000,5438000,5560000,5639000,5678000
302000,322000,322000,324000,325000,340000,389000,399000,413000,427000,472000,581000,749000,937000,1112000,1254000,1416000,1672000,2076000,2523000,2947000,3291000,3654000,4082000,4494000,4795000,5013000,5194000,5336000,5458000,5540000
254000,280000,297000,298000,298000,299000,311000,358000,354000,371000,394000,452000,555000,704000,898000,1072000,1210000,1366000,1617000,2012000,2450000,2869000,3208000,3567000,3990000,4399000,4697000,4914000,5094000,5236000,5360000
206000,234000,257000,273000,273000,273000,274000,286000,322000,321000,344000,376000,429000,520000,672000,861000,1030000,1164000,1316000,1559000,1946000,2375000,2785000,3119000,3473000,3890000,4292000,4587000,4803000,4983000,5126000
153000,186000,212000,233000,247000,248000,249000,250000,257000,293000,296000,324000,354000,400000,491000,637000,819000,981000,1111000,1258000,1493000,1868000,2285000,2684000,3011000,3357000,3764000,4158000,4448000,4662000,4842000
118000,134000,164000,186000,205000,219000,221000,223000,222000,230000,266000,274000,300000,324000,371000,457000,595000,767000,920000,1044000,1184000,1410000,1769000,2168000,2552000,2867000,3202000,3596000,3978000,4261000,4473000
91000,98000,111000,137000,156000,173000,187000,190000,191000,192000,201000,237000,245000,268000,292000,335000,413000,540000,699000,841000,956000,1087000,1299000,1635000,2010000,2371000,2669000,2988000,3363000,3729000,4004000
65000,68000,74000,84000,104000,120000,136000,149000,153000,155000,157000,169000,200000,207000,228000,249000,286000,355000,466000,606000,732000,835000,954000,1144000,1446000,1784000,2112000,2385000,2679000,3026000,3367000
41000,41000,44000,48000,55000,70000,83000,96000,107000,110000,114000,119000,129000,153000,160000,177000,193000,223000,279000,369000,483000,587000,673000,773000,934000,1188000,1473000,1753000,1990000,2249000,2555000
19000,20000,20000,22000,24000,29000,38000,47000,56000,63000,67000,71000,75000,83000,100000,105000,117000,128000,150000,189000,253000,334000,408000,472000,548000,669000,859000,1075000,1289000,1476000,1685000
6000,6000,7000,7000,8000,9000,11000,16000,20000,24000,28000,31000,34000,36000,40000,50000,53000,60000,67000,79000,101000,137000,183000,227000,265000,312000,388000,505000,640000,779000,905000
1000,1000,1000,1000,1000,1000,2000,3000,4000,5000,6000,8000,9000,10000,11000,13000,17000,18000,21000,24000,29000,37000,52000,70000,88000,105000,127000,162000,215000,279000,348000
0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,2000,3000,3000,4000,5000,6000,8000,11000,16000,20000,25000,31000,42000,57000,77000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,2000,3000,4000,6000,8000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
