1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1007000,1061000,1162000,1326000,1466000,1697000,2134000,2345000,2392000,2819000,3206000,3562000,4092000,4750000,5298000,5896000,6405000,6808000,7126000,7375000,7570000,7712000,7817000,7871000,7862000,7803000,7747000,7674000,7574000,7462000,7327000
805000,820000,875000,1004000,1166000,1386000,1671000,1845000,1944000,2343000,2651000,3042000,3431000,3982000,4658000,5213000,5799000,6316000,6719000,7034000,7281000,7477000,7635000,7731000,7787000,7783000,7730000,7678000,7611000,7508000,7403000
629000,704000,715000,795000,936000,1112000,1324000,1567000,1644000,2026000,2312000,2603000,3001000,3398000,3953000,4629000,5174000,5763000,6277000,6677000,6989000,7235000,7440000,7589000,7685000,7743000,7741000,7690000,7642000,7572000,7473000
496000,552000,619000,650000,742000,899000,1037000,1249000,1400000,1717000,1980000,2243000,2538000,2952000,3359000,3916000,4585000,5133000,5718000,6227000,6623000,6934000,7187000,7383000,7534000,7629000,7690000,7689000,7642000,7591000,7525000
476000,484000,538000,607000,635000,773000,961000,967000,1103000,1452000,1631000,1849000,2115000,2446000,2881000,3291000,3828000,4499000,5036000,5606000,6106000,6494000,6817000,7046000,7244000,7392000,7491000,7553000,7558000,7504000,7459000
460000,487000,500000,550000,607000,683000,893000,890000,841000,1134000,1356000,1480000,1700000,2006000,2365000,2810000,3201000,3746000,4404000,4923000,5480000,5971000,6384000,6673000,6905000,7102000,7257000,7360000,7431000,7426000,7384000
446000,457000,487000,495000,539000,615000,733000,826000,773000,863000,1052000,1223000,1348000,1601000,1931000,2302000,2739000,3138000,3674000,4316000,4824000,5375000,5888000,6274000,6565000,6799000,7003000,7163000,7276000,7339000,7346000
400000,420000,432000,460000,469000,516000,595000,676000,715000,789000,799000,948000,1114000,1264000,1535000,1874000,2240000,2679000,3073000,3597000,4228000,4731000,5295000,5789000,6175000,6468000,6707000,6916000,7083000,7192000,7265000
331000,355000,373000,392000,424000,431000,462000,545000,582000,725000,733000,718000,859000,1038000,1205000,1481000,1816000,2181000,2612000,2996000,3511000,4133000,4641000,5190000,5682000,6068000,6364000,6607000,6822000,6988000,7106000
251000,278000,298000,325000,351000,379000,362000,420000,465000,585000,673000,663000,648000,794000,981000,1152000,1424000,1754000,2109000,2528000,2903000,3408000,4026000,4520000,5062000,5550000,5937000,6235000,6483000,6698000,6871000
184000,202000,225000,253000,285000,309000,314000,324000,354000,460000,537000,605000,594000,591000,740000,925000,1094000,1358000,1675000,2017000,2422000,2785000,3282000,3878000,4362000,4893000,5375000,5760000,6060000,6309000,6531000
137000,149000,163000,190000,220000,255000,268000,275000,266000,342000,414000,473000,534000,533000,540000,683000,861000,1025000,1274000,1573000,1897000,2283000,2635000,3108000,3680000,4149000,4666000,5137000,5516000,5816000,6070000
102000,111000,121000,136000,162000,197000,230000,226000,218000,249000,297000,352000,404000,464000,474000,485000,617000,782000,934000,1162000,1439000,1740000,2102000,2429000,2874000,3412000,3858000,4351000,4806000,5176000,5477000
79000,80000,88000,95000,109000,135000,165000,181000,168000,191000,203000,238000,283000,332000,391000,405000,417000,533000,678000,813000,1014000,1259000,1531000,1854000,2150000,2555000,3044000,3457000,3917000,4345000,4705000
53000,57000,59000,65000,70000,81000,101000,118000,122000,133000,142000,150000,176000,213000,254000,304000,319000,329000,422000,538000,650000,815000,1021000,1245000,1517000,1768000,2117000,2537000,2903000,3313000,3706000
31000,33000,36000,37000,41000,45000,52000,61000,68000,82000,85000,90000,95000,113000,139000,167000,204000,215000,223000,288000,370000,453000,573000,723000,890000,1095000,1288000,1561000,1891000,2190000,2532000
16000,15000,16000,18000,19000,21000,23000,25000,28000,37000,42000,43000,46000,49000,59000,71000,89000,109000,116000,122000,159000,206000,257000,329000,420000,524000,654000,780000,965000,1187000,1402000
6000,6000,6000,6000,7000,7000,8000,8000,8000,11000,14000,16000,16000,17000,18000,21000,27000,35000,43000,46000,49000,65000,85000,109000,142000,184000,233000,297000,363000,462000,581000
1000,1000,1000,1000,1000,2000,2000,2000,2000,2000,3000,3000,4000,4000,4000,4000,5000,7000,9000,12000,13000,13000,18000,24000,32000,42000,56000,73000,95000,120000,157000
0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,2000,3000,4000,6000,8000,11000,14000,19000,25000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,2000
