1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
558000,569000,665000,775000,886000,1013000,1207000,1464000,1780000,1894000,2071000,2342000,2714000,2862000,2943000,3180000,3430000,3611000,3728000,3811000,3893000,3977000,4040000,4063000,4067000,4058000,4045000,4014000,3977000,3912000,3853000
427000,454000,466000,550000,647000,754000,900000,1108000,1407000,1513000,1716000,1927000,2252000,2663000,2829000,2916000,3157000,3407000,3590000,3706000,3791000,3878000,3961000,4020000,4048000,4051000,4050000,4034000,4002000,3963000,3905000
356000,404000,432000,444000,525000,620000,735000,892000,1147000,1277000,1438000,1642000,1887000,2237000,2651000,2818000,2907000,3148000,3398000,3579000,3697000,3785000,3871000,3951000,4012000,4039000,4047000,4045000,4028000,3994000,3960000
301000,342000,390000,417000,428000,509000,623000,762000,955000,1045000,1230000,1407000,1611000,1869000,2224000,2636000,2805000,2893000,3133000,3382000,3564000,3684000,3771000,3853000,3935000,3996000,4027000,4033000,4030000,4012000,3983000
253000,289000,328000,375000,400000,414000,517000,664000,847000,861000,1004000,1236000,1392000,1581000,1850000,2200000,2606000,2772000,2858000,3095000,3342000,3528000,3644000,3721000,3808000,3886000,3956000,3980000,3985000,3979000,3972000
212000,241000,275000,314000,357000,384000,415000,534000,715000,754000,799000,967000,1207000,1356000,1559000,1828000,2181000,2583000,2748000,2832000,3068000,3323000,3503000,3608000,3693000,3775000,3871000,3932000,3954000,3955000,3965000
194000,202000,229000,262000,298000,342000,377000,410000,550000,633000,677000,702000,909000,1168000,1331000,1537000,1816000,2166000,2568000,2729000,2815000,3060000,3310000,3482000,3594000,3676000,3774000,3864000,3923000,3942000,3957000
145000,184000,191000,218000,249000,284000,334000,370000,417000,483000,557000,562000,635000,873000,1141000,1307000,1521000,1797000,2145000,2542000,2705000,2797000,3039000,3283000,3460000,3570000,3663000,3758000,3846000,3904000,3933000
106000,137000,173000,181000,206000,236000,276000,328000,379000,362000,421000,458000,501000,605000,846000,1113000,1285000,1496000,1769000,2112000,2506000,2672000,2764000,3001000,3248000,3423000,3540000,3633000,3728000,3816000,3881000
100000,100000,128000,163000,170000,194000,227000,269000,332000,325000,315000,350000,408000,472000,579000,817000,1084000,1253000,1461000,1729000,2067000,2457000,2622000,2714000,2951000,3196000,3376000,3494000,3587000,3683000,3777000
82000,93000,92000,119000,151000,158000,183000,216000,266000,281000,283000,269000,312000,379000,446000,551000,785000,1044000,1210000,1411000,1673000,2006000,2387000,2549000,2644000,2880000,3126000,3306000,3425000,3521000,3623000
69000,74000,84000,84000,109000,138000,148000,173000,209000,221000,244000,254000,242000,283000,352000,417000,520000,742000,990000,1150000,1344000,1599000,1920000,2289000,2452000,2549000,2785000,3029000,3210000,3332000,3433000
56000,60000,64000,74000,74000,95000,127000,144000,172000,166000,187000,219000,224000,213000,254000,319000,384000,479000,685000,918000,1070000,1255000,1497000,1803000,2159000,2321000,2423000,2656000,2897000,3079000,3207000
42000,45000,49000,53000,60000,61000,84000,118000,138000,128000,135000,169000,187000,187000,181000,220000,281000,339000,424000,610000,821000,963000,1134000,1358000,1646000,1981000,2141000,2246000,2474000,2712000,2896000
27000,30000,33000,36000,39000,45000,50000,74000,105000,94000,99000,123000,138000,146000,149000,146000,181000,233000,283000,354000,513000,697000,824000,975000,1178000,1439000,1746000,1900000,2008000,2226000,2457000
14000,16000,18000,20000,22000,24000,32000,41000,61000,63000,67000,89000,93000,96000,104000,107000,108000,135000,176000,215000,270000,395000,544000,650000,778000,950000,1174000,1439000,1581000,1688000,1891000
5000,6000,7000,9000,10000,11000,16000,25000,31000,31000,41000,59000,59000,55000,58000,64000,67000,68000,87000,115000,141000,179000,267000,374000,455000,552000,683000,857000,1065000,1186000,1285000
1000,2000,2000,3000,3000,3000,8000,16000,20000,12000,21000,39000,33000,27000,25000,27000,31000,33000,34000,44000,60000,75000,96000,147000,211000,262000,324000,409000,524000,662000,751000
0,0,0,0,1000,1000,4000,9000,11000,5000,8000,20000,17000,10000,9000,8000,9000,11000,12000,12000,17000,23000,29000,39000,61000,90000,114000,145000,187000,246000,319000
0,0,0,0,0,0,1000,3000,4000,2000,2000,6000,6000,3000,2000,2000,2000,2000,3000,3000,3000,4000,6000,8000,10000,17000,26000,34000,44000,59000,80000
0,0,0,0,0,0,0,0,1000,0,0,1000,1000,1000,0,0,0,0,0,0,0,0,1000,1000,1000,2000,3000,5000,7000,9000,12000
