1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
82000,89000,99000,114000,134000,160000,179000,184000,224000,265000,261000,260000,284000,334000,386000,399000,385000,393000,407000,418000,423000,422000,417000,409000,405000,402000,397000,388000,378000,367000,357000
64000,72000,80000,92000,107000,128000,153000,172000,183000,222000,264000,252000,246000,283000,338000,392000,396000,382000,390000,404000,416000,421000,420000,415000,407000,404000,400000,396000,387000,377000,366000
54000,62000,70000,79000,90000,106000,126000,151000,173000,187000,230000,262000,247000,250000,289000,342000,391000,395000,381000,389000,403000,415000,420000,419000,414000,406000,403000,400000,395000,386000,376000
49000,52000,59000,68000,77000,89000,101000,123000,159000,176000,193000,228000,257000,250000,257000,291000,338000,387000,390000,376000,384000,398000,410000,415000,414000,408000,401000,397000,394000,390000,381000
46000,44000,47000,56000,67000,75000,79000,95000,139000,158000,175000,187000,218000,253000,256000,258000,276000,321000,368000,371000,356000,363000,376000,387000,391000,390000,384000,376000,372000,369000,365000
40000,40000,39000,43000,54000,65000,65000,72000,111000,136000,152000,165000,172000,212000,250000,261000,254000,271000,315000,362000,364000,350000,357000,370000,381000,384000,383000,377000,370000,366000,362000
35000,35000,36000,35000,41000,52000,56000,59000,84000,108000,129000,140000,149000,169000,208000,250000,264000,258000,274000,319000,366000,370000,356000,364000,377000,387000,392000,391000,386000,378000,374000
30000,31000,31000,33000,34000,40000,46000,51000,66000,81000,101000,118000,126000,143000,170000,207000,251000,265000,259000,276000,321000,368000,373000,360000,368000,380000,392000,396000,396000,391000,384000
25000,27000,28000,29000,31000,33000,36000,42000,55000,64000,76000,91000,106000,119000,141000,171000,205000,248000,262000,257000,274000,319000,367000,371000,359000,367000,380000,392000,397000,397000,392000
22000,23000,24000,26000,27000,30000,29000,33000,44000,53000,60000,68000,82000,98000,115000,139000,167000,200000,243000,257000,252000,270000,314000,361000,366000,354000,363000,376000,388000,394000,394000
18000,20000,21000,22000,24000,26000,27000,27000,33000,42000,49000,53000,62000,77000,91000,111000,133000,161000,193000,234000,248000,244000,262000,305000,351000,357000,346000,355000,369000,381000,387000
14000,16000,18000,19000,21000,22000,23000,25000,26000,32000,39000,44000,49000,58000,74000,85000,105000,126000,152000,183000,222000,236000,233000,251000,292000,337000,343000,334000,343000,357000,370000
13000,12000,14000,16000,17000,19000,20000,21000,23000,25000,31000,35000,40000,44000,55000,69000,78000,96000,116000,140000,169000,206000,219000,217000,234000,274000,317000,324000,316000,327000,341000
9000,10000,10000,12000,14000,14000,16000,17000,18000,20000,22000,25000,30000,34000,39000,49000,61000,69000,85000,102000,124000,151000,184000,197000,196000,212000,250000,290000,298000,292000,303000
7000,7000,8000,8000,9000,11000,11000,13000,13000,14000,16000,17000,19000,23000,27000,31000,41000,50000,57000,71000,86000,105000,128000,157000,169000,168000,184000,218000,255000,262000,259000
3000,4000,5000,5000,5000,6000,8000,8000,9000,9000,10000,11000,12000,14000,17000,20000,23000,31000,38000,44000,54000,66000,81000,100000,124000,134000,134000,148000,177000,209000,216000
1000,2000,2000,3000,3000,3000,4000,4000,5000,5000,6000,6000,7000,8000,9000,11000,13000,16000,21000,26000,29000,37000,45000,56000,70000,86000,94000,95000,107000,129000,154000
0,0,1000,1000,1000,1000,1000,2000,2000,2000,3000,3000,3000,4000,4000,5000,6000,7000,9000,12000,14000,16000,20000,25000,32000,40000,50000,55000,56000,64000,78000
0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,3000,4000,5000,6000,7000,8000,11000,14000,17000,22000,24000,25000,29000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,2000,2000,2000,3000,4000,5000,7000,7000,8000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000
