1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
550000,641000,735000,838000,940000,1058000,1230000,1434000,1633000,1921000,2349000,2835000,3383000,3938000,4404000,4904000,5422000,5780000,6023000,6238000,6461000,6647000,6745000,6781000,6772000,6736000,6690000,6623000,6521000,6422000,6289000
415000,461000,536000,616000,702000,783000,889000,1045000,1220000,1409000,1708000,2149000,2666000,3229000,3780000,4246000,4739000,5257000,5622000,5874000,6099000,6330000,6525000,6633000,6679000,6679000,6652000,6614000,6554000,6458000,6364000
336000,401000,445000,519000,597000,680000,762000,870000,1027000,1202000,1389000,1685000,2124000,2642000,3205000,3756000,4218000,4709000,5225000,5589000,5842000,6067000,6298000,6495000,6603000,6650000,6652000,6625000,6588000,6529000,6434000
276000,326000,387000,431000,503000,579000,663000,744000,854000,1011000,1182000,1368000,1663000,2105000,2619000,3179000,3725000,4183000,4672000,5187000,5550000,5803000,6027000,6258000,6454000,6563000,6610000,6613000,6587000,6551000,6492000
225000,264000,307000,368000,410000,479000,555000,636000,724000,834000,983000,1151000,1337000,1642000,2077000,2584000,3123000,3659000,4112000,4596000,5105000,5464000,5712000,5933000,6162000,6355000,6463000,6509000,6511000,6485000,6449000
188000,214000,245000,289000,347000,387000,455000,527000,615000,703000,805000,951000,1118000,1317000,1617000,2049000,2539000,3068000,3599000,4048000,4528000,5032000,5388000,5635000,5855000,6082000,6276000,6383000,6431000,6432000,6407000
157000,179000,199000,230000,272000,327000,367000,432000,509000,597000,678000,778000,922000,1100000,1295000,1594000,2020000,2502000,3027000,3554000,4001000,4478000,4980000,5335000,5583000,5803000,6031000,6226000,6334000,6382000,6386000
129000,149000,166000,186000,216000,256000,310000,348000,416000,493000,575000,655000,754000,905000,1080000,1274000,1569000,1989000,2466000,2986000,3509000,3953000,4426000,4925000,5279000,5527000,5748000,5977000,6172000,6282000,6332000
103000,122000,138000,155000,174000,202000,241000,293000,334000,401000,473000,553000,632000,736000,884000,1057000,1249000,1539000,1953000,2424000,2937000,3454000,3894000,4363000,4858000,5210000,5458000,5679000,5908000,6104000,6216000
79000,96000,112000,128000,144000,162000,190000,227000,279000,320000,383000,453000,532000,613000,715000,860000,1030000,1218000,1503000,1908000,2371000,2876000,3385000,3818000,4282000,4770000,5119000,5366000,5588000,5817000,6014000
58000,72000,87000,102000,117000,132000,150000,177000,214000,264000,302000,363000,431000,510000,589000,687000,829000,994000,1177000,1454000,1850000,2300000,2793000,3289000,3714000,4168000,4648000,4992000,5237000,5459000,5688000
40000,52000,64000,77000,91000,104000,119000,136000,163000,198000,245000,280000,338000,406000,482000,557000,652000,788000,946000,1121000,1388000,1767000,2200000,2675000,3154000,3565000,4006000,4473000,4810000,5053000,5274000
18000,34000,44000,53000,65000,77000,90000,104000,121000,145000,177000,220000,254000,309000,372000,442000,514000,603000,730000,878000,1043000,1294000,1651000,2059000,2507000,2962000,3353000,3776000,4223000,4551000,4792000
11000,14000,25000,33000,41000,50000,61000,73000,86000,101000,122000,150000,188000,220000,270000,325000,390000,454000,534000,648000,782000,931000,1158000,1481000,1852000,2261000,2678000,3040000,3435000,3853000,4167000
6000,7000,9000,17000,22000,27000,35000,44000,54000,65000,77000,93000,116000,149000,176000,216000,264000,317000,370000,438000,534000,646000,772000,965000,1240000,1557000,1909000,2272000,2591000,2944000,3322000
5000,3000,4000,5000,9000,12000,15000,20000,27000,34000,41000,49000,61000,78000,102000,120000,150000,184000,223000,262000,312000,383000,467000,562000,709000,918000,1161000,1436000,1723000,1981000,2277000
2000,2000,1000,1000,2000,3000,5000,6000,9000,12000,16000,19000,24000,31000,41000,53000,64000,82000,101000,123000,147000,177000,220000,270000,330000,422000,554000,710000,890000,1084000,1268000
0,0,0,0,0,0,1000,1000,2000,3000,4000,5000,6000,8000,11000,14000,19000,23000,30000,38000,47000,57000,70000,89000,111000,139000,181000,244000,320000,410000,513000
0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,3000,4000,5000,6000,8000,10000,13000,16000,21000,27000,35000,48000,67000,91000,122000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,3000,3000,5000,7000,10000,14000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000
