1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
6169000,6770000,7568000,8576000,9652000,11305000,13586000,15333000,16668000,18819000,21423000,25024000,28690000,31790000,34269000,36979000,39488000,41412000,42558000,43232000,43390000,43217000,43049000,43028000,42341000,41653000,40788000,40000000,39065000,38279000,37396000
4979000,5267000,5803000,6544000,7472000,8521000,10229000,12325000,13990000,15178000,17189000,19791000,23382000,27032000,30079000,32617000,35326000,37862000,39835000,41059000,41822000,42076000,42002000,41926000,41987000,41392000,40788000,40005000,39291000,38425000,37702000
4313000,4773000,5052000,5573000,6293000,7214000,8283000,9874000,11953000,13552000,14681000,16648000,19189000,22713000,26278000,29301000,31827000,34539000,37086000,39087000,40350000,41158000,41461000,41438000,41409000,41511000,40962000,40399000,39656000,38977000,38144000
3751000,4175000,4619000,4906000,5408000,6132000,7093000,8062000,9665000,11684000,13229000,14336000,16260000,18769000,22221000,25743000,28735000,31255000,33964000,36514000,38527000,39813000,40648000,40983000,40992000,40993000,41123000,40605000,40071000,39354000,38699000
3261000,3603000,4001000,4464000,4719000,5238000,6054000,6895000,7871000,9419000,11356000,12838000,13883000,15791000,18202000,21586000,25043000,28004000,30516000,33217000,35766000,37789000,39098000,39964000,40333000,40380000,40418000,40580000,40098000,39596000,38910000
2829000,3110000,3423000,3843000,4263000,4540000,5169000,5874000,6704000,7643000,9116000,10964000,12356000,13417000,15222000,17581000,20883000,24279000,27209000,29708000,32396000,34940000,36970000,38303000,39199000,39605000,39694000,39770000,39965000,39521000,39054000
2424000,2687000,2942000,3272000,3655000,4082000,4457000,4997000,5688000,6484000,7370000,8771000,10516000,11903000,12891000,14656000,16954000,20185000,23524000,26419000,28902000,31573000,34107000,36143000,37497000,38421000,38866000,38995000,39109000,39336000,38931000
2024000,2287000,2526000,2791000,3093000,3480000,3971000,4279000,4809000,5466000,6214000,7055000,8376000,10086000,11396000,12367000,14085000,16331000,19492000,22768000,25623000,28084000,30734000,33255000,35293000,36665000,37618000,38099000,38268000,38420000,38681000
1719000,1893000,2134000,2375000,2617000,2923000,3351000,3779000,4084000,4583000,5195000,5905000,6695000,7982000,9601000,10870000,11822000,13497000,15688000,18770000,21973000,24778000,27210000,29829000,32329000,34361000,35747000,36724000,37241000,37449000,37638000
1455000,1591000,1750000,1985000,2206000,2452000,2785000,3160000,3574000,3854000,4315000,4896000,5563000,6333000,7546000,9096000,10328000,11259000,12886000,15013000,18003000,21121000,23864000,26254000,28830000,31295000,33311000,34704000,35700000,36247000,36494000
1297000,1328000,1452000,1605000,1819000,2040000,2304000,2592000,2949000,3327000,3580000,4016000,4559000,5200000,5917000,7066000,8550000,9732000,10635000,12202000,14250000,17127000,20136000,22794000,25123000,27635000,30044000,32028000,33415000,34422000,34996000
1058000,1154000,1181000,1298000,1435000,1644000,1874000,2096000,2366000,2684000,3020000,3258000,3662000,4174000,4760000,5427000,6517000,7908000,9025000,9889000,11376000,13320000,16049000,18911000,21452000,23690000,26107000,28435000,30364000,31732000,32740000
793000,901000,983000,1010000,1112000,1247000,1455000,1641000,1842000,2071000,2343000,2650000,2866000,3237000,3691000,4219000,4848000,5844000,7113000,8142000,8949000,10329000,12132000,14661000,17321000,19695000,21803000,24083000,26290000,28135000,29467000
547000,628000,715000,782000,807000,906000,1039000,1198000,1355000,1514000,1696000,1931000,2195000,2384000,2697000,3081000,3564000,4113000,4979000,6084000,6989000,7713000,8940000,10540000,12783000,15152000,17279000,19189000,21261000,23279000,24985000
334000,384000,442000,506000,557000,590000,683000,776000,895000,1005000,1116000,1263000,1449000,1660000,1802000,2042000,2373000,2761000,3203000,3899000,4787000,5525000,6131000,7147000,8469000,10321000,12287000,14069000,15695000,17467000,19209000
165000,195000,225000,261000,302000,344000,380000,437000,496000,566000,630000,710000,812000,942000,1082000,1170000,1359000,1591000,1862000,2175000,2668000,3297000,3829000,4280000,5027000,5998000,7357000,8813000,10149000,11396000,12762000
60000,74000,87000,102000,120000,145000,176000,192000,220000,246000,278000,315000,361000,419000,487000,558000,619000,728000,859000,1013000,1194000,1480000,1844000,2159000,2437000,2891000,3480000,4308000,5205000,6041000,6844000
10000,18000,22000,27000,32000,40000,53000,63000,69000,77000,85000,99000,114000,133000,154000,178000,213000,237000,283000,337000,402000,479000,601000,757000,895000,1023000,1229000,1498000,1876000,2292000,2688000
1000,2000,3000,4000,5000,7000,9000,12000,14000,15000,16000,18000,22000,26000,30000,34000,42000,50000,57000,69000,83000,100000,121000,155000,198000,237000,276000,337000,418000,531000,659000
0,0,0,0,0,1000,1000,1000,1000,2000,2000,2000,2000,3000,3000,4000,4000,5000,7000,7000,9000,11000,14000,17000,22000,29000,35000,42000,53000,67000,86000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,2000,2000,3000,4000,5000,6000
