1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
521000,644000,741000,846000,950000,1061000,1242000,1460000,1647000,1934000,2359000,2829000,3381000,4008000,4801000,5674000,6617000,7564000,8517000,9426000,10286000,11015000,11614000,12158000,12642000,12984000,13246000,13474000,13617000,13645000,13611000
415000,441000,542000,625000,714000,795000,895000,1062000,1247000,1425000,1723000,2156000,2660000,3247000,3888000,4684000,5552000,6494000,7443000,8400000,9314000,10181000,10917000,11524000,12076000,12566000,12913000,13180000,13414000,13561000,13594000
336000,401000,426000,524000,605000,692000,774000,876000,1043000,1229000,1406000,1699000,2131000,2636000,3222000,3863000,4657000,5524000,6465000,7414000,8370000,9285000,10152000,10889000,11497000,12050000,12540000,12888000,13156000,13391000,13540000
276000,326000,387000,412000,508000,586000,674000,756000,860000,1027000,1209000,1384000,1677000,2113000,2614000,3199000,3840000,4632000,5497000,6437000,7384000,8340000,9254000,10121000,10858000,11466000,12019000,12510000,12858000,13127000,13363000
225000,264000,308000,368000,392000,484000,562000,647000,735000,841000,999000,1177000,1352000,1657000,2085000,2584000,3169000,3808000,4597000,5459000,6395000,7340000,8294000,9206000,10072000,10808000,11416000,11968000,12459000,12808000,13078000
188000,214000,246000,289000,347000,369000,459000,535000,626000,715000,812000,966000,1144000,1332000,1631000,2056000,2555000,3137000,3772000,4557000,5415000,6348000,7289000,8240000,9151000,10015000,10749000,11355000,11907000,12398000,12748000
157000,179000,199000,231000,272000,327000,351000,437000,516000,608000,690000,784000,938000,1125000,1310000,1606000,2030000,2526000,3104000,3735000,4516000,5369000,6297000,7236000,8183000,9091000,9951000,10683000,11289000,11841000,12332000
129000,149000,166000,186000,217000,256000,310000,333000,421000,500000,586000,666000,760000,920000,1104000,1287000,1582000,2002000,2494000,3067000,3694000,4469000,5317000,6241000,7174000,8118000,9021000,9878000,10608000,11213000,11765000
103000,122000,138000,155000,174000,202000,241000,293000,319000,405000,481000,564000,643000,742000,899000,1079000,1263000,1555000,1970000,2456000,3023000,3643000,4412000,5253000,6170000,7097000,8034000,8932000,9785000,10514000,11119000
79000,96000,112000,128000,144000,162000,190000,227000,280000,305000,387000,460000,542000,624000,721000,873000,1053000,1234000,1521000,1929000,2407000,2966000,3579000,4338000,5170000,6077000,6995000,7924000,8816000,9665000,10391000
58000,72000,87000,102000,117000,132000,150000,177000,214000,265000,289000,367000,437000,520000,599000,691000,843000,1018000,1195000,1475000,1874000,2341000,2888000,3489000,4234000,5052000,5945000,6851000,7769000,8652000,9495000
40000,52000,64000,77000,91000,104000,119000,136000,163000,198000,245000,268000,342000,412000,490000,563000,656000,802000,971000,1141000,1411000,1796000,2248000,2778000,3361000,4086000,4884000,5758000,6646000,7550000,8422000
18000,34000,44000,53000,65000,77000,90000,104000,121000,146000,178000,220000,242000,313000,377000,446000,520000,608000,745000,904000,1065000,1321000,1685000,2115000,2620000,3179000,3877000,4648000,5494000,6360000,7243000
11000,14000,26000,33000,41000,50000,61000,73000,86000,101000,123000,150000,188000,210000,272000,324000,393000,460000,539000,663000,808000,956000,1190000,1524000,1919000,2389000,2914000,3571000,4300000,5105000,5935000
6000,7000,9000,17000,22000,27000,35000,44000,54000,65000,77000,93000,117000,149000,167000,212000,263000,320000,377000,444000,550000,673000,801000,1005000,1294000,1644000,2063000,2536000,3131000,3799000,4543000
5000,3000,4000,5000,9000,12000,15000,21000,27000,34000,41000,49000,61000,78000,101000,110000,147000,184000,226000,268000,320000,400000,495000,596000,756000,987000,1271000,1618000,2014000,2520000,3095000
2000,2000,1000,1000,2000,3000,5000,6000,9000,12000,16000,19000,24000,31000,40000,51000,59000,80000,101000,126000,152000,185000,235000,296000,363000,472000,631000,832000,1081000,1375000,1757000
0,0,0,0,0,0,1000,1000,2000,3000,4000,5000,6000,8000,10000,13000,18000,21000,30000,39000,49000,61000,76000,101000,130000,165000,223000,308000,420000,565000,742000
0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,4000,4000,6000,9000,11000,15000,19000,27000,36000,48000,69000,100000,144000,203000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,3000,4000,5000,8000,12000,19000,29000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,2000
