1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
413000,552000,631000,675000,739000,872000,1065000,1299000,1417000,1031000,1374000,1548000,1662000,1703000,1832000,1912000,2016000,2102000,2191000,2251000,2261000,2248000,2251000,2260000,2256000,2227000,2180000,2133000,2094000,2054000,2008000
272000,368000,499000,574000,621000,672000,787000,985000,1228000,1019000,1197000,1249000,1480000,1624000,1678000,1811000,1896000,1997000,2090000,2182000,2233000,2242000,2233000,2239000,2244000,2239000,2210000,2168000,2129000,2081000,2043000
240000,264000,357000,484000,560000,605000,653000,769000,967000,923000,1243000,1104000,1234000,1462000,1607000,1670000,1803000,1887000,1992000,2086000,2172000,2221000,2233000,2226000,2229000,2234000,2228000,2202000,2166000,2121000,2074000
241000,234000,256000,343000,475000,547000,587000,636000,753000,673000,1110000,1118000,1109000,1201000,1448000,1594000,1660000,1792000,1879000,1983000,2073000,2157000,2209000,2222000,2213000,2215000,2220000,2216000,2196000,2154000,2110000
217000,234000,224000,232000,336000,459000,523000,562000,613000,470000,786000,986000,1055000,1083000,1148000,1428000,1568000,1632000,1772000,1856000,1950000,2036000,2125000,2177000,2184000,2173000,2175000,2184000,2194000,2160000,2120000
165000,210000,222000,197000,226000,321000,433000,494000,535000,358000,564000,692000,928000,1002000,1034000,1119000,1406000,1541000,1618000,1758000,1824000,1913000,2007000,2099000,2143000,2147000,2136000,2147000,2175000,2165000,2135000
113000,159000,199000,198000,191000,215000,301000,408000,467000,295000,439000,513000,655000,885000,958000,1007000,1105000,1384000,1530000,1611000,1734000,1797000,1893000,1991000,2076000,2118000,2121000,2119000,2147000,2158000,2151000
101000,109000,150000,180000,191000,182000,201000,282000,385000,249000,383000,409000,487000,637000,849000,932000,992000,1086000,1370000,1518000,1588000,1709000,1777000,1876000,1970000,2053000,2095000,2105000,2114000,2131000,2144000
90000,96000,102000,136000,172000,181000,170000,187000,264000,200000,321000,376000,388000,466000,629000,824000,913000,971000,1069000,1353000,1493000,1562000,1685000,1755000,1852000,1945000,2028000,2074000,2092000,2095000,2114000
74000,85000,90000,92000,129000,163000,170000,158000,173000,137000,247000,317000,358000,377000,445000,612000,801000,888000,949000,1048000,1322000,1460000,1532000,1656000,1725000,1822000,1915000,2001000,2053000,2068000,2073000
68000,69000,79000,81000,87000,121000,151000,157000,144000,85000,165000,235000,305000,343000,368000,425000,588000,770000,858000,920000,1014000,1282000,1420000,1494000,1616000,1686000,1782000,1878000,1969000,2019000,2036000
55000,62000,63000,70000,75000,79000,110000,138000,141000,67000,115000,156000,225000,297000,327000,348000,401000,556000,732000,818000,877000,969000,1232000,1368000,1442000,1563000,1634000,1733000,1832000,1922000,1975000
48000,49000,55000,55000,63000,66000,70000,97000,120000,63000,94000,118000,147000,214000,288000,301000,320000,369000,516000,681000,762000,820000,913000,1165000,1297000,1373000,1493000,1567000,1670000,1768000,1860000
31000,40000,41000,45000,46000,52000,55000,58000,80000,51000,80000,97000,109000,139000,199000,258000,265000,283000,329000,463000,611000,688000,746000,837000,1074000,1201000,1278000,1398000,1476000,1578000,1678000
16000,24000,30000,30000,34000,35000,40000,42000,43000,31000,57000,75000,85000,94000,126000,166000,212000,218000,236000,277000,391000,521000,593000,650000,735000,952000,1072000,1150000,1269000,1347000,1449000
8000,10000,15000,19000,20000,22000,23000,26000,27000,14000,27000,45000,57000,66000,71000,96000,121000,156000,163000,179000,212000,304000,411000,474000,526000,603000,791000,900000,978000,1088000,1167000
3000,4000,5000,8000,10000,10000,12000,12000,13000,7000,9000,14000,25000,33000,39000,43000,60000,76000,100000,104000,118000,142000,209000,286000,337000,380000,444000,593000,683000,755000,852000
1000,1000,2000,2000,3000,4000,4000,5000,4000,2000,3000,3000,6000,11000,15000,18000,20000,29000,37000,50000,53000,62000,77000,117000,164000,197000,228000,274000,375000,440000,498000
0,0,0,0,1000,1000,1000,1000,1000,0,1000,1000,1000,2000,3000,5000,6000,7000,10000,13000,18000,20000,24000,31000,49000,71000,88000,104000,130000,184000,220000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,3000,4000,5000,6000,8000,14000,20000,26000,32000,42000,62000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,4000,5000,6000,9000
