1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1151000,1369000,1604000,1911000,2310000,2741000,3155000,3662000,4039000,4500000,4949000,5461000,5989000,6430000,7276000,7732000,8247000,8529000,8754000,9067000,9424000,9735000,9915000,9952000,9961000,9993000,10025000,10013000,9923000,9743000,9541000
895000,1051000,1262000,1492000,1788000,2210000,2635000,2968000,3353000,3743000,4248000,4689000,5259000,5815000,6334000,6944000,7623000,8103000,8394000,8630000,8950000,9315000,9625000,9814000,9856000,9874000,9903000,9946000,9941000,9844000,9673000
758000,868000,1022000,1231000,1458000,1794000,2199000,2554000,2768000,3174000,3556000,4042000,4551000,5189000,5777000,6100000,6899000,7551000,8033000,8329000,8568000,8891000,9253000,9566000,9757000,9803000,9818000,9854000,9900000,9890000,9798000
650000,741000,849000,1003000,1210000,1470000,1820000,2127000,2326000,2564000,2994000,3356000,3890000,4473000,5177000,5532000,6010000,6785000,7432000,7911000,8204000,8441000,8756000,9115000,9425000,9615000,9655000,9674000,9709000,9748000,9742000
555000,631000,718000,831000,982000,1204000,1542000,1784000,1928000,2137000,2376000,2778000,3159000,3715000,4510000,4858000,5231000,5652000,6394000,7017000,7470000,7738000,7938000,8232000,8567000,8860000,9024000,9061000,9066000,9077000,9117000
473000,536000,607000,700000,810000,961000,1286000,1539000,1643000,1793000,1995000,2217000,2603000,2944000,3778000,4267000,4756000,5057000,5471000,6211000,6827000,7279000,7525000,7727000,8016000,8353000,8629000,8808000,8847000,8830000,8854000
362000,455000,514000,590000,681000,785000,1015000,1285000,1440000,1550000,1699000,1888000,2092000,2418000,2995000,3592000,4324000,4749000,5064000,5493000,6242000,6873000,7321000,7585000,7798000,8102000,8437000,8735000,8928000,8957000,8957000
292000,346000,435000,498000,571000,657000,800000,993000,1187000,1352000,1473000,1612000,1793000,1953000,2444000,2847000,3626000,4309000,4743000,5069000,5507000,6264000,6892000,7352000,7625000,7851000,8155000,8505000,8815000,9003000,9045000
246000,278000,329000,418000,478000,552000,639000,755000,878000,1081000,1263000,1373000,1524000,1685000,1956000,2316000,2846000,3587000,4268000,4706000,5038000,5481000,6232000,6864000,7328000,7610000,7838000,8153000,8512000,8819000,9016000
201000,232000,262000,314000,398000,463000,515000,580000,630000,763000,976000,1143000,1278000,1437000,1669000,1844000,2291000,2793000,3524000,4198000,4634000,4969000,5408000,6156000,6786000,7254000,7537000,7775000,8097000,8455000,8769000
164000,187000,217000,247000,296000,383000,422000,458000,472000,529000,673000,870000,1054000,1201000,1404000,1557000,1801000,2223000,2714000,3429000,4089000,4520000,4850000,5287000,6026000,6652000,7118000,7409000,7654000,7978000,8342000
141000,150000,171000,200000,228000,281000,349000,376000,386000,399000,451000,582000,785000,980000,1153000,1290000,1495000,1721000,2127000,2601000,3290000,3929000,4348000,4675000,5105000,5831000,6447000,6915000,7212000,7461000,7792000
114000,124000,133000,153000,179000,208000,261000,318000,343000,347000,354000,401000,522000,715000,918000,1035000,1210000,1396000,1611000,1995000,2443000,3097000,3702000,4107000,4426000,4848000,5551000,6156000,6621000,6922000,7181000
85000,95000,103000,112000,130000,153000,184000,229000,286000,307000,300000,305000,347000,453000,640000,787000,930000,1083000,1253000,1452000,1801000,2213000,2811000,3372000,3754000,4065000,4470000,5144000,5729000,6185000,6494000
57000,64000,72000,80000,87000,101000,120000,143000,181000,227000,246000,240000,246000,281000,378000,509000,660000,777000,909000,1057000,1231000,1533000,1891000,2416000,2912000,3262000,3556000,3937000,4562000,5110000,5553000
31000,36000,42000,48000,53000,59000,69000,81000,99000,126000,161000,174000,171000,176000,209000,268000,384000,493000,585000,689000,806000,947000,1186000,1474000,1900000,2311000,2612000,2877000,3218000,3767000,4260000
11000,16000,19000,22000,26000,29000,32000,38000,46000,56000,73000,93000,103000,102000,109000,123000,166000,240000,311000,373000,443000,522000,623000,788000,992000,1296000,1596000,1828000,2046000,2321000,2759000
3000,4000,6000,7000,9000,10000,12000,13000,15000,19000,24000,31000,40000,45000,47000,47000,57000,78000,115000,150000,182000,220000,263000,321000,412000,529000,705000,883000,1032000,1181000,1369000
1000,1000,1000,1000,2000,2000,3000,3000,3000,4000,5000,6000,8000,11000,14000,13000,15000,18000,24000,37000,49000,61000,75000,92000,116000,153000,202000,276000,355000,426000,503000
0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,2000,3000,3000,4000,7000,9000,12000,15000,20000,26000,35000,48000,68000,90000,113000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,2000,3000,5000,7000,10000,14000
