1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
471000,541000,623000,715000,828000,973000,1131000,1269000,1379000,1501000,1659000,1860000,2076000,2342000,2404000,2540000,2755000,2899000,2980000,3035000,3107000,3191000,3270000,3315000,3324000,3295000,3266000,3245000,3212000,3154000,3096000
330000,397000,465000,538000,620000,725000,870000,1040000,1194000,1313000,1426000,1572000,1784000,2049000,2281000,2345000,2513000,2729000,2874000,2956000,3013000,3084000,3170000,3250000,3294000,3305000,3276000,3248000,3226000,3193000,3135000
289000,321000,388000,453000,526000,606000,708000,854000,1026000,1181000,1296000,1392000,1532000,1791000,2086000,2261000,2332000,2500000,2717000,2862000,2944000,3000000,3072000,3158000,3237000,3282000,3293000,3264000,3236000,3214000,3180000
253000,283000,316000,382000,448000,517000,583000,689000,840000,1009000,1154000,1257000,1339000,1539000,1835000,2088000,2232000,2302000,2468000,2682000,2825000,2905000,2960000,3030000,3114000,3194000,3237000,3247000,3217000,3189000,3166000
221000,249000,280000,313000,382000,440000,476000,547000,666000,811000,958000,1097000,1183000,1319000,1587000,1821000,1985000,2118000,2178000,2335000,2538000,2670000,2742000,2787000,2849000,2927000,2998000,3037000,3041000,3007000,2974000
190000,217000,246000,278000,316000,376000,397000,436000,523000,636000,754000,897000,1017000,1142000,1332000,1605000,1783000,1943000,2074000,2131000,2284000,2483000,2614000,2683000,2726000,2788000,2864000,2934000,2971000,2974000,2938000
163000,186000,214000,244000,279000,311000,340000,363000,416000,498000,589000,704000,833000,976000,1123000,1338000,1619000,1799000,1963000,2096000,2157000,2312000,2516000,2649000,2721000,2770000,2834000,2912000,2984000,3022000,3026000
139000,158000,182000,210000,241000,273000,283000,313000,347000,397000,464000,550000,656000,799000,947000,1110000,1346000,1628000,1810000,1976000,2111000,2174000,2333000,2539000,2674000,2751000,2801000,2868000,2947000,3021000,3060000
118000,134000,153000,176000,205000,233000,250000,263000,299000,331000,371000,434000,515000,634000,773000,927000,1108000,1343000,1624000,1807000,1973000,2109000,2175000,2335000,2542000,2680000,2757000,2810000,2878000,2959000,3033000
99000,112000,128000,146000,170000,196000,215000,233000,250000,285000,310000,348000,409000,503000,618000,750000,915000,1095000,1328000,1607000,1789000,1955000,2092000,2160000,2321000,2528000,2667000,2746000,2800000,2870000,2952000
81000,92000,105000,120000,138000,159000,179000,199000,219000,236000,266000,292000,332000,400000,499000,599000,732000,894000,1071000,1301000,1575000,1756000,1922000,2059000,2128000,2290000,2497000,2637000,2718000,2774000,2845000
64000,73000,84000,96000,110000,127000,143000,163000,184000,204000,218000,249000,278000,323000,397000,482000,575000,704000,862000,1034000,1258000,1527000,1705000,1870000,2007000,2079000,2241000,2448000,2589000,2672000,2730000
52000,55000,64000,73000,84000,96000,109000,126000,146000,167000,183000,199000,231000,262000,315000,377000,451000,540000,663000,814000,981000,1197000,1457000,1633000,1795000,1933000,2007000,2171000,2376000,2518000,2604000
40000,41000,44000,51000,58000,67000,78000,90000,107000,126000,142000,159000,177000,204000,243000,288000,338000,407000,489000,603000,745000,903000,1109000,1356000,1526000,1686000,1823000,1901000,2065000,2268000,2412000
26000,27000,28000,31000,36000,42000,48000,57000,69000,83000,97000,114000,133000,147000,163000,205000,240000,283000,343000,416000,518000,647000,792000,981000,1208000,1370000,1525000,1659000,1742000,1905000,2105000
14000,14000,15000,16000,17000,21000,24000,29000,37000,46000,54000,69000,86000,98000,108000,114000,148000,175000,210000,258000,318000,403000,511000,634000,797000,995000,1141000,1285000,1414000,1501000,1660000
5000,5000,6000,6000,6000,7000,9000,11000,14000,18000,22000,30000,41000,48000,57000,60000,64000,86000,103000,126000,160000,203000,263000,342000,435000,559000,711000,832000,955000,1068000,1155000
1000,1000,1000,1000,1000,2000,2000,2000,3000,5000,6000,9000,12000,15000,17000,21000,22000,26000,35000,44000,56000,73000,97000,130000,176000,231000,307000,402000,484000,572000,657000
0,0,0,0,0,0,0,0,0,0,1000,2000,2000,2000,3000,3000,4000,5000,6000,8000,11000,15000,21000,29000,41000,59000,81000,113000,154000,192000,237000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,3000,5000,7000,11000,15000,23000,33000,43000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,4000
