1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
321000,332000,366000,409000,455000,503000,559000,626000,726000,728000,777000,946000,1021000,1083000,1128000,1181000,1206000,1225000,1237000,1241000,1234000,1223000,1202000,1183000,1162000,1134000,1104000,1075000,1045000,1015000,984000
247000,249000,265000,303000,348000,392000,439000,497000,580000,585000,627000,793000,890000,981000,1050000,1099000,1151000,1178000,1198000,1212000,1216000,1212000,1200000,1182000,1165000,1144000,1118000,1090000,1063000,1033000,1003000
219000,234000,237000,254000,291000,333000,374000,422000,495000,500000,535000,672000,777000,880000,971000,1041000,1089000,1141000,1168000,1189000,1202000,1207000,1202000,1191000,1174000,1157000,1136000,1112000,1084000,1056000,1026000
198000,209000,224000,228000,245000,280000,319000,361000,422000,427000,457000,574000,659000,767000,871000,961000,1029000,1077000,1129000,1157000,1177000,1191000,1195000,1191000,1181000,1164000,1147000,1127000,1103000,1075000,1048000
177000,186000,198000,213000,219000,234000,266000,306000,358000,360000,384000,485000,558000,646000,756000,857000,939000,1007000,1053000,1106000,1132000,1152000,1165000,1170000,1167000,1156000,1139000,1124000,1105000,1080000,1052000
156000,165000,174000,187000,203000,207000,221000,254000,301000,303000,322000,406000,470000,546000,636000,743000,835000,917000,983000,1032000,1081000,1108000,1127000,1140000,1149000,1143000,1133000,1119000,1104000,1085000,1059000
137000,146000,154000,165000,178000,192000,195000,211000,250000,255000,271000,339000,392000,458000,536000,625000,727000,819000,899000,967000,1014000,1064000,1089000,1109000,1126000,1131000,1127000,1119000,1106000,1091000,1070000
119000,127000,135000,145000,156000,167000,181000,185000,206000,210000,227000,284000,326000,381000,449000,526000,611000,713000,803000,884000,950000,998000,1047000,1073000,1094000,1109000,1116000,1113000,1107000,1093000,1078000
103000,110000,118000,126000,136000,146000,156000,170000,180000,173000,186000,236000,271000,314000,371000,438000,513000,597000,697000,787000,866000,933000,979000,1028000,1055000,1076000,1092000,1100000,1098000,1091000,1078000
87000,94000,101000,109000,118000,126000,135000,146000,164000,149000,151000,192000,223000,259000,304000,359000,424000,498000,580000,678000,766000,845000,910000,956000,1006000,1032000,1054000,1071000,1079000,1078000,1072000
72000,79000,86000,93000,101000,108000,116000,125000,139000,134000,128000,154000,179000,210000,247000,290000,344000,407000,478000,558000,653000,739000,816000,880000,926000,975000,1002000,1023000,1041000,1050000,1050000
58000,65000,70000,77000,84000,90000,97000,104000,116000,111000,113000,127000,140000,165000,196000,231000,272000,324000,384000,452000,528000,620000,702000,776000,838000,883000,931000,958000,981000,999000,1009000
44000,50000,55000,61000,67000,73000,78000,84000,94000,89000,90000,108000,112000,124000,148000,178000,210000,248000,296000,352000,415000,487000,572000,649000,720000,779000,823000,869000,897000,920000,939000
31000,36000,40000,45000,50000,54000,59000,64000,71000,67000,67000,80000,89000,93000,105000,127000,153000,181000,215000,257000,307000,363000,427000,504000,574000,639000,693000,735000,779000,807000,830000
18000,22000,26000,29000,33000,36000,40000,43000,48000,46000,46000,54000,60000,67000,71000,82000,99000,120000,144000,171000,206000,247000,293000,347000,412000,471000,528000,576000,614000,654000,681000
8000,11000,14000,16000,18000,21000,23000,25000,28000,27000,26000,31000,34000,38000,44000,48000,55000,68000,83000,99000,119000,144000,174000,209000,249000,298000,343000,388000,426000,459000,494000
2000,4000,5000,7000,8000,9000,10000,11000,13000,12000,12000,14000,16000,17000,20000,24000,26000,30000,38000,46000,56000,68000,83000,101000,123000,148000,179000,209000,239000,266000,291000
1000,1000,1000,2000,2000,3000,3000,4000,4000,4000,4000,5000,5000,6000,6000,8000,9000,10000,12000,15000,19000,23000,29000,35000,44000,54000,66000,82000,97000,113000,128000
0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,3000,3000,4000,5000,7000,8000,10000,13000,16000,20000,26000,31000,37000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,2000,2000,3000,4000,5000,6000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
