1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
381000,475000,526000,590000,669000,762000,1094000,1286000,1394000,1379000,1797000,2142000,2408000,2639000,3169000,3584000,3937000,4205000,4473000,4693000,4908000,5098000,5234000,5318000,5348000,5378000,5376000,5350000,5293000,5218000,5135000
279000,339000,425000,475000,535000,608000,841000,973000,1076000,1090000,1304000,1696000,1948000,2109000,2552000,3047000,3463000,3810000,4083000,4343000,4566000,4788000,4987000,5127000,5212000,5253000,5287000,5289000,5272000,5227000,5155000
252000,269000,327000,412000,461000,518000,715000,792000,859000,935000,1085000,1290000,1615000,1828000,2111000,2519000,3010000,3420000,3769000,4036000,4296000,4523000,4749000,4949000,5087000,5176000,5217000,5251000,5256000,5246000,5200000
213000,245000,262000,319000,403000,449000,615000,677000,700000,759000,934000,1079000,1234000,1527000,1834000,2078000,2472000,2954000,3362000,3701000,3965000,4226000,4453000,4676000,4870000,5009000,5096000,5137000,5170000,5180000,5167000
191000,206000,237000,254000,310000,391000,530000,578000,591000,615000,753000,923000,1024000,1163000,1522000,1780000,1951000,2321000,2789000,3167000,3487000,3746000,3999000,4207000,4408000,4595000,4723000,4802000,4831000,4870000,4872000
169000,183000,197000,228000,245000,299000,457000,496000,501000,514000,608000,740000,872000,958000,1153000,1499000,1725000,1882000,2256000,2696000,3066000,3394000,3661000,3905000,4099000,4307000,4488000,4612000,4689000,4735000,4767000
149000,162000,175000,190000,220000,236000,347000,427000,429000,434000,506000,596000,698000,814000,948000,1140000,1502000,1723000,1895000,2255000,2695000,3076000,3418000,3686000,3926000,4135000,4342000,4524000,4656000,4751000,4794000
130000,142000,154000,167000,181000,210000,274000,323000,368000,369000,426000,495000,559000,649000,804000,932000,1141000,1495000,1723000,1888000,2247000,2690000,3079000,3420000,3685000,3934000,4142000,4350000,4538000,4682000,4776000
111000,123000,134000,146000,159000,172000,243000,253000,277000,315000,360000,414000,462000,517000,638000,784000,922000,1125000,1477000,1697000,1863000,2222000,2664000,3048000,3383000,3652000,3898000,4106000,4317000,4512000,4655000
94000,104000,115000,126000,138000,150000,197000,222000,215000,235000,305000,347000,383000,423000,504000,616000,766000,900000,1101000,1441000,1657000,1824000,2178000,2610000,2984000,3317000,3581000,3824000,4032000,4246000,4439000
78000,87000,96000,107000,117000,128000,170000,179000,187000,179000,225000,291000,318000,346000,408000,481000,594000,737000,869000,1061000,1388000,1600000,1764000,2107000,2523000,2888000,3211000,3469000,3708000,3916000,4126000
62000,70000,78000,87000,97000,107000,142000,150000,147000,151000,168000,210000,261000,281000,328000,382000,455000,561000,699000,821000,1005000,1316000,1519000,1676000,2002000,2399000,2747000,3056000,3304000,3538000,3739000
45000,54000,61000,68000,77000,85000,114000,122000,120000,113000,137000,152000,183000,223000,259000,299000,352000,419000,518000,643000,757000,929000,1217000,1405000,1550000,1854000,2223000,2546000,2835000,3071000,3291000
31000,37000,44000,50000,57000,63000,86000,93000,92000,85000,98000,118000,125000,148000,195000,224000,262000,308000,368000,454000,565000,666000,821000,1075000,1240000,1370000,1642000,1969000,2259000,2520000,2734000
17000,22000,27000,32000,37000,42000,58000,63000,63000,58000,67000,76000,89000,91000,119000,155000,182000,212000,251000,299000,370000,461000,545000,674000,880000,1017000,1124000,1352000,1622000,1866000,2086000
7000,11000,14000,17000,21000,24000,33000,37000,37000,34000,39000,45000,50000,56000,64000,83000,111000,130000,153000,180000,215000,267000,334000,394000,489000,639000,738000,817000,988000,1188000,1371000
2000,4000,5000,7000,9000,10000,15000,17000,17000,16000,18000,21000,24000,25000,32000,36000,49000,65000,77000,90000,107000,127000,158000,198000,233000,293000,381000,441000,489000,596000,718000
0,1000,1000,2000,2000,3000,5000,5000,6000,5000,6000,7000,8000,8000,10000,13000,16000,21000,28000,33000,39000,46000,55000,69000,87000,102000,130000,168000,194000,216000,267000
0,0,0,0,0,1000,1000,1000,1000,1000,1000,2000,2000,2000,2000,3000,4000,5000,6000,8000,10000,11000,13000,16000,20000,25000,29000,38000,48000,56000,63000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,2000,3000,3000,4000,5000,6000,8000,9000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000
