1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
434000,466000,524000,584000,634000,740000,837000,923000,827000,1052000,1174000,1428000,1675000,1827000,1418000,1573000,1750000,1880000,1890000,1859000,1838000,1840000,1838000,1825000,1806000,1770000,1724000,1683000,1648000,1611000,1571000
341000,360000,385000,434000,476000,534000,641000,723000,707000,700000,918000,1109000,1387000,1601000,1601000,1419000,1518000,1692000,1823000,1836000,1805000,1790000,1795000,1796000,1788000,1774000,1738000,1696000,1658000,1621000,1591000
289000,323000,338000,362000,407000,452000,511000,607000,618000,644000,652000,905000,1107000,1357000,1520000,1638000,1396000,1495000,1670000,1800000,1811000,1784000,1771000,1777000,1781000,1775000,1761000,1727000,1686000,1646000,1613000
255000,278000,308000,322000,342000,392000,436000,487000,528000,570000,619000,672000,951000,1057000,1274000,1556000,1617000,1380000,1480000,1653000,1780000,1795000,1769000,1757000,1765000,1772000,1765000,1752000,1719000,1676000,1641000
220000,243000,262000,288000,294000,325000,374000,407000,417000,488000,566000,680000,799000,900000,858000,1289000,1533000,1596000,1369000,1467000,1635000,1766000,1782000,1759000,1751000,1764000,1767000,1764000,1751000,1713000,1679000
187000,208000,226000,242000,259000,275000,307000,344000,341000,381000,487000,637000,824000,774000,637000,854000,1262000,1504000,1571000,1347000,1438000,1610000,1739000,1758000,1740000,1739000,1746000,1754000,1750000,1730000,1704000
157000,175000,192000,208000,217000,241000,259000,281000,284000,308000,378000,541000,748000,807000,547000,632000,831000,1230000,1471000,1535000,1312000,1407000,1575000,1704000,1727000,1716000,1709000,1720000,1728000,1718000,1708000
133000,146000,160000,175000,186000,201000,225000,236000,230000,252000,298000,412000,614000,731000,631000,543000,613000,807000,1199000,1433000,1493000,1280000,1373000,1539000,1669000,1696000,1682000,1678000,1690000,1694000,1691000
110000,122000,132000,144000,154000,170000,187000,205000,191000,201000,238000,317000,457000,596000,600000,627000,524000,593000,783000,1162000,1388000,1450000,1243000,1335000,1500000,1630000,1655000,1644000,1641000,1651000,1660000
91000,100000,110000,118000,125000,140000,157000,169000,164000,166000,187000,247000,342000,439000,499000,593000,602000,503000,571000,754000,1119000,1339000,1399000,1202000,1293000,1455000,1581000,1607000,1597000,1594000,1607000
74000,81000,88000,96000,100000,112000,127000,140000,133000,141000,151000,189000,259000,324000,367000,488000,563000,572000,480000,544000,718000,1068000,1279000,1338000,1151000,1241000,1396000,1518000,1544000,1535000,1535000
64000,64000,69000,75000,79000,87000,99000,111000,107000,111000,124000,147000,192000,240000,267000,353000,455000,526000,536000,450000,510000,674000,1003000,1202000,1259000,1085000,1170000,1318000,1434000,1459000,1453000
51000,53000,52000,56000,58000,65000,74000,83000,80000,86000,94000,116000,144000,172000,192000,250000,320000,414000,479000,488000,410000,465000,617000,918000,1101000,1154000,995000,1074000,1212000,1318000,1343000
39000,39000,40000,39000,39000,44000,51000,57000,55000,61000,68000,83000,107000,121000,129000,171000,216000,277000,359000,416000,423000,356000,405000,538000,801000,963000,1008000,871000,942000,1063000,1159000
26000,25000,25000,25000,23000,26000,31000,35000,32000,37000,43000,55000,70000,82000,82000,106000,136000,173000,222000,288000,333000,339000,287000,326000,435000,648000,778000,814000,706000,764000,864000
14000,14000,13000,13000,12000,12000,15000,18000,16000,19000,23000,31000,41000,47000,48000,59000,74000,95000,121000,156000,202000,234000,239000,203000,231000,310000,461000,553000,578000,503000,547000
5000,5000,5000,5000,4000,5000,5000,6000,6000,7000,9000,13000,19000,22000,22000,28000,33000,42000,54000,69000,90000,116000,134000,137000,117000,133000,180000,267000,321000,334000,292000
2000,1000,1000,1000,1000,1000,1000,1000,1000,2000,3000,4000,7000,7000,6000,9000,12000,14000,18000,23000,29000,38000,49000,56000,57000,49000,56000,77000,114000,137000,141000
0,0,0,0,0,0,0,0,0,0,1000,1000,2000,1000,1000,2000,3000,3000,4000,5000,6000,8000,10000,13000,15000,16000,14000,15000,21000,31000,38000
0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,2000,2000,2000,2000,3000,5000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
