1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
49000,58000,65000,73000,83000,101000,122000,142000,160000,165000,149000,151000,152000,145000,142000,141000,137000,134000,131000,127000,121000,116000,111000,106000,101000,96000,92000,87000,82000,78000,74000
37000,45000,54000,60000,68000,77000,94000,115000,140000,157000,156000,145000,141000,140000,138000,138000,137000,133000,130000,127000,124000,119000,113000,108000,104000,99000,94000,89000,85000,80000,76000
32000,36000,44000,52000,57000,64000,75000,92000,115000,139000,148000,147000,138000,135000,134000,135000,136000,135000,131000,128000,125000,122000,117000,112000,107000,102000,97000,93000,88000,84000,79000
28000,30000,34000,42000,49000,53000,62000,73000,94000,109000,130000,134000,134000,128000,127000,130000,133000,134000,133000,129000,126000,124000,120000,115000,110000,105000,100000,96000,91000,87000,82000
24000,26000,28000,31000,39000,45000,49000,59000,77000,84000,101000,115000,120000,118000,117000,120000,125000,128000,129000,128000,124000,122000,119000,116000,111000,106000,101000,97000,92000,88000,84000
21000,22000,23000,25000,29000,37000,43000,47000,63000,68000,77000,88000,101000,106000,106000,109000,113000,118000,122000,123000,122000,119000,116000,114000,110000,106000,101000,96000,92000,88000,84000
18000,19000,20000,20000,23000,28000,35000,41000,51000,56000,63000,65000,76000,89000,97000,100000,103000,107000,113000,116000,118000,117000,114000,111000,109000,106000,102000,97000,93000,89000,85000
15000,16000,17000,17000,19000,22000,27000,35000,43000,45000,51000,55000,55000,67000,82000,91000,95000,98000,103000,108000,112000,114000,113000,110000,108000,106000,103000,99000,94000,90000,87000
12000,14000,15000,15000,16000,18000,21000,26000,35000,39000,41000,44000,48000,49000,62000,77000,86000,90000,94000,98000,104000,108000,110000,109000,106000,104000,103000,100000,96000,92000,88000
10000,11000,12000,13000,14000,15000,17000,20000,26000,32000,35000,36000,37000,43000,45000,57000,72000,82000,86000,90000,94000,100000,104000,105000,105000,103000,101000,99000,97000,93000,89000
8000,9000,10000,11000,12000,13000,13000,15000,20000,23000,28000,28000,32000,33000,40000,41000,53000,68000,77000,81000,84000,89000,95000,99000,100000,100000,98000,97000,95000,93000,90000
7000,7000,8000,9000,10000,11000,11000,12000,14000,17000,21000,24000,24000,29000,31000,36000,38000,49000,62000,71000,75000,78000,83000,88000,92000,94000,94000,93000,92000,90000,89000
5000,6000,6000,7000,8000,9000,9000,10000,11000,12000,15000,19000,20000,22000,27000,27000,32000,33000,43000,56000,64000,67000,71000,75000,80000,84000,86000,87000,85000,85000,84000
4000,4000,5000,5000,6000,7000,7000,8000,8000,9000,10000,13000,15000,17000,19000,22000,23000,27000,28000,37000,48000,55000,58000,62000,65000,70000,74000,76000,77000,76000,76000
2000,3000,3000,3000,4000,4000,5000,6000,6000,7000,7000,7000,9000,11000,13000,15000,18000,18000,21000,23000,30000,39000,45000,48000,51000,54000,58000,62000,64000,65000,64000
1000,1000,2000,2000,2000,2000,3000,4000,4000,4000,4000,4000,5000,6000,8000,9000,11000,13000,14000,16000,17000,22000,29000,34000,36000,38000,41000,45000,48000,50000,50000
0,0,1000,1000,1000,1000,1000,2000,2000,2000,3000,3000,3000,3000,4000,5000,6000,7000,9000,9000,10000,11000,15000,19000,22000,24000,26000,27000,30000,32000,34000
0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,2000,3000,3000,4000,4000,5000,5000,6000,8000,10000,11000,12000,13000,14000,16000,17000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,2000,2000,3000,4000,4000,4000,5000,5000,6000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
