1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
397000,468000,516000,573000,652000,776000,862000,967000,1183000,1461000,1754000,2077000,2492000,2893000,3254000,3827000,4271000,4518000,4759000,5022000,5297000,5519000,5659000,5722000,5740000,5772000,5785000,5760000,5690000,5584000,5478000
303000,340000,407000,452000,505000,579000,689000,776000,880000,1080000,1346000,1627000,1932000,2338000,2736000,3139000,3652000,4103000,4350000,4590000,4852000,5128000,5352000,5495000,5561000,5590000,5630000,5649000,5630000,5569000,5472000
268000,290000,328000,392000,435000,487000,555000,665000,755000,855000,1051000,1311000,1580000,1877000,2272000,2688000,3056000,3572000,4019000,4266000,4505000,4769000,5046000,5270000,5414000,5486000,5520000,5563000,5584000,5570000,5514000
239000,259000,281000,318000,379000,419000,456000,532000,651000,740000,841000,1048000,1286000,1550000,1840000,2269000,2613000,2981000,3489000,3930000,4172000,4410000,4671000,4944000,5165000,5310000,5384000,5418000,5461000,5484000,5472000
214000,230000,250000,270000,300000,355000,366000,427000,520000,633000,732000,860000,1029000,1264000,1514000,1891000,2106000,2443000,2792000,3277000,3695000,3923000,4149000,4392000,4646000,4861000,5002000,5066000,5095000,5134000,5156000
193000,204000,219000,238000,251000,276000,298000,337000,417000,505000,631000,753000,844000,1011000,1231000,1620000,1792000,2027000,2357000,2695000,3166000,3577000,3806000,4023000,4256000,4516000,4734000,4868000,4932000,4963000,5005000
171000,183000,194000,209000,221000,231000,231000,275000,330000,404000,502000,643000,735000,827000,982000,1317000,1581000,1783000,2022000,2349000,2686000,3157000,3571000,3801000,4017000,4262000,4529000,4746000,4884000,4954000,4990000
149000,161000,173000,184000,194000,204000,197000,212000,267000,318000,399000,505000,623000,714000,798000,1032000,1283000,1563000,1766000,2003000,2328000,2664000,3133000,3543000,3771000,3995000,4245000,4511000,4729000,4871000,4945000
130000,139000,151000,163000,171000,179000,177000,181000,205000,256000,310000,396000,485000,599000,684000,820000,996000,1253000,1528000,1728000,1962000,2282000,2615000,3074000,3476000,3708000,3934000,4181000,4445000,4665000,4809000
113000,121000,130000,141000,150000,157000,158000,163000,173000,194000,246000,304000,377000,463000,569000,685000,783000,962000,1211000,1477000,1673000,1902000,2215000,2540000,2986000,3381000,3612000,3835000,4079000,4341000,4559000
99000,103000,111000,119000,129000,137000,139000,144000,153000,162000,184000,237000,285000,355000,434000,557000,646000,745000,917000,1155000,1409000,1599000,1821000,2123000,2436000,2869000,3252000,3476000,3695000,3934000,4191000
76000,88000,93000,100000,107000,115000,120000,125000,132000,140000,150000,173000,217000,262000,325000,414000,514000,601000,696000,857000,1080000,1321000,1502000,1713000,1999000,2298000,2710000,3074000,3291000,3503000,3734000
64000,65000,76000,80000,86000,92000,98000,104000,111000,117000,125000,135000,153000,193000,233000,300000,370000,463000,544000,630000,778000,983000,1205000,1372000,1567000,1834000,2113000,2495000,2834000,3040000,3241000
50000,51000,52000,61000,65000,70000,74000,80000,87000,92000,98000,106000,112000,128000,161000,203000,253000,315000,397000,466000,543000,672000,851000,1046000,1193000,1368000,1605000,1853000,2194000,2497000,2685000
33000,35000,37000,38000,45000,47000,50000,55000,61000,66000,70000,75000,80000,85000,97000,129000,156000,197000,247000,312000,368000,430000,535000,680000,838000,960000,1105000,1301000,1507000,1792000,2045000
18000,19000,21000,22000,23000,28000,29000,32000,36000,39000,43000,46000,49000,52000,56000,67000,85000,105000,134000,169000,214000,254000,299000,374000,477000,591000,681000,788000,932000,1086000,1299000
6000,8000,9000,10000,11000,11000,13000,14000,17000,18000,21000,23000,24000,25000,27000,31000,36000,46000,58000,74000,94000,120000,142000,169000,213000,274000,342000,396000,461000,550000,645000
2000,2000,3000,3000,3000,4000,4000,5000,5000,6000,7000,8000,8000,9000,9000,11000,12000,14000,18000,23000,30000,38000,49000,59000,71000,90000,116000,146000,171000,201000,242000
0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,2000,3000,3000,3000,4000,5000,6000,8000,10000,13000,16000,19000,25000,32000,41000,48000,57000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,1000,1000,1000,1000,1000,2000,2000,3000,4000,5000,7000,8000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
