1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
245000,275000,302000,341000,419000,487000,548000,624000,701000,745000,833000,944000,1104000,1210000,1296000,1371000,1454000,1557000,1650000,1731000,1791000,1842000,1892000,1944000,1988000,2014000,2027000,2043000,2038000,2033000,2023000
183000,210000,236000,262000,323000,378000,439000,520000,591000,638000,721000,797000,911000,1069000,1180000,1269000,1341000,1426000,1528000,1623000,1705000,1766000,1816000,1869000,1922000,1967000,1995000,2011000,2025000,2021000,2018000
156000,173000,198000,224000,270000,313000,362000,437000,514000,559000,637000,709000,785000,897000,1056000,1167000,1253000,1327000,1412000,1515000,1610000,1692000,1752000,1803000,1857000,1910000,1957000,1986000,2000000,2015000,2012000
136000,148000,163000,188000,231000,262000,299000,360000,432000,486000,562000,627000,700000,774000,887000,1043000,1152000,1239000,1313000,1398000,1501000,1595000,1677000,1737000,1789000,1843000,1897000,1944000,1972000,1987000,2003000
118000,128000,138000,153000,192000,222000,248000,296000,353000,406000,488000,546000,618000,684000,758000,867000,1016000,1124000,1209000,1283000,1368000,1469000,1560000,1643000,1704000,1756000,1810000,1865000,1908000,1937000,1954000
102000,110000,118000,129000,156000,183000,209000,244000,290000,331000,407000,472000,539000,601000,668000,740000,841000,989000,1095000,1181000,1255000,1338000,1435000,1528000,1612000,1673000,1726000,1783000,1832000,1877000,1910000
89000,95000,102000,111000,131000,148000,172000,206000,239000,270000,331000,394000,465000,523000,586000,652000,720000,821000,966000,1073000,1160000,1233000,1312000,1411000,1505000,1589000,1652000,1708000,1761000,1811000,1859000
77000,82000,88000,95000,112000,124000,140000,169000,201000,222000,270000,320000,386000,450000,509000,571000,634000,703000,802000,946000,1053000,1139000,1210000,1291000,1390000,1484000,1569000,1634000,1688000,1741000,1794000
64000,71000,76000,81000,95000,106000,116000,136000,164000,186000,220000,259000,311000,372000,436000,494000,554000,618000,685000,783000,926000,1031000,1115000,1187000,1269000,1367000,1462000,1548000,1612000,1666000,1721000
53000,58000,65000,69000,81000,90000,98000,113000,131000,151000,182000,210000,250000,298000,358000,421000,477000,537000,599000,665000,762000,902000,1005000,1089000,1161000,1242000,1340000,1436000,1520000,1584000,1640000
45000,48000,53000,59000,68000,75000,82000,94000,108000,119000,146000,172000,200000,237000,284000,342000,403000,457000,515000,576000,641000,735000,872000,973000,1056000,1127000,1207000,1305000,1399000,1483000,1548000
39000,39000,42000,47000,56000,62000,67000,77000,88000,96000,113000,135000,160000,186000,221000,266000,321000,379000,431000,487000,546000,609000,699000,831000,929000,1010000,1080000,1160000,1256000,1349000,1433000
34000,33000,33000,35000,43000,49000,54000,61000,70000,75000,87000,100000,121000,143000,167000,201000,242000,294000,347000,397000,449000,504000,563000,649000,774000,867000,946000,1015000,1093000,1187000,1279000
27000,27000,26000,26000,30000,35000,40000,46000,52000,56000,64000,72000,84000,102000,122000,144000,173000,210000,256000,304000,348000,395000,445000,500000,578000,693000,779000,854000,920000,995000,1087000
18000,18000,18000,18000,20000,22000,26000,31000,35000,38000,43000,48000,55000,64000,78000,95000,113000,137000,167000,205000,245000,282000,322000,365000,413000,481000,580000,656000,725000,787000,859000
10000,10000,10000,10000,11000,12000,13000,17000,20000,21000,24000,26000,30000,34000,41000,52000,63000,76000,93000,115000,142000,171000,199000,229000,263000,301000,354000,433000,495000,554000,610000
4000,4000,4000,4000,5000,5000,5000,6000,8000,9000,10000,11000,12000,14000,17000,21000,26000,33000,40000,49000,62000,78000,95000,112000,132000,154000,179000,214000,268000,312000,357000
1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,3000,3000,3000,4000,4000,5000,7000,9000,11000,14000,18000,23000,30000,37000,45000,54000,65000,78000,97000,125000,150000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,3000,4000,5000,7000,9000,11000,14000,17000,22000,28000,38000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,3000,3000,5000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
