1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
602000,688000,751000,820000,890000,952000,1033000,1067000,1079000,993000,880000,830000,919000,1067000,1022000,834000,751000,708000,723000,756000,746000,687000,615000,568000,555000,559000,553000,527000,485000,447000,426000
478000,540000,594000,652000,764000,852000,901000,997000,1057000,1072000,985000,854000,828000,924000,1061000,1017000,827000,743000,700000,715000,749000,740000,680000,608000,562000,549000,553000,548000,521000,480000,442000
379000,468000,500000,546000,641000,757000,838000,868000,997000,1077000,1083000,985000,858000,827000,921000,1058000,1012000,821000,738000,695000,710000,745000,735000,676000,604000,558000,545000,550000,545000,518000,477000
339000,371000,423000,447000,532000,633000,751000,825000,867000,1002000,1076000,1079000,982000,856000,817000,914000,1051000,1005000,815000,731000,689000,704000,739000,730000,670000,599000,553000,541000,545000,540000,514000
297000,327000,333000,371000,424000,518000,611000,748000,819000,876000,970000,1061000,1025000,969000,835000,802000,895000,1032000,985000,796000,714000,671000,687000,722000,713000,655000,584000,538000,527000,531000,527000
266000,284000,298000,301000,348000,410000,489000,592000,738000,780000,830000,937000,1002000,979000,943000,818000,784000,877000,1012000,967000,779000,698000,656000,672000,707000,699000,641000,571000,526000,514000,519000
237000,253000,260000,275000,281000,336000,374000,464000,589000,704000,759000,792000,903000,952000,956000,929000,807000,773000,865000,1000000,956000,769000,688000,647000,664000,699000,691000,634000,564000,519000,508000
212000,223000,228000,235000,257000,270000,311000,337000,465000,601000,694000,739000,782000,874000,934000,943000,919000,798000,764000,856000,992000,948000,762000,682000,641000,658000,694000,686000,629000,559000,515000
176000,198000,198000,201000,220000,247000,275000,284000,337000,484000,600000,686000,722000,770000,859000,922000,934000,910000,789000,756000,849000,985000,941000,757000,677000,637000,654000,690000,682000,625000,556000
148000,162000,175000,174000,188000,211000,255000,288000,282000,341000,480000,596000,682000,705000,756000,846000,912000,924000,901000,781000,749000,842000,977000,935000,752000,672000,632000,650000,686000,678000,622000
126000,134000,141000,153000,161000,178000,212000,269000,282000,277000,339000,475000,581000,672000,690000,742000,833000,899000,912000,890000,772000,741000,833000,969000,927000,746000,667000,628000,645000,681000,675000
104000,110000,112000,120000,138000,149000,175000,216000,260000,275000,271000,332000,468000,563000,653000,672000,725000,816000,882000,895000,875000,761000,731000,823000,958000,917000,738000,661000,622000,640000,676000
87000,87000,89000,92000,104000,123000,138000,169000,203000,253000,262000,260000,314000,450000,536000,623000,645000,699000,790000,856000,872000,854000,743000,716000,808000,942000,903000,727000,652000,614000,633000
57000,69000,70000,73000,76000,88000,107000,121000,150000,182000,229000,238000,238000,289000,415000,493000,581000,606000,660000,750000,817000,836000,822000,718000,693000,785000,917000,881000,711000,638000,602000
49000,41000,50000,52000,54000,58000,69000,86000,99000,124000,153000,194000,204000,205000,251000,360000,437000,521000,549000,604000,692000,760000,781000,773000,678000,658000,749000,879000,847000,685000,617000
25000,30000,25000,31000,33000,35000,39000,48000,61000,72000,92000,115000,149000,158000,161000,197000,293000,361000,439000,468000,523000,607000,674000,700000,698000,617000,604000,693000,818000,792000,644000
22000,12000,15000,12000,16000,17000,19000,22000,27000,36000,43000,57000,74000,97000,103000,107000,139000,211000,266000,332000,361000,412000,488000,550000,579000,586000,524000,520000,603000,719000,702000
4000,8000,4000,5000,4000,6000,6000,7000,9000,12000,16000,20000,27000,36000,48000,52000,58000,79000,125000,162000,209000,234000,276000,334000,386000,415000,429000,391000,396000,469000,567000
2000,1000,2000,1000,1000,1000,1000,2000,2000,2000,3000,5000,6000,9000,12000,16000,19000,23000,33000,55000,74000,100000,116000,142000,178000,213000,235000,250000,235000,245000,299000
0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,2000,4000,5000,6000,9000,16000,22000,31000,38000,49000,64000,80000,91000,101000,98000,107000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,3000,4000,6000,7000,10000,14000,18000,22000,26000,26000
