1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1417000,1537000,1830000,2184000,2622000,3178000,3753000,4231000,4668000,5197000,5998000,6928000,7828000,8753000,10112000,11226000,12186000,13155000,14150000,15105000,16019000,16795000,17554000,18267000,18853000,19334000,19715000,20070000,20362000,20489000,20580000
1121000,1271000,1383000,1656000,1987000,2412000,2967000,3518000,3970000,4415000,4926000,5774000,6747000,7702000,8662000,10016000,11131000,12099000,13073000,14068000,15027000,15940000,16726000,17487000,18197000,18788000,19274000,19651000,20012000,20304000,20436000
940000,1085000,1232000,1339000,1592000,1892000,2329000,2917000,3461000,3909000,4338000,4862000,5713000,6707000,7672000,8628000,9978000,11096000,12065000,13037000,14033000,14990000,15908000,16694000,17452000,18164000,18758000,19240000,19620000,19981000,20276000
800000,916000,1057000,1203000,1319000,1565000,1845000,2284000,2883000,3446000,3820000,4246000,4751000,5676000,6675000,7623000,8577000,9928000,11043000,12010000,12981000,13974000,14931000,15849000,16630000,17388000,18100000,18689000,19173000,19552000,19915000
676000,775000,887000,1034000,1207000,1369000,1584000,1797000,2198000,2895000,3269000,3650000,4027000,4684000,5654000,6587000,7510000,8465000,9803000,10907000,11865000,12824000,13813000,14764000,15664000,16440000,17194000,17890000,18476000,18954000,19333000
567000,648000,743000,859000,1021000,1234000,1381000,1556000,1684000,2205000,2673000,3072000,3399000,3939000,4676000,5569000,6496000,7426000,8375000,9702000,10803000,11752000,12719000,13706000,14642000,15544000,16326000,17064000,17767000,18351000,18838000
473000,538000,616000,710000,825000,995000,1202000,1351000,1496000,1678000,2008000,2495000,2851000,3306000,3922000,4596000,5501000,6435000,7364000,8308000,9634000,10729000,11690000,12658000,13638000,14580000,15491000,16264000,17014000,17719000,18316000
391000,445000,507000,582000,669000,775000,940000,1157000,1336000,1470000,1520000,1864000,2315000,2758000,3270000,3838000,4521000,5426000,6356000,7279000,8223000,9539000,10639000,11600000,12563000,13545000,14493000,15399000,16181000,16935000,17651000
321000,366000,417000,476000,551000,636000,731000,893000,1149000,1294000,1335000,1403000,1722000,2223000,2703000,3181000,3750000,4430000,5325000,6245000,7162000,8099000,9410000,10505000,11460000,12423000,13409000,14353000,15265000,16051000,16813000
261000,298000,340000,391000,456000,540000,611000,689000,877000,1099000,1176000,1229000,1289000,1638000,2155000,2605000,3079000,3641000,4309000,5188000,6097000,7001000,7933000,9229000,10314000,11267000,12231000,13213000,14161000,15076000,15870000
208000,239000,274000,315000,371000,447000,518000,571000,662000,825000,990000,1073000,1122000,1209000,1563000,2048000,2488000,2950000,3497000,4148000,5005000,5893000,6784000,7703000,8977000,10051000,11002000,11961000,12944000,13894000,14815000
162000,187000,214000,249000,296000,362000,425000,477000,532000,610000,729000,886000,964000,1032000,1131000,1458000,1919000,2341000,2785000,3310000,3936000,4763000,5626000,6495000,7395000,8643000,9703000,10646000,11603000,12585000,13538000
120000,140000,162000,190000,232000,293000,343000,380000,420000,473000,521000,631000,772000,860000,937000,1025000,1328000,1756000,2152000,2569000,3064000,3658000,4445000,5275000,6114000,6991000,8204000,9244000,10178000,11130000,12111000
82000,97000,113000,134000,163000,215000,266000,296000,312000,350000,382000,428000,526000,655000,744000,813000,895000,1165000,1548000,1906000,2288000,2742000,3293000,4028000,4809000,5605000,6449000,7606000,8614000,9531000,10472000
50000,59000,70000,83000,99000,123000,165000,207000,231000,240000,266000,295000,336000,419000,530000,610000,671000,743000,972000,1299000,1611000,1946000,2351000,2847000,3509000,4224000,4961000,5750000,6830000,7787000,8673000
25000,30000,36000,43000,53000,65000,82000,113000,142000,158000,165000,186000,210000,243000,310000,398000,463000,515000,573000,752000,1013000,1267000,1547000,1888000,2310000,2876000,3500000,4149000,4857000,5822000,6698000
8000,12000,14000,18000,22000,28000,35000,46000,64000,83000,93000,100000,116000,133000,158000,205000,267000,315000,353000,395000,521000,708000,897000,1110000,1372000,1698000,2142000,2641000,3166000,3755000,4556000
2000,3000,4000,5000,7000,9000,11000,15000,20000,29000,38000,45000,50000,59000,69000,84000,111000,147000,177000,201000,225000,299000,413000,533000,670000,840000,1057000,1354000,1698000,2066000,2495000
0,1000,1000,1000,1000,2000,2000,3000,5000,6000,10000,13000,16000,19000,23000,28000,35000,47000,62000,77000,88000,99000,134000,187000,247000,316000,404000,517000,675000,864000,1071000
0,0,0,0,0,0,0,0,1000,1000,1000,2000,3000,4000,5000,6000,8000,10000,14000,19000,24000,27000,31000,43000,61000,82000,107000,139000,181000,242000,317000
0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,2000,2000,3000,4000,5000,6000,7000,9000,14000,19000,25000,33000,45000,61000
