1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
2150000,2382000,2723000,3145000,3704000,4172000,4507000,5335000,5799000,5477000,5133000,4892000,5583000,5710000,5571000,5891000,5706000,5599000,5561000,5651000,5709000,5679000,5661000,5641000,5616000,5606000,5592000,5593000,5582000,5567000,5550000
1681000,1983000,2247000,2636000,3059000,3575000,4033000,4526000,5378000,5802000,5477000,5031000,4802000,5508000,5367000,5503000,5915000,5736000,5635000,5602000,5700000,5763000,5737000,5723000,5703000,5683000,5672000,5661000,5660000,5651000,5632000
1398000,1643000,1950000,2255000,2651000,3030000,3541000,3877000,4197000,5420000,5851000,5453000,5005000,4840000,5413000,5262000,5530000,5943000,5768000,5669000,5640000,5741000,5806000,5782000,5767000,5750000,5730000,5720000,5707000,5707000,5695000
1241000,1368000,1618000,1968000,2278000,2640000,3042000,3536000,4022000,4332000,5442000,5824000,5432000,5147000,4922000,5438000,5328000,5601000,6018000,5849000,5757000,5734000,5838000,5907000,5884000,5872000,5857000,5838000,5829000,5817000,5817000
1119000,1206000,1336000,1646000,2001000,2286000,2683000,3249000,3741000,4066000,4450000,5363000,5767000,5592000,5332000,5131000,5745000,5655000,5946000,6377000,6230000,6156000,6146000,6263000,6337000,6324000,6321000,6310000,6295000,6292000,6282000
1017000,1080000,1166000,1350000,1663000,1996000,2303000,2890000,3455000,3652000,3927000,4268000,5210000,5785000,5650000,5495000,5225000,5844000,5769000,6068000,6513000,6381000,6317000,6317000,6433000,6515000,6505000,6505000,6493000,6481000,6472000
915000,974000,1039000,1160000,1345000,1650000,1996000,2418000,2989000,3303000,3377000,3662000,4030000,5148000,5563000,5704000,5360000,5102000,5717000,5650000,5957000,6403000,6278000,6219000,6217000,6338000,6418000,6410000,6406000,6395000,6375000
796000,868000,931000,1023000,1145000,1325000,1641000,2020000,2519000,2820000,3001000,3123000,3388000,3953000,4947000,5459000,5523000,5196000,4953000,5561000,5505000,5815000,6258000,6141000,6084000,6088000,6209000,6291000,6282000,6280000,6266000
667000,748000,823000,901000,995000,1114000,1308000,1684000,2053000,2292000,2517000,2776000,2878000,3271000,3866000,4829000,5258000,5331000,5024000,4796000,5397000,5351000,5661000,6100000,5990000,5942000,5950000,6072000,6155000,6151000,6150000
540000,620000,703000,775000,853000,951000,1079000,1376000,1686000,1823000,1964000,2325000,2550000,2769000,3150000,3767000,4614000,5035000,5117000,4830000,4621000,5210000,5174000,5483000,5914000,5816000,5776000,5791000,5916000,6003000,6003000
416000,493000,575000,647000,717000,801000,903000,1100000,1363000,1472000,1514000,1800000,2123000,2443000,2694000,3017000,3558000,4368000,4778000,4865000,4603000,4412000,4985000,4959000,5265000,5688000,5603000,5575000,5598000,5729000,5821000
315000,370000,448000,525000,593000,663000,753000,893000,1096000,1213000,1227000,1369000,1621000,2010000,2413000,2550000,2799000,3308000,4070000,4462000,4555000,4319000,4151000,4700000,4686000,4990000,5401000,5335000,5321000,5356000,5493000
254000,271000,324000,407000,478000,535000,608000,748000,837000,1002000,1042000,1085000,1208000,1502000,1974000,2245000,2310000,2540000,3009000,3709000,4078000,4175000,3969000,3827000,4346000,4347000,4647000,5045000,5001000,5005000,5055000
201000,205000,222000,282000,355000,407000,462000,584000,627000,748000,892000,894000,925000,1073000,1451000,1779000,1960000,2024000,2230000,2648000,3273000,3609000,3708000,3540000,3429000,3910000,3930000,4225000,4604000,4586000,4612000
144000,148000,153000,175000,223000,276000,320000,389000,470000,497000,626000,729000,733000,765000,920000,1243000,1479000,1636000,1696000,1874000,2232000,2767000,3063000,3165000,3038000,2961000,3399000,3439000,3722000,4078000,4088000
98000,94000,99000,105000,121000,157000,196000,230000,283000,341000,368000,478000,559000,565000,578000,684000,962000,1149000,1277000,1331000,1476000,1766000,2199000,2452000,2552000,2468000,2428000,2811000,2867000,3133000,3455000
56000,53000,53000,58000,62000,73000,97000,123000,146000,179000,223000,248000,326000,382000,395000,383000,483000,681000,818000,915000,960000,1070000,1289000,1620000,1823000,1916000,1872000,1862000,2180000,2245000,2482000
24000,22000,23000,24000,27000,29000,35000,48000,63000,74000,95000,124000,138000,184000,234000,224000,238000,303000,428000,519000,585000,618000,695000,847000,1077000,1226000,1304000,1289000,1300000,1540000,1605000
7000,6000,7000,7000,8000,9000,10000,13000,18000,23000,29000,40000,53000,60000,94000,107000,115000,123000,158000,225000,275000,313000,335000,381000,473000,610000,703000,758000,759000,779000,936000
1000,1000,1000,1000,1000,1000,2000,2000,3000,4000,6000,8000,11000,14000,24000,32000,42000,46000,49000,65000,92000,114000,131000,143000,166000,209000,274000,320000,350000,355000,371000
0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,5000,6000,10000,14000,16000,18000,23000,33000,42000,50000,56000,66000,84000,110000,133000,150000,157000
