1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
427000,517000,603000,713000,843000,1003000,1155000,1302000,1488000,1668000,1896000,2170000,2552000,2811000,3006000,3258000,3537000,3776000,3949000,4088000,4231000,4362000,4479000,4565000,4622000,4656000,4679000,4696000,4679000,4656000,4600000
332000,386000,472000,556000,662000,787000,944000,1088000,1216000,1381000,1562000,1811000,2112000,2501000,2766000,2967000,3225000,3503000,3742000,3914000,4054000,4196000,4331000,4449000,4536000,4594000,4629000,4652000,4670000,4653000,4630000
281000,323000,376000,461000,544000,647000,772000,927000,1064000,1186000,1352000,1540000,1796000,2098000,2487000,2754000,2957000,3213000,3490000,3727000,3899000,4038000,4181000,4316000,4434000,4522000,4580000,4614000,4638000,4655000,4638000
239000,274000,315000,368000,450000,526000,629000,755000,900000,1027000,1155000,1336000,1536000,1786000,2089000,2474000,2740000,2941000,3195000,3471000,3706000,3877000,4017000,4160000,4294000,4412000,4499000,4557000,4591000,4615000,4632000
204000,232000,265000,305000,352000,415000,492000,604000,712000,835000,974000,1137000,1343000,1527000,1783000,2072000,2445000,2706000,2902000,3151000,3422000,3653000,3823000,3961000,4102000,4234000,4350000,4435000,4491000,4524000,4546000
173000,196000,223000,254000,289000,313000,377000,466000,558000,639000,771000,949000,1142000,1330000,1524000,1770000,2056000,2423000,2678000,2867000,3113000,3379000,3610000,3780000,3916000,4056000,4187000,4301000,4385000,4440000,4472000
146000,166000,188000,213000,241000,256000,283000,356000,427000,494000,580000,741000,943000,1124000,1321000,1510000,1762000,2044000,2406000,2655000,2843000,3085000,3352000,3583000,3752000,3889000,4029000,4159000,4274000,4357000,4411000
122000,140000,159000,180000,202000,217000,233000,266000,325000,377000,443000,549000,725000,918000,1107000,1303000,1498000,1746000,2024000,2380000,2628000,2814000,3056000,3323000,3554000,3723000,3860000,4000000,4131000,4245000,4328000
101000,117000,134000,152000,171000,184000,199000,220000,243000,287000,335000,413000,529000,699000,896000,1085000,1285000,1477000,1721000,1995000,2347000,2592000,2778000,3020000,3285000,3516000,3685000,3823000,3963000,4094000,4208000
82000,96000,111000,127000,144000,157000,171000,187000,201000,213000,254000,309000,392000,504000,674000,870000,1062000,1258000,1446000,1685000,1955000,2301000,2544000,2731000,2971000,3235000,3465000,3634000,3773000,3914000,4046000
65000,77000,91000,105000,120000,133000,145000,159000,170000,176000,186000,229000,287000,368000,479000,647000,842000,1027000,1218000,1401000,1635000,1899000,2239000,2479000,2664000,2902000,3164000,3393000,3563000,3703000,3845000
47000,60000,72000,84000,98000,109000,122000,134000,143000,147000,151000,165000,209000,264000,343000,452000,616000,801000,979000,1162000,1339000,1565000,1822000,2152000,2387000,2571000,2807000,3066000,3294000,3465000,3607000
38000,42000,54000,65000,76000,87000,98000,109000,116000,120000,122000,128000,144000,186000,239000,315000,419000,571000,745000,912000,1085000,1253000,1470000,1715000,2033000,2262000,2444000,2676000,2932000,3158000,3332000
29000,33000,36000,47000,56000,65000,75000,84000,90000,93000,93000,97000,105000,122000,159000,209000,279000,372000,509000,664000,816000,974000,1131000,1332000,1562000,1861000,2081000,2259000,2485000,2735000,2959000
19000,23000,26000,29000,37000,45000,53000,59000,64000,67000,67000,68000,72000,81000,95000,126000,168000,226000,303000,416000,546000,676000,812000,951000,1130000,1338000,1608000,1813000,1985000,2202000,2442000
11000,14000,16000,18000,20000,26000,32000,36000,40000,42000,43000,43000,44000,47000,54000,63000,86000,116000,157000,213000,296000,392000,491000,599000,712000,860000,1035000,1263000,1444000,1604000,1802000
4000,6000,8000,9000,11000,12000,16000,18000,20000,22000,22000,23000,23000,23000,25000,28000,34000,47000,64000,88000,122000,173000,233000,298000,371000,453000,561000,690000,861000,1005000,1139000
1000,2000,3000,4000,4000,5000,5000,7000,8000,8000,9000,9000,9000,9000,9000,9000,11000,14000,19000,27000,38000,54000,78000,108000,143000,184000,232000,296000,376000,483000,578000
0,0,1000,1000,1000,1000,1000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3000,3000,4000,6000,8000,12000,17000,26000,37000,51000,68000,89000,118000,156000,207000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,2000,2000,4000,6000,8000,12000,17000,23000,32000,44000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,2000,3000,4000,6000
