1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
492000,648000,745000,865000,1000000,1182000,1373000,1646000,1691000,1618000,1792000,2028000,2156000,2378000,2247000,2356000,2472000,2642000,2747000,2802000,2805000,2807000,2811000,2818000,2813000,2782000,2733000,2672000,2605000,2545000,2485000
389000,457000,610000,707000,826000,956000,1132000,1364000,1643000,1663000,1558000,1702000,1941000,2058000,2300000,2199000,2311000,2428000,2598000,2705000,2759000,2765000,2764000,2771000,2778000,2776000,2745000,2695000,2635000,2568000,2507000
321000,380000,449000,600000,694000,799000,924000,1163000,1444000,1758000,1627000,1500000,1652000,1873000,2003000,2273000,2176000,2288000,2404000,2575000,2681000,2735000,2740000,2741000,2747000,2756000,2753000,2721000,2671000,2611000,2544000
277000,313000,372000,439000,586000,660000,739000,973000,1159000,1381000,1705000,1512000,1404000,1505000,1757000,1956000,2246000,2150000,2261000,2378000,2548000,2654000,2707000,2712000,2713000,2721000,2729000,2726000,2694000,2644000,2584000
244000,266000,300000,357000,421000,556000,610000,765000,914000,984000,1310000,1533000,1359000,1192000,1325000,1658000,1896000,2185000,2088000,2199000,2313000,2482000,2583000,2638000,2642000,2646000,2652000,2658000,2655000,2623000,2572000
200000,231000,251000,284000,336000,392000,506000,631000,695000,704000,901000,1121000,1354000,1156000,1027000,1220000,1585000,1823000,2107000,2014000,2121000,2237000,2398000,2504000,2557000,2566000,2568000,2570000,2578000,2574000,2542000
188000,188000,218000,237000,266000,308000,342000,536000,577000,520000,623000,724000,960000,1190000,1036000,942000,1159000,1521000,1756000,2040000,1947000,2058000,2168000,2333000,2437000,2496000,2505000,2504000,2509000,2516000,2512000
145000,177000,177000,205000,223000,245000,268000,369000,503000,469000,453000,483000,602000,847000,1105000,965000,893000,1109000,1464000,1699000,1979000,1892000,2000000,2114000,2278000,2386000,2444000,2453000,2455000,2459000,2467000
121000,136000,166000,167000,194000,210000,222000,278000,355000,449000,408000,355000,396000,530000,793000,1038000,916000,850000,1061000,1411000,1642000,1920000,1836000,1946000,2061000,2227000,2335000,2394000,2405000,2408000,2414000
105000,113000,127000,156000,157000,187000,200000,217000,275000,343000,392000,340000,301000,358000,501000,739000,980000,867000,806000,1014000,1353000,1582000,1854000,1777000,1888000,2005000,2170000,2279000,2340000,2354000,2360000
89000,97000,105000,118000,147000,154000,182000,184000,217000,274000,296000,336000,301000,283000,338000,460000,688000,917000,813000,759000,959000,1288000,1510000,1776000,1706000,1819000,1936000,2101000,2211000,2275000,2293000
74000,81000,89000,96000,110000,145000,155000,158000,186000,221000,233000,252000,297000,286000,268000,305000,418000,631000,846000,752000,705000,897000,1208000,1423000,1680000,1620000,1733000,1851000,2016000,2128000,2196000
58000,65000,72000,79000,87000,110000,147000,126000,168000,210000,184000,196000,221000,279000,270000,236000,267000,371000,565000,763000,680000,640000,820000,1111000,1315000,1561000,1512000,1626000,1746000,1909000,2024000
41000,48000,55000,61000,68000,81000,111000,107000,125000,175000,163000,146000,161000,194000,246000,227000,196000,225000,316000,486000,660000,591000,560000,724000,987000,1178000,1408000,1373000,1487000,1606000,1768000
27000,32000,38000,43000,48000,54000,64000,88000,85000,95000,127000,115000,106000,123000,151000,191000,176000,152000,177000,254000,395000,540000,485000,465000,608000,836000,1009000,1217000,1198000,1309000,1427000
14000,18000,22000,26000,30000,34000,38000,45000,62000,58000,63000,83000,76000,73000,86000,106000,134000,124000,108000,128000,187000,295000,407000,368000,357000,475000,660000,808000,985000,982000,1087000
5000,8000,10000,13000,15000,17000,19000,22000,27000,36000,34000,37000,49000,45000,44000,52000,65000,83000,77000,68000,82000,123000,195000,271000,247000,245000,333000,468000,583000,720000,730000
2000,2000,4000,5000,6000,7000,8000,9000,10000,12000,17000,16000,17000,23000,21000,20000,25000,32000,40000,38000,34000,42000,65000,105000,147000,136000,139000,194000,277000,353000,444000
0,0,1000,1000,1000,2000,2000,2000,3000,3000,4000,5000,5000,6000,7000,6000,7000,9000,11000,14000,14000,12000,16000,26000,42000,60000,56000,60000,87000,126000,165000
0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,2000,1000,2000,2000,3000,3000,3000,3000,4000,7000,11000,17000,16000,18000,27000,40000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,2000,3000,3000,4000,5000
